# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\phi$
XLabel=$\Delta\phi_{bb}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{bb}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=4.65632522064723215e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	5.632187e-02	6.460562e-03	6.460562e-03
6.283185e-02	1.256637e-01	5.335756e-02	6.288248e-03	6.288248e-03
1.256637e-01	1.884956e-01	4.001814e-02	5.445779e-03	5.445779e-03
1.884956e-01	2.513274e-01	6.002730e-02	6.669701e-03	6.669701e-03
2.513274e-01	3.141593e-01	5.632182e-02	6.460557e-03	6.460557e-03
3.141593e-01	3.769911e-01	6.521484e-02	6.951926e-03	6.951926e-03
3.769911e-01	4.398230e-01	6.817905e-02	7.108158e-03	7.108158e-03
4.398230e-01	5.026548e-01	7.633101e-02	7.521119e-03	7.521119e-03
5.026548e-01	5.654867e-01	9.263459e-02	8.285489e-03	8.285489e-03
5.654867e-01	6.283185e-01	9.041150e-02	8.185471e-03	8.185471e-03
6.283185e-01	6.911504e-01	9.633996e-02	8.449573e-03	8.449573e-03
6.911504e-01	7.539822e-01	1.000455e-01	8.610546e-03	8.610546e-03
7.539822e-01	8.168141e-01	8.448274e-02	7.912534e-03	7.912534e-03
8.168141e-01	8.796459e-01	1.000455e-01	8.610546e-03	8.610546e-03
8.796459e-01	9.424778e-01	6.373259e-02	6.872461e-03	6.872461e-03
9.424778e-01	1.005310e+00	9.115199e-02	8.218898e-03	8.218898e-03
1.005310e+00	1.068142e+00	6.669679e-02	7.030459e-03	7.030459e-03
1.068142e+00	1.130973e+00	7.559090e-02	7.484614e-03	7.484614e-03
1.130973e+00	1.193805e+00	5.558066e-02	6.417901e-03	6.417901e-03
1.193805e+00	1.256637e+00	5.113420e-02	6.155835e-03	6.155835e-03
1.256637e+00	1.319469e+00	5.409850e-02	6.331752e-03	6.331752e-03
1.319469e+00	1.382301e+00	5.039313e-02	6.111065e-03	6.111065e-03
1.382301e+00	1.445133e+00	4.594668e-02	5.835235e-03	5.835235e-03
1.445133e+00	1.507964e+00	3.409002e-02	5.026298e-03	5.026298e-03
1.507964e+00	1.570796e+00	3.260732e-02	4.915738e-03	4.915738e-03
1.570796e+00	1.633628e+00	4.075915e-02	5.495962e-03	5.495962e-03
1.633628e+00	1.696460e+00	4.150022e-02	5.545700e-03	5.545700e-03
1.696460e+00	1.759292e+00	3.705378e-02	5.240194e-03	5.240194e-03
1.759292e+00	1.822124e+00	3.631269e-02	5.187528e-03	5.187528e-03
1.822124e+00	1.884956e+00	4.224129e-02	5.594997e-03	5.594997e-03
1.884956e+00	1.947787e+00	3.409002e-02	5.026298e-03	5.026298e-03
1.947787e+00	2.010619e+00	3.260732e-02	4.915738e-03	4.915738e-03
2.010619e+00	2.073451e+00	4.372345e-02	5.692310e-03	5.692310e-03
2.073451e+00	2.136283e+00	3.186625e-02	4.859557e-03	4.859557e-03
2.136283e+00	2.199115e+00	3.705378e-02	5.240194e-03	5.240194e-03
2.199115e+00	2.261947e+00	3.112518e-02	4.802718e-03	4.802718e-03
2.261947e+00	2.324779e+00	4.668775e-02	5.882104e-03	5.882104e-03
2.324779e+00	2.387610e+00	3.779545e-02	5.292422e-03	5.292422e-03
2.387610e+00	2.450442e+00	4.150022e-02	5.545700e-03	5.545700e-03
2.450442e+00	2.513274e+00	4.816990e-02	5.974742e-03	5.974742e-03
2.513274e+00	2.576106e+00	3.334839e-02	4.971285e-03	4.971285e-03
2.576106e+00	2.638938e+00	5.632173e-02	6.460547e-03	6.460547e-03
2.638938e+00	2.701770e+00	4.224129e-02	5.594997e-03	5.594997e-03
2.701770e+00	2.764602e+00	4.742883e-02	5.928603e-03	5.928603e-03
2.764602e+00	2.827433e+00	5.187611e-02	6.200382e-03	6.200382e-03
2.827433e+00	2.890265e+00	5.113420e-02	6.155835e-03	6.155835e-03
2.890265e+00	2.953097e+00	5.706280e-02	6.502910e-03	6.502910e-03
2.953097e+00	3.015929e+00	6.595571e-02	6.991291e-03	6.991291e-03
3.015929e+00	3.078761e+00	5.261636e-02	6.244413e-03	6.244413e-03
3.078761e+00	3.141593e+00	6.966110e-02	7.184993e-03	7.184993e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=9.34843313682904140e-07
Title=X1200_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	2.306166e-03	1.852358e-04	1.852358e-04
6.283185e-02	1.256637e-01	2.142503e-03	1.785419e-04	1.785419e-04
1.256637e-01	1.884956e-01	2.380557e-03	1.881996e-04	1.881996e-04
1.884956e-01	2.513274e-01	2.633496e-03	1.979457e-04	1.979457e-04
2.513274e-01	3.141593e-01	2.514463e-03	1.934203e-04	1.934203e-04
3.141593e-01	3.769911e-01	2.916187e-03	2.082991e-04	2.082991e-04
3.769911e-01	4.398230e-01	3.704742e-03	2.347785e-04	2.347785e-04
4.398230e-01	5.026548e-01	4.433795e-03	2.568428e-04	2.568428e-04
5.026548e-01	5.654867e-01	3.660107e-03	2.333599e-04	2.333599e-04
5.654867e-01	6.283185e-01	3.853533e-03	2.394469e-04	2.394469e-04
6.283185e-01	6.911504e-01	3.288145e-03	2.211846e-04	2.211846e-04
6.911504e-01	7.539822e-01	2.886430e-03	2.072336e-04	2.072336e-04
7.539822e-01	8.168141e-01	2.737641e-03	2.018216e-04	2.018216e-04
8.168141e-01	8.796459e-01	2.172261e-03	1.797777e-04	1.797777e-04
8.796459e-01	9.424778e-01	2.321044e-03	1.858322e-04	1.858322e-04
9.424778e-01	1.005310e+00	1.785409e-03	1.629848e-04	1.629848e-04
1.005310e+00	1.068142e+00	1.919321e-03	1.689868e-04	1.689868e-04
1.068142e+00	1.130973e+00	1.339083e-03	1.411517e-04	1.411517e-04
1.130973e+00	1.193805e+00	1.696144e-03	1.588585e-04	1.588585e-04
1.193805e+00	1.256637e+00	1.517603e-03	1.502651e-04	1.502651e-04
1.256637e+00	1.319469e+00	1.026614e-03	1.235898e-04	1.235898e-04
1.319469e+00	1.382301e+00	1.353940e-03	1.419314e-04	1.419314e-04
1.382301e+00	1.445133e+00	1.502724e-03	1.495267e-04	1.495267e-04
1.445133e+00	1.507964e+00	1.086145e-03	1.271236e-04	1.271236e-04
1.507964e+00	1.570796e+00	9.968567e-04	1.217854e-04	1.217854e-04
1.570796e+00	1.633628e+00	1.205155e-03	1.339061e-04	1.339061e-04
1.633628e+00	1.696460e+00	1.011735e-03	1.226909e-04	1.226909e-04
1.696460e+00	1.759292e+00	9.968567e-04	1.217854e-04	1.217854e-04
1.759292e+00	1.822124e+00	1.026614e-03	1.235898e-04	1.235898e-04
1.822124e+00	1.884956e+00	1.011735e-03	1.226909e-04	1.226909e-04
1.884956e+00	1.947787e+00	6.992988e-04	1.020032e-04	1.020032e-04
