# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet invariant mass
XLabel=$m_{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=4.65632522064723215e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	2.455493e-03	1.636996e-04	1.636996e-04
5.426665e+01	5.889739e+01	3.278012e-03	1.815523e-04	1.815523e-04
5.889739e+01	6.392328e+01	3.650283e-03	1.838986e-04	1.838986e-04
6.392328e+01	6.937805e+01	3.841310e-03	1.810811e-04	1.810811e-04
6.937805e+01	7.529829e+01	3.303341e-03	1.611865e-04	1.611865e-04
7.529829e+01	8.172373e+01	1.905883e-03	1.175218e-04	1.175218e-04
8.172373e+01	8.869746e+01	1.021574e-03	8.258932e-05	8.258932e-05
8.869746e+01	9.626628e+01	5.721344e-04	5.932758e-05	5.932758e-05
9.626628e+01	1.044810e+02	5.554905e-04	5.611302e-05	5.611302e-05
1.044810e+02	1.133967e+02	5.640422e-04	5.427498e-05	5.427498e-05
1.133967e+02	1.230731e+02	3.849634e-04	4.304022e-05	4.304022e-05
1.230731e+02	1.335753e+02	4.167647e-04	4.298599e-05	4.298599e-05
1.335753e+02	1.449737e+02	3.635711e-04	3.853846e-05	3.853846e-05
1.449737e+02	1.573448e+02	2.371240e-04	2.987482e-05	2.987482e-05
1.573448e+02	1.707715e+02	2.462251e-04	2.922155e-05	2.922155e-05
1.707715e+02	1.853439e+02	2.492338e-04	2.822016e-05	2.822016e-05
1.853439e+02	2.011599e+02	1.972520e-04	2.409817e-05	2.409817e-05
2.011599e+02	2.183255e+02	1.763184e-04	2.186961e-05	2.186961e-05
2.183255e+02	2.369559e+02	1.224665e-04	1.749521e-05	1.749521e-05
2.369559e+02	2.571760e+02	7.829590e-05	1.342763e-05	1.342763e-05
2.571760e+02	2.791217e+02	8.062646e-05	1.307934e-05	1.307934e-05
2.791217e+02	3.029400e+02	3.127897e-05	7.819744e-06	7.819744e-06
3.029400e+02	3.287907e+02	4.142847e-05	8.638432e-06	8.638432e-06
3.287907e+02	3.568475e+02	1.825567e-05	5.504292e-06	5.504292e-06
3.568475e+02	3.872983e+02	1.070392e-05	4.045700e-06	4.045700e-06
3.872983e+02	4.203477e+02	5.635594e-06	2.817797e-06	2.817797e-06
4.203477e+02	4.562172e+02	2.596259e-06	1.835832e-06	1.835832e-06
4.562172e+02	4.951476e+02	1.196064e-06	1.196064e-06	1.196064e-06
4.951476e+02	5.374001e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.374001e+02	5.832581e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.832581e+02	6.330293e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.330293e+02	6.870476e+02	8.619903e-07	8.619902e-07	8.619902e-07
6.870476e+02	7.456754e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.456754e+02	8.093062e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.093062e+02	8.783667e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.783667e+02	9.533204e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.533204e+02	1.034670e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.034670e+03	1.122962e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.122962e+03	1.218787e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.218787e+03	1.322790e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.322790e+03	1.435668e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.435668e+03	1.558178e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.558178e+03	1.691142e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.691142e+03	1.835452e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.835452e+03	1.992077e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.992077e+03	2.162067e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.162067e+03	2.346563e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.346563e+03	2.546802e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.546802e+03	2.764129e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764129e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=9.34843313682904140e-07
Title=X1200_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	5.302336e-05	3.408470e-06	3.408470e-06
5.426665e+01	5.889739e+01	6.823467e-05	3.711477e-06	3.711477e-06
5.889739e+01	6.392328e+01	8.147043e-05	3.892807e-06	3.892807e-06
6.392328e+01	6.937805e+01	1.108834e-04	4.359278e-06	4.359278e-06
6.937805e+01	7.529829e+01	1.209562e-04	4.370327e-06	4.370327e-06
7.529829e+01	8.172373e+01	8.336631e-05	3.482677e-06	3.482677e-06
8.172373e+01	8.869746e+01	3.807080e-05	2.259087e-06	2.259087e-06
8.869746e+01	9.626628e+01	2.198521e-05	1.647861e-06	1.647861e-06
9.626628e+01	1.044810e+02	2.173599e-05	1.572761e-06	1.572761e-06
1.044810e+02	1.133967e+02	1.908336e-05	1.414552e-06	1.414552e-06
1.133967e+02	1.230731e+02	1.816280e-05	1.324658e-06	1.324658e-06
1.230731e+02	1.335753e+02	1.522140e-05	1.164010e-06	1.164010e-06
1.335753e+02	1.449737e+02	1.254834e-05	1.014473e-06	1.014473e-06
1.449737e+02	1.573448e+02	1.156170e-05	9.347086e-07	9.347086e-07
1.573448e+02	1.707715e+02	9.817222e-06	8.267593e-07	8.267593e-07
1.707715e+02	1.853439e+02	8.660468e-06	7.453746e-07	7.453746e-07
1.853439e+02	2.011599e+02	7.624861e-06	6.713314e-07	6.713314e-07
2.011599e+02	2.183255e+02	6.916455e-06	6.137362e-07	6.137362e-07
2.183255e+02	2.369559e+02	5.519624e-06	5.262753e-07	5.262753e-07
2.369559e+02	2.571760e+02	5.224371e-06	4.914674e-07	4.914674e-07
2.571760e+02	2.791217e+02	4.813576e-06	4.528231e-07	4.528231e-07
2.791217e+02	3.029400e+02	4.552877e-06	4.227241e-07	4.227241e-07
3.029400e+02	3.287907e+02	3.580154e-06	3.598190e-07	3.598190e-07
3.287907e+02	3.568475e+02	2.665574e-06	2.980202e-07	2.980202e-07
3.568475e+02	3.872983e+02	2.302509e-06	2.658709e-07	2.658709e-07
3.872983e+02	4.203477e+02	2.036609e-06	2.400167e-07	2.400167e-07
4.203477e+02	4.562172e+02	1.459491e-06	1.950327e-07	1.950327e-07
4.562172e+02	4.951476e+02	1.224673e-06	1.714885e-07	1.714885e-07
4.951476e+02	5.374001e+02	7.743807e-07	1.308942e-07	1.308942e-07
5.374001e+02	5.832581e+02	5.504115e-07	1.059267e-07	1.059267e-07
5.832581e+02	6.330293e+02	3.380907e-07	7.968875e-08	7.968875e-08
6.330293e+02	6.870476e+02	3.288149e-07	7.543532e-08	7.543532e-08
6.870476e+02	7.456754e+02	2.710717e-07	6.574453e-08	6.574453e-08
7.456754e+02	8.093062e+02	1.763002e-07	5.089346e-08	5.089346e-08
8.093062e+02	8.783667e+02	5.414634e-08	2.707317e-08	2.707317e-08
8.783667e+02	9.533204e+02	6.236139e-08	2.788886e-08	2.788886e-08
9.533204e+02	1.034670e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.034670e+03	1.122962e+03	0.000000e+00	0.000000e+00	0.000000e+00
