# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=4.65632522064723215e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	7.437993e-04	1.458710e-04	1.458710e-04
2.162765e+01	2.338777e+01	7.142740e-04	1.374621e-04	1.374621e-04
2.338777e+01	2.529113e+01	8.806936e-04	1.467823e-04	1.467823e-04
2.529113e+01	2.734939e+01	9.953956e-04	1.500615e-04	1.500615e-04
2.734939e+01	2.957515e+01	1.171529e-03	1.565521e-04	1.565521e-04
2.957515e+01	3.198206e+01	1.238122e-03	1.547652e-04	1.547652e-04
3.198206e+01	3.458484e+01	9.123806e-04	1.277589e-04	1.277589e-04
3.458484e+01	3.739945e+01	9.760613e-04	1.270724e-04	1.270724e-04
3.739945e+01	4.044311e+01	1.009697e-03	1.242851e-04	1.242851e-04
4.044311e+01	4.373448e+01	1.188354e-03	1.296601e-04	1.296601e-04
4.373448e+01	4.729371e+01	1.295157e-03	1.301682e-04	1.301682e-04
4.729371e+01	5.114260e+01	1.270273e-03	1.239660e-04	1.239660e-04
5.114260e+01	5.530472e+01	1.241800e-03	1.178664e-04	1.178664e-04
5.530472e+01	5.980556e+01	1.169037e-03	1.099737e-04	1.099737e-04
5.980556e+01	6.467270e+01	1.358494e-03	1.140023e-04	1.140023e-04
6.467270e+01	6.993594e+01	1.282798e-03	1.065305e-04	1.065305e-04
6.993594e+01	7.562751e+01	1.464415e-03	1.094555e-04	1.094555e-04
7.562751e+01	8.178228e+01	1.021328e-03	8.790192e-05	8.790192e-05
8.178228e+01	8.843794e+01	1.021422e-03	8.453345e-05	8.453345e-05
8.843794e+01	9.563525e+01	9.704303e-04	7.923531e-05	7.923531e-05
9.563525e+01	1.034183e+02	1.023033e-03	7.823328e-05	7.823328e-05
1.034183e+02	1.118348e+02	8.077271e-04	6.684796e-05	6.684796e-05
1.118348e+02	1.209362e+02	8.390328e-04	6.551746e-05	6.551746e-05
1.209362e+02	1.307783e+02	8.752402e-04	6.434894e-05	6.434894e-05
1.307783e+02	1.414214e+02	7.437451e-04	5.704264e-05	5.704264e-05
1.414214e+02	1.529306e+02	6.796846e-04	5.243881e-05	5.243881e-05
1.529306e+02	1.653765e+02	5.387403e-04	4.489502e-05	4.489502e-05
1.653765e+02	1.788353e+02	5.120338e-04	4.208892e-05	4.208892e-05
1.788353e+02	1.933894e+02	4.319085e-04	3.717276e-05	3.717276e-05
1.933894e+02	2.091279e+02	2.573945e-04	2.759559e-05	2.759559e-05
2.091279e+02	2.261473e+02	1.778330e-04	2.205747e-05	2.205747e-05
2.261473e+02	2.445518e+02	1.264997e-04	1.788975e-05	1.788975e-05
2.445518e+02	2.644540e+02	4.913167e-05	1.072141e-05	1.072141e-05
2.644540e+02	2.859760e+02	3.461630e-05	8.654075e-06	8.654075e-06
2.859760e+02	3.092495e+02	6.002097e-06	3.465311e-06	3.465311e-06
3.092495e+02	3.344170e+02	1.850134e-06	1.850134e-06	1.850134e-06
3.344170e+02	3.616328e+02	6.843561e-06	3.421781e-06	3.421781e-06
3.616328e+02	3.910634e+02	1.582137e-06	1.582137e-06	1.582137e-06
3.910634e+02	4.228892e+02	1.463066e-06	1.463066e-06	1.463066e-06
4.228892e+02	4.573051e+02	1.352957e-06	1.352957e-06	1.352957e-06
4.573051e+02	4.945218e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.945218e+02	5.347672e+02	1.156983e-06	1.156983e-06	1.156983e-06
5.347672e+02	5.782880e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.782880e+02	6.253506e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.253506e+02	6.762433e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.762433e+02	7.312778e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.312778e+02	7.907911e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.907911e+02	8.551478e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.551478e+02	9.247420e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.247420e+02	1.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=9.34843313682904140e-07
Title=X1200_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	1.952795e-05	3.349016e-06	3.349016e-06
2.162765e+01	2.338777e+01	1.965161e-05	3.230706e-06	3.230706e-06
2.338777e+01	2.529113e+01	1.817271e-05	2.987574e-06	2.987574e-06
2.529113e+01	2.734939e+01	1.998441e-05	3.012763e-06	3.012763e-06
2.734939e+01	2.957515e+01	2.772072e-05	3.412184e-06	3.412184e-06
2.957515e+01	3.198206e+01	2.679959e-05	3.226291e-06	3.226291e-06
3.198206e+01	3.458484e+01	1.903607e-05	2.614805e-06	2.614805e-06
3.458484e+01	3.739945e+01	3.221754e-05	3.271195e-06	3.271195e-06
3.739945e+01	4.044311e+01	2.457156e-05	2.747184e-06	2.747184e-06
4.044311e+01	4.373448e+01	2.783480e-05	2.811740e-06	2.811740e-06
4.373448e+01	4.729371e+01	2.967982e-05	2.792042e-06	2.792042e-06
4.729371e+01	5.114260e+01	3.133236e-05	2.758660e-06	2.758660e-06
5.114260e+01	5.530472e+01	3.032200e-05	2.609703e-06	2.609703e-06
5.530472e+01	5.980556e+01	3.717906e-05	2.778892e-06	2.778892e-06
5.980556e+01	6.467270e+01	2.573770e-05	2.223399e-06	2.223399e-06
6.467270e+01	6.993594e+01	2.966211e-05	2.295323e-06	2.295323e-06
6.993594e+01	7.562751e+01	3.022210e-05	2.228002e-06	2.228002e-06
7.562751e+01	8.178228e+01	3.356753e-05	2.257996e-06	2.257996e-06
8.178228e+01	8.843794e+01	2.907489e-05	2.020844e-06	2.020844e-06
8.843794e+01	9.563525e+01	2.701668e-05	1.873270e-06	1.873270e-06
9.563525e+01	1.034183e+02	2.774604e-05	1.825555e-06	1.825555e-06
1.034183e+02	1.118348e+02	2.432492e-05	1.643726e-06	1.643726e-06
1.118348e+02	1.209362e+02	2.228899e-05	1.513075e-06	1.513075e-06
1.209362e+02	1.307783e+02	2.498083e-05	1.540384e-06	1.540384e-06
1.307783e+02	1.414214e+02	2.231025e-05	1.399869e-06	1.399869e-06
1.414214e+02	1.529306e+02	2.290566e-05	1.364012e-06	1.364012e-06
1.529306e+02	1.653765e+02	1.862791e-05	1.182874e-06	1.182874e-06
1.653765e+02	1.788353e+02	1.896248e-05	1.147661e-06	1.147661e-06
1.788353e+02	1.933894e+02	1.702156e-05	1.045626e-06	1.045626e-06
1.933894e+02	2.091279e+02	1.657218e-05	9.921505e-07	9.921505e-07
2.091279e+02	2.261473e+02	1.389681e-05	8.736849e-07	8.736849e-07
