# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=1.27303305059959048e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.056617e-02	1.159788e-03	1.159788e-03
-2.400000e+00	-2.300000e+00	1.374876e-02	1.322975e-03	1.322975e-03
-2.300000e+00	-2.200000e+00	1.591291e-02	1.423294e-03	1.423294e-03
-2.200000e+00	-2.100000e+00	1.718595e-02	1.479131e-03	1.479131e-03
-2.100000e+00	-2.000000e+00	2.329650e-02	1.722127e-03	1.722127e-03
-2.000000e+00	-1.900000e+00	2.507875e-02	1.786787e-03	1.786787e-03
-1.900000e+00	-1.800000e+00	2.673369e-02	1.844800e-03	1.844800e-03
-1.800000e+00	-1.700000e+00	2.889785e-02	1.918018e-03	1.918018e-03
-1.700000e+00	-1.600000e+00	3.220774e-02	2.024883e-03	2.024883e-03
-1.600000e+00	-1.500000e+00	3.131661e-02	1.996674e-03	1.996674e-03
-1.500000e+00	-1.400000e+00	3.729987e-02	2.179082e-03	2.179082e-03
-1.400000e+00	-1.300000e+00	3.628144e-02	2.149127e-03	2.149127e-03
-1.300000e+00	-1.200000e+00	4.213739e-02	2.316081e-03	2.316081e-03
-1.200000e+00	-1.100000e+00	3.806369e-02	2.201280e-03	2.201280e-03
-1.100000e+00	-1.000000e+00	4.201009e-02	2.312579e-03	2.312579e-03
-1.000000e+00	-9.000000e-01	4.506537e-02	2.395197e-03	2.395197e-03
-9.000000e-01	-8.000000e-01	4.353773e-02	2.354251e-03	2.354251e-03
-8.000000e-01	-7.000000e-01	4.901177e-02	2.497871e-03	2.497871e-03
-7.000000e-01	-6.000000e-01	4.595649e-02	2.418763e-03	2.418763e-03
