# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{b\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{b\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=1.27303305059959048e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	4.309533e-03	1.835923e-04	1.835923e-04
2.162765e+01	2.338777e+01	3.985190e-03	1.697748e-04	1.697748e-04
2.338777e+01	2.529113e+01	3.899306e-03	1.614927e-04	1.614927e-04
2.529113e+01	2.734939e+01	3.612038e-03	1.494672e-04	1.494672e-04
2.734939e+01	2.957515e+01	3.277298e-03	1.369111e-04	1.369111e-04
2.957515e+01	3.198206e+01	2.951304e-03	1.249387e-04	1.249387e-04
3.198206e+01	3.458484e+01	2.968868e-03	1.205026e-04	1.205026e-04
3.458484e+01	3.739945e+01	2.596171e-03	1.083621e-04	1.083621e-04
3.739945e+01	4.044311e+01	2.505361e-03	1.023663e-04	1.023663e-04
4.044311e+01	4.373448e+01	2.359352e-03	9.552738e-05	9.552738e-05
4.373448e+01	4.729371e+01	2.063761e-03	8.591550e-05	8.591550e-05
4.729371e+01	5.114260e+01	1.951444e-03	8.033970e-05	8.033970e-05
5.114260e+01	5.530472e+01	1.795408e-03	7.410442e-05	7.410442e-05
5.530472e+01	5.980556e+01	1.824340e-03	7.183331e-05	7.183331e-05
5.980556e+01	6.467270e+01	1.582418e-03	6.433444e-05	6.433444e-05
6.467270e+01	6.993594e+01	1.289180e-03	5.584060e-05	5.584060e-05
6.993594e+01	7.562751e+01	1.134007e-03	5.036300e-05	5.036300e-05
7.562751e+01	8.178228e+01	1.071415e-03	4.707526e-05	4.707526e-05
8.178228e+01	8.843794e+01	9.008853e-04	4.151060e-05	4.151060e-05
8.843794e+01	9.563525e+01	7.711803e-04	3.693284e-05	3.693284e-05
9.563525e+01	1.034183e+02	6.837009e-04	3.344090e-05	3.344090e-05
1.034183e+02	1.118348e+02	4.976272e-04	2.743507e-05	2.743507e-05
1.118348e+02	1.209362e+02	4.643758e-04	2.548593e-05	2.548593e-05
1.209362e+02	1.307783e+02	3.970912e-04	2.266319e-05	2.266319e-05
1.307783e+02	1.414214e+02	2.846745e-04	1.845270e-05	1.845270e-05
1.414214e+02	1.529306e+02	2.566153e-04	1.684762e-05	1.684762e-05
1.529306e+02	1.653765e+02	1.749080e-04	1.337554e-05	1.337554e-05
1.653765e+02	1.788353e+02	1.210719e-04	1.070134e-05	1.070134e-05
1.788353e+02	1.933894e+02	7.259927e-05	7.968808e-06	7.968808e-06
1.933894e+02	2.091279e+02	5.581172e-05	6.718942e-06	6.718942e-06
2.091279e+02	2.261473e+02	2.917159e-05	4.671192e-06	4.671192e-06
2.261473e+02	2.445518e+02	1.660072e-05	3.388608e-06	3.388608e-06
