# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=2.25635044064282033e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.053279e-02	2.152421e-03	2.152421e-03
5.000000e-01	6.000000e-01	4.151685e-02	3.060663e-03	3.060663e-03
6.000000e-01	7.000000e-01	6.295218e-02	3.768849e-03	3.768849e-03
7.000000e-01	8.000000e-01	7.039813e-02	3.985510e-03	3.985510e-03
8.000000e-01	9.000000e-01	7.220321e-02	4.036283e-03	4.036283e-03
9.000000e-01	1.000000e+00	5.573186e-02	3.546133e-03	3.546133e-03
1.000000e+00	1.100000e+00	5.573186e-02	3.546133e-03	3.546133e-03
1.100000e+00	1.200000e+00	5.595749e-02	3.553304e-03	3.553304e-03
1.200000e+00	1.300000e+00	5.144479e-02	3.407015e-03	3.407015e-03
1.300000e+00	1.400000e+00	4.986534e-02	3.354306e-03	3.354306e-03
1.400000e+00	1.500000e+00	5.076788e-02	3.384525e-03	3.384525e-03
1.500000e+00	1.600000e+00	4.377320e-02	3.142733e-03	3.142733e-03
1.600000e+00	1.700000e+00	4.106558e-02	3.043983e-03	3.043983e-03
1.700000e+00	1.800000e+00	4.918844e-02	3.331462e-03	3.331462e-03
1.800000e+00	1.900000e+00	4.806026e-02	3.293035e-03	3.293035e-03
1.900000e+00	2.000000e+00	4.219375e-02	3.085513e-03	3.085513e-03
2.000000e+00	2.100000e+00	5.099352e-02	3.392039e-03	3.392039e-03
2.100000e+00	2.200000e+00	4.625518e-02	3.230602e-03	3.230602e-03
2.200000e+00	2.300000e+00	4.783463e-02	3.285296e-03	3.285296e-03
2.300000e+00	2.400000e+00	5.618313e-02	3.560461e-03	3.560461e-03
2.400000e+00	2.500000e+00	5.189606e-02	3.421925e-03	3.421925e-03
2.500000e+00	2.600000e+00	6.227527e-02	3.748530e-03	3.748530e-03
2.600000e+00	2.700000e+00	6.001892e-02	3.679996e-03	3.679996e-03
2.700000e+00	2.800000e+00	5.889075e-02	3.645246e-03	3.645246e-03
2.800000e+00	2.900000e+00	5.934202e-02	3.659186e-03	3.659186e-03
2.900000e+00	3.000000e+00	6.656234e-02	3.875410e-03	3.875410e-03
3.000000e+00	3.100000e+00	7.355702e-02	4.073946e-03	4.073946e-03
3.100000e+00	3.200000e+00	6.611107e-02	3.862249e-03	3.862249e-03
3.200000e+00	3.300000e+00	4.332193e-02	3.126491e-03	3.126491e-03
3.300000e+00	3.400000e+00	3.181454e-02	2.679268e-03	2.679268e-03
3.400000e+00	3.500000e+00	2.797875e-02	2.512565e-03	2.512565e-03
3.500000e+00	3.600000e+00	2.481985e-02	2.366480e-03	2.366480e-03
3.600000e+00	3.700000e+00	1.917898e-02	2.080252e-03	2.080252e-03
3.700000e+00	3.800000e+00	1.669699e-02	1.940986e-03	1.940986e-03
3.800000e+00	3.900000e+00	1.218429e-02	1.658072e-03	1.658072e-03
3.900000e+00	4.000000e+00	9.702307e-03	1.479588e-03	1.479588e-03
4.000000e+00	4.100000e+00	6.994686e-03	1.256283e-03	1.256283e-03
4.100000e+00	4.200000e+00	5.415241e-03	1.105381e-03	1.105381e-03
4.200000e+00	4.300000e+00	6.994686e-03	1.256283e-03	1.256283e-03
4.300000e+00	4.400000e+00	6.092146e-03	1.172434e-03	1.172434e-03
4.400000e+00	4.500000e+00	3.384526e-03	8.738808e-04	8.738808e-04
4.500000e+00	4.600000e+00	4.512701e-03	1.009070e-03	1.009070e-03
4.600000e+00	4.700000e+00	2.256350e-03	7.135206e-04	7.135206e-04
4.700000e+00	4.800000e+00	3.158891e-03	8.442490e-04	8.442490e-04
4.800000e+00	4.900000e+00	2.030715e-03	6.769052e-04	6.769052e-04
4.900000e+00	5.000000e+00	1.579445e-03	5.969742e-04	5.969742e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=5.66246946062770135e-07
Title=X1200_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	1.132494e-05	8.007941e-06	8.007941e-06
4.000000e-01	5.000000e-01	1.477905e-03	9.147999e-05	9.147999e-05
5.000000e-01	6.000000e-01	2.876534e-03	1.276256e-04	1.276256e-04
6.000000e-01	7.000000e-01	2.995446e-03	1.302368e-04	1.302368e-04
7.000000e-01	8.000000e-01	2.621723e-03	1.218418e-04	1.218418e-04
8.000000e-01	9.000000e-01	2.027164e-03	1.071389e-04	1.071389e-04
9.000000e-01	1.000000e+00	2.134751e-03	1.099453e-04	1.099453e-04
1.000000e+00	1.100000e+00	1.744041e-03	9.937594e-05	9.937594e-05
1.100000e+00	1.200000e+00	1.517542e-03	9.269862e-05	9.269862e-05
1.200000e+00	1.300000e+00	1.455255e-03	9.077629e-05	9.077629e-05
1.300000e+00	1.400000e+00	1.528867e-03	9.304387e-05	9.304387e-05
1.400000e+00	1.500000e+00	1.523204e-03	9.287141e-05	9.287141e-05
1.500000e+00	1.600000e+00	1.506217e-03	9.235208e-05	9.235208e-05
1.600000e+00	1.700000e+00	1.460917e-03	9.095273e-05	9.095273e-05
1.700000e+00	1.800000e+00	1.387305e-03	8.863166e-05	8.863166e-05
1.800000e+00	1.900000e+00	1.375980e-03	8.826916e-05	8.826916e-05
1.900000e+00	2.000000e+00	1.489229e-03	9.182982e-05	9.182982e-05
2.000000e+00	2.100000e+00	1.421280e-03	8.971039e-05	8.971039e-05
2.100000e+00	2.200000e+00	1.511879e-03	9.252552e-05	9.252552e-05
2.200000e+00	2.300000e+00	1.602479e-03	9.525748e-05	9.525748e-05
2.300000e+00	2.400000e+00	1.727053e-03	9.889078e-05	9.889078e-05
2.400000e+00	2.500000e+00	1.619466e-03	9.576105e-05	9.576105e-05
2.500000e+00	2.600000e+00	1.998852e-03	1.063882e-04	1.063882e-04
2.600000e+00	2.700000e+00	1.947889e-03	1.050231e-04	1.050231e-04
2.700000e+00	2.800000e+00	2.400887e-03	1.165974e-04	1.165974e-04
2.800000e+00	2.900000e+00	2.225350e-03	1.122541e-04	1.122541e-04
2.900000e+00	3.000000e+00	2.287638e-03	1.138142e-04	1.138142e-04
3.000000e+00	3.100000e+00	2.695335e-03	1.235405e-04	1.235405e-04
3.100000e+00	3.200000e+00	2.287638e-03	1.138142e-04	1.138142e-04
3.200000e+00	3.300000e+00	1.415617e-03	8.953150e-05	8.953150e-05
3.300000e+00	3.400000e+00	1.206106e-03	8.264102e-05	8.264102e-05
3.400000e+00	3.500000e+00	9.796072e-04	7.447816e-05	7.447816e-05
3.500000e+00	3.600000e+00	6.851588e-04	6.228717e-05	6.228717e-05
3.600000e+00	3.700000e+00	5.832344e-04	5.746779e-05	5.746779e-05
3.700000e+00	3.800000e+00	5.379346e-04	5.519092e-05	5.519092e-05
3.800000e+00	3.900000e+00	3.737230e-04	4.600212e-05	4.600212e-05
3.900000e+00	4.000000e+00	3.170983e-04	4.237404e-05	4.237404e-05
4.000000e+00	4.100000e+00	3.227608e-04	4.275071e-05	4.275071e-05
4.100000e+00	4.200000e+00	2.208363e-04	3.536211e-05	3.536211e-05
4.200000e+00	4.300000e+00	2.151738e-04	3.490580e-05	3.490580e-05
4.300000e+00	4.400000e+00	1.075869e-04	2.468213e-05	2.468213e-05
4.400000e+00	4.500000e+00	1.132494e-04	2.532333e-05	2.532333e-05
4.500000e+00	4.600000e+00	1.019245e-04	2.402382e-05	2.402382e-05
4.600000e+00	4.700000e+00	7.361210e-05	2.041632e-05	2.041632e-05
4.700000e+00	4.800000e+00	2.831235e-05	1.266167e-05	1.266167e-05
4.800000e+00	4.900000e+00	3.397482e-05	1.387016e-05	1.387016e-05
4.900000e+00	5.000000e+00	3.963729e-05	1.498149e-05	1.498149e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=3.32587888004293720e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	3.325879e-07	3.325879e-07	3.325879e-07
4.000000e-01	5.000000e-01	1.060955e-04	5.940210e-06	5.940210e-06
5.000000e-01	6.000000e-01	1.912380e-04	7.975177e-06	7.975177e-06
6.000000e-01	7.000000e-01	1.736109e-04	7.598742e-06	7.598742e-06
7.000000e-01	8.000000e-01	1.423476e-04	6.880632e-06	6.880632e-06
8.000000e-01	9.000000e-01	1.393543e-04	6.807904e-06	6.807904e-06
9.000000e-01	1.000000e+00	1.134125e-04	6.141629e-06	6.141629e-06
1.000000e+00	1.100000e+00	1.050978e-04	5.912212e-06	5.912212e-06
1.100000e+00	1.200000e+00	9.079649e-05	5.495253e-06	5.495253e-06
1.200000e+00	1.300000e+00	8.713803e-05	5.383405e-06	5.383405e-06
1.300000e+00	1.400000e+00	7.716039e-05	5.065828e-06	5.065828e-06
1.400000e+00	1.500000e+00	8.281438e-05	5.248148e-06	5.248148e-06
1.500000e+00	1.600000e+00	8.447732e-05	5.300578e-06	5.300578e-06
1.600000e+00	1.700000e+00	7.982109e-05	5.152430e-06	5.152430e-06
1.700000e+00	1.800000e+00	8.913355e-05	5.444698e-06	5.444698e-06
1.800000e+00	1.900000e+00	8.414474e-05	5.290134e-06	5.290134e-06
