# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=2.25635044064282033e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.051459e-01	4.870792e-03	4.870792e-03
1.000000e-01	2.000000e-01	1.017614e-01	4.791758e-03	4.791758e-03
2.000000e-01	3.000000e-01	1.051459e-01	4.870792e-03	4.870792e-03
3.000000e-01	4.000000e-01	1.042434e-01	4.849841e-03	4.849841e-03
4.000000e-01	5.000000e-01	1.216173e-01	5.238427e-03	5.238427e-03
5.000000e-01	6.000000e-01	1.101099e-01	4.984441e-03	4.984441e-03
6.000000e-01	7.000000e-01	9.995632e-02	4.749068e-03	4.749068e-03
7.000000e-01	8.000000e-01	9.273600e-02	4.574329e-03	4.574329e-03
8.000000e-01	9.000000e-01	8.483878e-02	4.375226e-03	4.375226e-03
9.000000e-01	1.000000e+00	7.784409e-02	4.190984e-03	4.190984e-03
1.000000e+00	1.100000e+00	6.114710e-02	3.714422e-03	3.714422e-03
1.100000e+00	1.200000e+00	6.588543e-02	3.855653e-03	3.855653e-03
1.200000e+00	1.300000e+00	5.302424e-02	3.458920e-03	3.458920e-03
1.300000e+00	1.400000e+00	5.482932e-02	3.517303e-03	3.517303e-03
1.400000e+00	1.500000e+00	4.828590e-02	3.300756e-03	3.300756e-03
1.500000e+00	1.600000e+00	4.399883e-02	3.150822e-03	3.150822e-03
1.600000e+00	1.700000e+00	3.993740e-02	3.001879e-03	3.001879e-03
1.700000e+00	1.800000e+00	3.790669e-02	2.924564e-03	2.924564e-03
1.800000e+00	1.900000e+00	3.316835e-02	2.735679e-03	2.735679e-03
1.900000e+00	2.000000e+00	3.226581e-02	2.698203e-03	2.698203e-03
2.000000e+00	2.100000e+00	2.617367e-02	2.430164e-03	2.430164e-03
2.100000e+00	2.200000e+00	2.662494e-02	2.451024e-03	2.451024e-03
