# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=2.25635044064282033e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	4.847976e-02	4.172473e-03	4.172473e-03
6.283185e-02	1.256637e-01	5.063442e-02	4.264187e-03	4.264187e-03
1.256637e-01	1.884956e-01	4.309309e-02	3.933843e-03	3.933843e-03
1.884956e-01	2.513274e-01	4.991624e-02	4.233840e-03	4.233840e-03
2.513274e-01	3.141593e-01	4.991616e-02	4.233833e-03	4.233833e-03
3.141593e-01	3.769911e-01	6.356240e-02	4.777643e-03	4.777643e-03
3.769911e-01	4.398230e-01	5.673924e-02	4.513931e-03	4.513931e-03
4.398230e-01	5.026548e-01	6.535796e-02	4.844654e-03	4.844654e-03
5.026548e-01	5.654867e-01	6.787161e-02	4.936933e-03	4.936933e-03
5.654867e-01	6.283185e-01	7.433569e-02	5.166687e-03	5.166687e-03
6.283185e-01	6.911504e-01	6.894894e-02	4.975961e-03	4.975961e-03
6.911504e-01	7.539822e-01	7.074459e-02	5.040344e-03	5.040344e-03
7.539822e-01	8.168141e-01	6.212586e-02	4.723342e-03	4.723342e-03
8.168141e-01	8.796459e-01	6.392152e-02	4.791120e-03	4.791120e-03
8.796459e-01	9.424778e-01	5.171171e-02	4.309309e-03	4.309309e-03
9.424778e-01	1.005310e+00	5.673897e-02	4.513909e-03	4.513909e-03
1.005310e+00	1.068142e+00	4.668411e-02	4.094467e-03	4.094467e-03
1.068142e+00	1.130973e+00	5.278979e-02	4.354028e-03	4.354028e-03
1.130973e+00	1.193805e+00	5.350716e-02	4.383478e-03	4.383478e-03
1.193805e+00	1.256637e+00	5.314806e-02	4.368743e-03	4.368743e-03
1.256637e+00	1.319469e+00	5.602093e-02	4.485264e-03	4.485264e-03
1.319469e+00	1.382301e+00	5.350716e-02	4.383478e-03	4.383478e-03
1.382301e+00	1.445133e+00	4.452946e-02	3.998863e-03	3.998863e-03
1.445133e+00	1.507964e+00	4.453017e-02	3.998926e-03	3.998926e-03
1.507964e+00	1.570796e+00	4.452946e-02	3.998863e-03	3.998863e-03
1.570796e+00	1.633628e+00	4.596589e-02	4.062849e-03	4.062849e-03
1.633628e+00	1.696460e+00	4.165659e-02	3.867717e-03	3.867717e-03
1.696460e+00	1.759292e+00	4.022014e-02	3.800447e-03	3.800447e-03
1.759292e+00	1.822124e+00	4.273391e-02	3.917411e-03	3.917411e-03
1.822124e+00	1.884956e+00	4.596589e-02	4.062849e-03	4.062849e-03
1.884956e+00	1.947787e+00	4.057990e-02	3.817436e-03	3.817436e-03
1.947787e+00	2.010619e+00	4.740233e-02	4.125842e-03	4.125842e-03
2.010619e+00	2.073451e+00	4.883876e-02	4.187889e-03	4.187889e-03
2.073451e+00	2.136283e+00	4.129748e-02	3.851010e-03	3.851010e-03
2.136283e+00	2.199115e+00	5.027519e-02	4.249029e-03	4.249029e-03
2.199115e+00	2.261947e+00	4.919786e-02	4.203257e-03	4.203257e-03
2.261947e+00	2.324779e+00	5.494360e-02	4.441927e-03	4.441927e-03
2.324779e+00	2.387610e+00	5.602182e-02	4.485335e-03	4.485335e-03
2.387610e+00	2.450442e+00	5.997111e-02	4.640704e-03	4.640704e-03
2.450442e+00	2.513274e+00	5.961201e-02	4.626789e-03	4.626789e-03
2.513274e+00	2.576106e+00	5.350716e-02	4.383478e-03	4.383478e-03
2.576106e+00	2.638938e+00	7.218080e-02	5.091243e-03	5.091243e-03
2.638938e+00	2.701770e+00	5.961201e-02	4.626789e-03	4.626789e-03
2.701770e+00	2.764602e+00	5.781646e-02	4.556576e-03	4.556576e-03
2.764602e+00	2.827433e+00	6.104942e-02	4.682276e-03	4.682276e-03
2.827433e+00	2.890265e+00	6.104845e-02	4.682202e-03	4.682202e-03
2.890265e+00	2.953097e+00	6.535775e-02	4.844638e-03	4.844638e-03
2.953097e+00	3.015929e+00	7.649010e-02	5.241016e-03	5.241016e-03
3.015929e+00	3.078761e+00	7.074437e-02	5.040328e-03	5.040328e-03
3.078761e+00	3.141593e+00	7.505367e-02	5.191572e-03	5.191572e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
