# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=2.25635044064282033e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.353816e-03	8.461347e-05	8.461347e-05
5.426665e+01	5.889739e+01	1.685902e-03	9.063465e-05	9.063465e-05
5.889739e+01	6.392328e+01	1.737419e-03	8.831796e-05	8.831796e-05
6.392328e+01	6.937805e+01	2.051691e-03	9.212361e-05	9.212361e-05
6.937805e+01	7.529829e+01	1.802721e-03	8.288917e-05	8.288917e-05
7.529829e+01	8.172373e+01	1.323869e-03	6.818272e-05	6.818272e-05
8.172373e+01	8.869746e+01	1.032125e-03	5.778787e-05	5.778787e-05
8.869746e+01	9.626628e+01	8.764471e-04	5.111542e-05	5.111542e-05
9.626628e+01	1.044810e+02	8.020411e-04	4.693590e-05	4.693590e-05
1.044810e+02	1.133967e+02	6.984900e-04	4.204415e-05	4.204415e-05
1.133967e+02	1.230731e+02	6.295881e-04	3.831552e-05	3.831552e-05
1.230731e+02	1.335753e+02	6.660210e-04	3.782745e-05	3.782745e-05
1.335753e+02	1.449737e+02	5.562487e-04	3.318301e-05	3.318301e-05
1.449737e+02	1.573448e+02	4.906260e-04	2.991400e-05	2.991400e-05
1.573448e+02	1.707715e+02	4.352483e-04	2.704501e-05	2.704501e-05
1.707715e+02	1.853439e+02	3.948350e-04	2.472553e-05	2.472553e-05
1.853439e+02	2.011599e+02	3.095776e-04	2.101550e-05	2.101550e-05
2.011599e+02	2.183255e+02	2.996970e-04	1.984792e-05	1.984792e-05
2.183255e+02	2.369559e+02	2.458558e-04	1.725569e-05	1.725569e-05
2.369559e+02	2.571760e+02	1.975134e-04	1.484601e-05	1.484601e-05
2.571760e+02	2.791217e+02	1.542227e-04	1.259223e-05	1.259223e-05
2.791217e+02	3.029400e+02	1.222040e-04	1.075946e-05	1.075946e-05
