# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\eta$ distribution
XLabel=$\eta^\mathrm{jet}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^\mathrm{jet}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=6.48634551618792145e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.699423e-02	1.049907e-03	1.049907e-03
-2.400000e+00	-2.300000e+00	1.842122e-02	1.093098e-03	1.093098e-03
-2.300000e+00	-2.200000e+00	1.991308e-02	1.136499e-03	1.136499e-03
-2.200000e+00	-2.100000e+00	1.958876e-02	1.127207e-03	1.127207e-03
-2.100000e+00	-2.000000e+00	2.309139e-02	1.223841e-03	1.223841e-03
-2.000000e+00	-1.900000e+00	2.769670e-02	1.340337e-03	1.340337e-03
-1.900000e+00	-1.800000e+00	2.808588e-02	1.349721e-03	1.349721e-03
-1.800000e+00	-1.700000e+00	3.113446e-02	1.421087e-03	1.421087e-03
-1.700000e+00	-1.600000e+00	2.918855e-02	1.375962e-03	1.375962e-03
-1.600000e+00	-1.500000e+00	3.178309e-02	1.435814e-03	1.435814e-03
-1.500000e+00	-1.400000e+00	3.314523e-02	1.466259e-03	1.466259e-03
-1.400000e+00	-1.300000e+00	3.385872e-02	1.481956e-03	1.481956e-03
-1.300000e+00	-1.200000e+00	4.125316e-02	1.635794e-03	1.635794e-03
-1.200000e+00	-1.100000e+00	3.937212e-02	1.598065e-03	1.598065e-03
-1.100000e+00	-1.000000e+00	4.073425e-02	1.625473e-03	1.625473e-03
-1.000000e+00	-9.000000e-01	4.099370e-02	1.630642e-03	1.630642e-03
-9.000000e-01	-8.000000e-01	4.248556e-02	1.660048e-03	1.660048e-03
-8.000000e-01	-7.000000e-01	4.456119e-02	1.700116e-03	1.700116e-03
-7.000000e-01	-6.000000e-01	4.319906e-02	1.673930e-03	1.673930e-03
-6.000000e-01	-5.000000e-01	4.475578e-02	1.703824e-03	1.703824e-03
-5.000000e-01	-4.000000e-01	4.475578e-02	1.703824e-03	1.703824e-03
-4.000000e-01	-3.000000e-01	4.495037e-02	1.707524e-03	1.707524e-03
-3.000000e-01	-2.000000e-01	4.469092e-02	1.702589e-03	1.702589e-03
-2.000000e-01	-1.000000e-01	4.319906e-02	1.673930e-03	1.673930e-03
-1.000000e-01	0.000000e+00	4.618278e-02	1.730773e-03	1.730773e-03
0.000000e+00	1.000000e-01	4.566387e-02	1.721022e-03	1.721022e-03
1.000000e-01	2.000000e-01	4.605305e-02	1.728340e-03	1.728340e-03
2.000000e-01	3.000000e-01	4.482065e-02	1.705058e-03	1.705058e-03
3.000000e-01	4.000000e-01	4.079911e-02	1.626767e-03	1.626767e-03
4.000000e-01	5.000000e-01	4.293961e-02	1.668895e-03	1.668895e-03
5.000000e-01	6.000000e-01	4.423688e-02	1.693918e-03	1.693918e-03
6.000000e-01	7.000000e-01	4.287474e-02	1.667634e-03	1.667634e-03
7.000000e-01	8.000000e-01	4.579360e-02	1.723465e-03	1.723465e-03
8.000000e-01	9.000000e-01	4.293961e-02	1.668895e-03	1.668895e-03
9.000000e-01	1.000000e+00	4.170720e-02	1.644771e-03	1.644771e-03
1.000000e+00	1.100000e+00	3.930725e-02	1.596748e-03	1.596748e-03
1.100000e+00	1.200000e+00	3.755594e-02	1.560772e-03	1.560772e-03
1.200000e+00	1.300000e+00	3.483168e-02	1.503098e-03	1.503098e-03
1.300000e+00	1.400000e+00	3.243173e-02	1.450391e-03	1.450391e-03
1.400000e+00	1.500000e+00	3.612894e-02	1.530832e-03	1.530832e-03
1.500000e+00	1.600000e+00	3.301550e-02	1.463386e-03	1.463386e-03
1.600000e+00	1.700000e+00	3.158850e-02	1.431412e-03	1.431412e-03
1.700000e+00	1.800000e+00	2.866965e-02	1.363676e-03	1.363676e-03
1.800000e+00	1.900000e+00	2.529675e-02	1.280950e-03	1.280950e-03
1.900000e+00	2.000000e+00	2.412921e-02	1.251041e-03	1.251041e-03
2.000000e+00	2.100000e+00	2.445352e-02	1.259421e-03	1.259421e-03
2.100000e+00	2.200000e+00	2.159953e-02	1.183647e-03	1.183647e-03
