# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\phi$ distribution
XLabel=$\phi^\mathrm{jet}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{jet}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=6.48634551618792145e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	2.776979e-02	1.197240e-03	1.197240e-03
1.256637e-01	2.513274e-01	2.678906e-02	1.175910e-03	1.175910e-03
2.513274e-01	3.769911e-01	2.926667e-02	1.229085e-03	1.229085e-03
3.769911e-01	5.026548e-01	3.014415e-02	1.247374e-03	1.247374e-03
5.026548e-01	6.283185e-01	2.813110e-02	1.205004e-03	1.205004e-03
6.283185e-01	7.539822e-01	3.055709e-02	1.255889e-03	1.255889e-03
7.539822e-01	8.796459e-01	2.735685e-02	1.188306e-03	1.188306e-03
8.796459e-01	1.005310e+00	2.508564e-02	1.137908e-03	1.137908e-03
1.005310e+00	1.130973e+00	2.673760e-02	1.174783e-03	1.174783e-03
1.130973e+00	1.256637e+00	2.864720e-02	1.216006e-03	1.216006e-03
1.256637e+00	1.382301e+00	2.689224e-02	1.178170e-03	1.178170e-03
1.382301e+00	1.507964e+00	2.792479e-02	1.200581e-03	1.200581e-03
1.507964e+00	1.633628e+00	2.900851e-02	1.223651e-03	1.223651e-03
1.633628e+00	1.759292e+00	2.895690e-02	1.222561e-03	1.222561e-03
1.759292e+00	1.884956e+00	2.813103e-02	1.205001e-03	1.205001e-03
1.884956e+00	2.010619e+00	2.787318e-02	1.199471e-03	1.199471e-03
2.010619e+00	2.136283e+00	2.591152e-02	1.156488e-03	1.156488e-03
2.136283e+00	2.261947e+00	2.694385e-02	1.179300e-03	1.179300e-03
2.261947e+00	2.387610e+00	2.596335e-02	1.157648e-03	1.157648e-03
2.387610e+00	2.513274e+00	2.668577e-02	1.173639e-03	1.173639e-03
2.513274e+00	2.638938e+00	2.854397e-02	1.213813e-03	1.213813e-03
2.638938e+00	2.764602e+00	2.740840e-02	1.189423e-03	1.189423e-03
2.764602e+00	2.890265e+00	2.761509e-02	1.193904e-03	1.193904e-03
2.890265e+00	3.015929e+00	2.647930e-02	1.169090e-03	1.169090e-03
3.015929e+00	3.141593e+00	2.890528e-02	1.221471e-03	1.221471e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=1.59679898245800000e-07
Title=X1200_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
