# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\mathrm{T}^\mathrm{miss}$ [pb/GeV]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
ScaledBy=8.70500000000000051e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.370167e-03	4.884118e-05	4.884118e-05
5.000000e+00	1.000000e+01	2.357314e-03	6.406313e-05	6.406313e-05
1.000000e+01	1.500000e+01	2.460034e-03	6.544399e-05	6.544399e-05
1.500000e+01	2.000000e+01	2.050898e-03	5.975461e-05	5.975461e-05
2.000000e+01	2.500000e+01	1.841978e-03	5.662935e-05	5.662935e-05
2.500000e+01	3.000000e+01	1.702698e-03	5.444628e-05	5.444628e-05
3.000000e+01	3.500000e+01	1.586051e-03	5.254821e-05	5.254821e-05
3.500000e+01	4.000000e+01	1.427620e-03	4.985465e-05	4.985465e-05
4.000000e+01	4.500000e+01	1.337088e-03	4.824801e-05	4.824801e-05
4.500000e+01	5.000000e+01	1.333606e-03	4.818514e-05	4.818514e-05
5.000000e+01	5.500000e+01	1.100312e-03	4.376806e-05	4.376806e-05
5.500000e+01	6.000000e+01	1.055046e-03	4.285832e-05	4.285832e-05
6.000000e+01	6.500000e+01	1.056787e-03	4.289366e-05	4.289366e-05
6.500000e+01	7.000000e+01	1.028931e-03	4.232456e-05	4.232456e-05
7.000000e+01	7.500000e+01	8.826870e-04	3.920151e-05	3.920151e-05
7.500000e+01	8.000000e+01	8.409030e-04	3.826241e-05	3.826241e-05
8.000000e+01	8.500000e+01	7.956370e-04	3.721833e-05	3.721833e-05
8.500000e+01	9.000000e+01	7.016230e-04	3.495033e-05	3.495033e-05
9.000000e+01	9.500000e+01	6.250190e-04	3.298724e-05	3.298724e-05
9.500000e+01	1.000000e+02	6.041270e-04	3.243124e-05	3.243124e-05
1.000000e+02	1.050000e+02	6.041270e-04	3.243124e-05	3.243124e-05
