# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=MET $\phi$ distribution
XLabel=$\phi^\mathrm{miss}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{miss}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=8.70500000000000051e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	2.763960e-02	1.383711e-03	1.383711e-03
1.256637e-01	2.513274e-01	2.881723e-02	1.412881e-03	1.412881e-03
2.513274e-01	3.769911e-01	2.784742e-02	1.388903e-03	1.388903e-03
3.769911e-01	5.026548e-01	2.874796e-02	1.411182e-03	1.411182e-03
5.026548e-01	6.283185e-01	2.770888e-02	1.385444e-03	1.385444e-03
6.283185e-01	7.539822e-01	2.957923e-02	1.431439e-03	1.431439e-03
7.539822e-01	8.796459e-01	2.694688e-02	1.366261e-03	1.366261e-03
8.796459e-01	1.005310e+00	2.867860e-02	1.409476e-03	1.409476e-03
1.005310e+00	1.130973e+00	2.722412e-02	1.373275e-03	1.373275e-03
1.130973e+00	1.256637e+00	2.950988e-02	1.429758e-03	1.429758e-03
1.256637e+00	1.382301e+00	2.382958e-02	1.284805e-03	1.284805e-03
1.382301e+00	1.507964e+00	2.805539e-02	1.394084e-03	1.394084e-03
1.507964e+00	1.633628e+00	2.736245e-02	1.376754e-03	1.376754e-03
1.633628e+00	1.759292e+00	2.916352e-02	1.421343e-03	1.421343e-03
1.759292e+00	1.884956e+00	2.902498e-02	1.417963e-03	1.417963e-03
1.884956e+00	2.010619e+00	2.680849e-02	1.362752e-03	1.362752e-03
2.010619e+00	2.136283e+00	2.694682e-02	1.366258e-03	1.366258e-03
2.136283e+00	2.261947e+00	2.576919e-02	1.336070e-03	1.336070e-03
2.261947e+00	2.387610e+00	2.805539e-02	1.394084e-03	1.394084e-03
2.387610e+00	2.513274e+00	2.819371e-02	1.397511e-03	1.397511e-03
2.513274e+00	2.638938e+00	2.999479e-02	1.441457e-03	1.441457e-03
2.638938e+00	2.764602e+00	2.791663e-02	1.390626e-03	1.390626e-03
2.764602e+00	2.890265e+00	2.923303e-02	1.423041e-03	1.423041e-03
2.890265e+00	3.015929e+00	2.694682e-02	1.366258e-03	1.366258e-03
3.015929e+00	3.141593e+00	2.514575e-02	1.319809e-03	1.319809e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=3.01300000000000031e-07
Title=X1200_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
