# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta R$
XLabel=$\Delta R_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=9.53673292566163565e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.043798e-04	2.707076e-05	2.707076e-05
5.000000e-01	6.000000e-01	4.804717e-04	4.150643e-05	4.150643e-05
6.000000e-01	7.000000e-01	6.776802e-04	4.929399e-05	4.929399e-05
7.000000e-01	8.000000e-01	7.099507e-04	5.045400e-05	5.045400e-05
8.000000e-01	9.000000e-01	7.099507e-04	5.045400e-05	5.045400e-05
9.000000e-01	1.000000e+00	8.533751e-04	5.531609e-05	5.531609e-05
1.000000e+00	1.100000e+00	9.071593e-04	5.725759e-05	5.725759e-05
1.100000e+00	1.200000e+00	1.032656e-03	6.084982e-05	6.084982e-05
1.200000e+00	1.300000e+00	1.104368e-03	6.292720e-05	6.292720e-05
1.300000e+00	1.400000e+00	1.308748e-03	6.850298e-05	6.850298e-05
1.400000e+00	1.500000e+00	1.201179e-03	6.562743e-05	6.562743e-05
1.500000e+00	1.600000e+00	1.315919e-03	6.869040e-05	6.869040e-05
1.600000e+00	1.700000e+00	1.484442e-03	7.295636e-05	7.295636e-05
1.700000e+00	1.800000e+00	1.584839e-03	7.538313e-05	7.538313e-05
1.800000e+00	1.900000e+00	1.663723e-03	7.740267e-05	7.740267e-05
1.900000e+00	2.000000e+00	1.746192e-03	7.912751e-05	7.912751e-05
2.000000e+00	2.100000e+00	1.635038e-03	7.656767e-05	7.656767e-05
2.100000e+00	2.200000e+00	1.764120e-03	7.969416e-05	7.969416e-05
2.200000e+00	2.300000e+00	1.914716e-03	8.285785e-05	8.285785e-05
2.300000e+00	2.400000e+00	2.007941e-03	8.485101e-05	8.485101e-05
2.400000e+00	2.500000e+00	1.975671e-03	8.416641e-05	8.416641e-05
2.500000e+00	2.600000e+00	2.197979e-03	8.877553e-05	8.877553e-05
2.600000e+00	2.700000e+00	2.212321e-03	8.906470e-05	8.906470e-05
2.700000e+00	2.800000e+00	2.391602e-03	9.260319e-05	9.260319e-05
2.800000e+00	2.900000e+00	2.452557e-03	9.377586e-05	9.377586e-05
2.900000e+00	3.000000e+00	2.466899e-03	9.418626e-05	9.418626e-05
3.000000e+00	3.100000e+00	2.352160e-03	9.183642e-05	9.183642e-05
3.100000e+00	3.200000e+00	2.223078e-03	8.928096e-05	8.928096e-05
3.200000e+00	3.300000e+00	1.484442e-03	7.295636e-05	7.295636e-05
3.300000e+00	3.400000e+00	1.194008e-03	6.543124e-05	6.543124e-05
3.400000e+00	3.500000e+00	9.932139e-04	5.967644e-05	5.967644e-05
3.500000e+00	3.600000e+00	7.924197e-04	5.330392e-05	5.330392e-05
3.600000e+00	3.700000e+00	6.740946e-04	4.916340e-05	4.916340e-05
3.700000e+00	3.800000e+00	5.952112e-04	4.619735e-05	4.619735e-05
3.800000e+00	3.900000e+00	4.410300e-04	3.976633e-05	3.976633e-05
3.900000e+00	4.000000e+00	4.338588e-04	3.944170e-05	3.944170e-05
4.000000e+00	4.100000e+00	3.872458e-04	3.726274e-05	3.726274e-05
4.100000e+00	4.200000e+00	2.617495e-04	3.063546e-05	3.063546e-05
4.200000e+00	4.300000e+00	2.438215e-04	2.956770e-05	2.956770e-05
4.300000e+00	4.400000e+00	1.577668e-04	2.378424e-05	2.378424e-05
4.400000e+00	4.500000e+00	1.972085e-04	2.659159e-05	2.659159e-05
4.500000e+00	4.600000e+00	1.362532e-04	2.210318e-05	2.210318e-05
4.600000e+00	4.700000e+00	9.322585e-05	1.828309e-05	1.828309e-05
4.700000e+00	4.800000e+00	8.605463e-05	1.756583e-05	1.756583e-05
4.800000e+00	4.900000e+00	5.378415e-05	1.388701e-05	1.388701e-05
4.900000e+00	5.000000e+00	6.095536e-05	1.478385e-05	1.478385e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=8.22287558899903432e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.960504e-04	2.413214e-05	2.413214e-05
5.000000e-01	6.000000e-01	4.336872e-04	3.589221e-05	3.589221e-05
6.000000e-01	7.000000e-01	5.851807e-04	4.169240e-05	4.169240e-05
7.000000e-01	8.000000e-01	6.891468e-04	4.524470e-05	4.524470e-05
8.000000e-01	9.000000e-01	6.505309e-04	4.395880e-05	4.395880e-05
9.000000e-01	1.000000e+00	7.307333e-04	4.658985e-05	4.658985e-05
1.000000e+00	1.100000e+00	8.584631e-04	5.049783e-05	5.049783e-05
1.100000e+00	1.200000e+00	8.673745e-04	5.075926e-05	5.075926e-05
1.200000e+00	1.300000e+00	1.012927e-03	5.485308e-05	5.485308e-05
1.300000e+00	1.400000e+00	1.090159e-03	5.690583e-05	5.690583e-05
1.400000e+00	1.500000e+00	1.188184e-03	5.940921e-05	5.940921e-05
1.500000e+00	1.600000e+00	1.155509e-03	5.858664e-05	5.858664e-05
1.600000e+00	1.700000e+00	1.200066e-03	5.970552e-05	5.970552e-05
1.700000e+00	1.800000e+00	1.286209e-03	6.181128e-05	6.181128e-05
1.800000e+00	1.900000e+00	1.437703e-03	6.535013e-05	6.535013e-05
1.900000e+00	2.000000e+00	1.618901e-03	6.934610e-05	6.934610e-05
2.000000e+00	2.100000e+00	1.562462e-03	6.812659e-05	6.812659e-05
2.100000e+00	2.200000e+00	1.559492e-03	6.806180e-05	6.806180e-05
2.200000e+00	2.300000e+00	1.907036e-03	7.526469e-05	7.526469e-05
2.300000e+00	2.400000e+00	1.978327e-03	7.665860e-05	7.665860e-05
2.400000e+00	2.500000e+00	2.034765e-03	7.774439e-05	7.774439e-05
2.500000e+00	2.600000e+00	2.153584e-03	7.998210e-05	7.998210e-05
2.600000e+00	2.700000e+00	2.400132e-03	8.443635e-05	8.443635e-05
2.700000e+00	2.800000e+00	2.566478e-03	8.741435e-05	8.741435e-05
2.800000e+00	2.900000e+00	2.593212e-03	8.796777e-05	8.796777e-05
2.900000e+00	3.000000e+00	2.628858e-03	8.836808e-05	8.836808e-05
3.000000e+00	3.100000e+00	2.780351e-03	9.087862e-05	9.087862e-05
3.100000e+00	3.200000e+00	2.343693e-03	8.343770e-05	8.343770e-05
3.200000e+00	3.300000e+00	1.571374e-03	6.832059e-05	6.832059e-05
3.300000e+00	3.400000e+00	1.170361e-03	5.896195e-05	5.896195e-05
3.400000e+00	3.500000e+00	7.901425e-04	4.844674e-05	4.844674e-05
3.500000e+00	3.600000e+00	6.950878e-04	4.543931e-05	4.543931e-05
3.600000e+00	3.700000e+00	5.525057e-04	4.051168e-05	4.051168e-05
3.700000e+00	3.800000e+00	5.109192e-04	3.895722e-05	3.895722e-05
3.800000e+00	3.900000e+00	3.534848e-04	3.240390e-05	3.240390e-05
3.900000e+00	4.000000e+00	2.762528e-04	2.864608e-05	2.864608e-05
4.000000e+00	4.100000e+00	2.614005e-04	2.786539e-05	2.786539e-05
4.100000e+00	4.200000e+00	2.376368e-04	2.656861e-05	2.656861e-05
4.200000e+00	4.300000e+00	1.217889e-04	1.902023e-05	1.902023e-05
4.300000e+00	4.400000e+00	1.009957e-04	1.732061e-05	1.732061e-05
4.400000e+00	4.500000e+00	1.009957e-04	1.732061e-05	1.732061e-05
4.500000e+00	4.600000e+00	8.614336e-05	1.599642e-05	1.599642e-05
4.600000e+00	4.700000e+00	5.346829e-05	1.260259e-05	1.260259e-05
4.700000e+00	4.800000e+00	5.643875e-05	1.294794e-05	1.294794e-05
4.800000e+00	4.900000e+00	3.267507e-05	9.851903e-06	9.851903e-06
4.900000e+00	5.000000e+00	1.782276e-05	7.276112e-06	7.276112e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.49338603861111734e-05
Title=X1200_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	9.550126e-06	1.406866e-06	1.406866e-06
5.000000e-01	6.000000e-01	1.512103e-05	1.734501e-06	1.734501e-06
6.000000e-01	7.000000e-01	2.148778e-05	2.067663e-06	2.067663e-06
7.000000e-01	8.000000e-01	2.288051e-05	2.152092e-06	2.152092e-06
8.000000e-01	9.000000e-01	3.004310e-05	2.461011e-06	2.461011e-06
