# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\eta$
XLabel=$\Delta\eta_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=9.53673292566163565e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.355746e-03	9.204617e-05	9.204617e-05
1.000000e-01	2.000000e-01	2.341403e-03	9.162619e-05	9.162619e-05
2.000000e-01	3.000000e-01	2.305547e-03	9.092190e-05	9.092190e-05
3.000000e-01	4.000000e-01	2.391602e-03	9.260319e-05	9.260319e-05
4.000000e-01	5.000000e-01	2.441800e-03	9.370729e-05	9.370729e-05
5.000000e-01	6.000000e-01	2.599567e-03	9.654550e-05	9.654550e-05
6.000000e-01	7.000000e-01	2.355746e-03	9.190639e-05	9.190639e-05
7.000000e-01	8.000000e-01	2.330646e-03	9.141547e-05	9.141547e-05
8.000000e-01	9.000000e-01	2.255348e-03	8.992663e-05	8.992663e-05
9.000000e-01	1.000000e+00	2.172879e-03	8.826720e-05	8.826720e-05
1.000000e+00	1.100000e+00	2.126267e-03	8.731530e-05	8.731530e-05
1.100000e+00	1.200000e+00	1.843003e-03	8.129140e-05	8.129140e-05
1.200000e+00	1.300000e+00	1.846589e-03	8.137043e-05	8.137043e-05
1.300000e+00	1.400000e+00	1.785634e-03	8.017667e-05	8.017667e-05
1.400000e+00	1.500000e+00	1.789219e-03	8.009645e-05	8.009645e-05
1.500000e+00	1.600000e+00	1.455758e-03	7.242577e-05	7.242577e-05
1.600000e+00	1.700000e+00	1.513127e-03	7.365788e-05	7.365788e-05
1.700000e+00	1.800000e+00	1.445001e-03	7.198062e-05	7.198062e-05
1.800000e+00	1.900000e+00	1.179666e-03	6.503707e-05	6.503707e-05
1.900000e+00	2.000000e+00	1.254963e-03	6.708062e-05	6.708062e-05
2.000000e+00	2.100000e+00	1.097197e-03	6.272256e-05	6.272256e-05
2.100000e+00	2.200000e+00	1.086440e-03	6.241433e-05	6.241433e-05
2.200000e+00	2.300000e+00	1.011142e-03	6.021262e-05	6.021262e-05
2.300000e+00	2.400000e+00	9.717002e-04	5.902659e-05	5.902659e-05
2.400000e+00	2.500000e+00	7.744917e-04	5.269749e-05	5.269749e-05
2.500000e+00	2.600000e+00	7.493924e-04	5.183656e-05	5.183656e-05
2.600000e+00	2.700000e+00	6.454097e-04	4.810600e-05	4.810600e-05
2.700000e+00	2.800000e+00	5.772832e-04	4.549629e-05	4.549629e-05
2.800000e+00	2.900000e+00	5.736975e-04	4.535477e-05	4.535477e-05
2.900000e+00	3.000000e+00	4.589580e-04	4.056654e-05	4.056654e-05
3.000000e+00	3.100000e+00	4.374444e-04	3.960436e-05	3.960436e-05
3.100000e+00	3.200000e+00	4.374444e-04	3.960436e-05	3.960436e-05
