# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\phi$
XLabel=$\Delta\phi_{bb}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{bb}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=9.53673292566163565e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	9.301881e-04	7.285795e-05	7.285795e-05
6.283185e-02	1.256637e-01	1.078562e-03	7.845382e-05	7.845382e-05
1.256637e-01	1.884956e-01	1.107094e-03	7.948473e-05	7.948473e-05
1.884956e-01	2.513274e-01	1.010082e-03	7.592244e-05	7.592244e-05
2.513274e-01	3.141593e-01	1.158454e-03	8.130754e-05	8.130754e-05
3.141593e-01	3.769911e-01	1.169869e-03	8.170722e-05	8.170722e-05
3.769911e-01	4.398230e-01	1.204107e-03	8.289418e-05	8.289418e-05
4.398230e-01	5.026548e-01	1.358190e-03	8.803837e-05	8.803837e-05
5.026548e-01	5.654867e-01	1.186988e-03	8.230277e-05	8.230277e-05
5.654867e-01	6.283185e-01	1.346776e-03	8.766768e-05	8.766768e-05
6.283185e-01	6.911504e-01	1.278294e-03	8.540963e-05	8.540963e-05
6.911504e-01	7.539822e-01	1.318243e-03	8.673403e-05	8.673403e-05
7.539822e-01	8.168141e-01	1.415254e-03	8.986874e-05	8.986874e-05
8.168141e-01	8.796459e-01	1.323950e-03	8.692155e-05	8.692155e-05
8.796459e-01	9.424778e-01	1.409548e-03	9.004975e-05	9.004975e-05
9.424778e-01	1.005310e+00	1.420954e-03	9.004932e-05	9.004932e-05
1.005310e+00	1.068142e+00	1.278292e-03	8.540950e-05	8.540950e-05
1.068142e+00	1.130973e+00	1.375327e-03	8.859263e-05	8.859263e-05
1.130973e+00	1.193805e+00	1.432372e-03	9.041053e-05	9.041053e-05
1.193805e+00	1.256637e+00	1.392426e-03	8.914091e-05	8.914091e-05
1.256637e+00	1.319469e+00	1.323945e-03	8.692127e-05	8.692127e-05
1.319469e+00	1.382301e+00	1.552212e-03	9.411667e-05	9.411667e-05
1.382301e+00	1.445133e+00	1.500852e-03	9.254650e-05	9.254650e-05
1.445133e+00	1.507964e+00	1.540823e-03	9.377151e-05	9.377151e-05
1.507964e+00	1.570796e+00	1.466612e-03	9.148474e-05	9.148474e-05
1.570796e+00	1.633628e+00	1.654932e-03	9.718095e-05	9.718095e-05
1.633628e+00	1.696460e+00	1.632105e-03	9.650841e-05	9.650841e-05
1.696460e+00	1.759292e+00	1.660638e-03	9.768232e-05	9.768232e-05
1.759292e+00	1.822124e+00	1.580745e-03	9.532005e-05	9.532005e-05
1.822124e+00	1.884956e+00	1.797598e-03	1.012832e-04	1.012832e-04
1.884956e+00	1.947787e+00	1.780506e-03	1.008013e-04	1.008013e-04
1.947787e+00	2.010619e+00	1.552212e-03	9.411667e-05	9.411667e-05
2.010619e+00	2.073451e+00	1.786185e-03	1.009612e-04	1.009612e-04
2.073451e+00	2.136283e+00	1.711999e-03	9.884228e-05	9.884228e-05
2.136283e+00	2.199115e+00	1.751945e-03	9.998879e-05	9.998879e-05
2.199115e+00	2.261947e+00	1.837545e-03	1.024024e-04	1.024024e-04
2.261947e+00	2.324779e+00	1.791891e-03	1.011223e-04	1.011223e-04
2.324779e+00	2.387610e+00	1.803334e-03	1.014455e-04	1.014455e-04
2.387610e+00	2.450442e+00	1.803306e-03	1.014438e-04	1.014438e-04
2.450442e+00	2.513274e+00	2.191358e-03	1.121181e-04	1.121181e-04
2.513274e+00	2.576106e+00	2.082932e-03	1.090256e-04	1.090256e-04
2.576106e+00	2.638938e+00	2.179945e-03	1.115357e-04	1.115357e-04
2.638938e+00	2.701770e+00	2.082932e-03	1.090256e-04	1.090256e-04
2.701770e+00	2.764602e+00	2.465277e-03	1.186107e-04	1.186107e-04
2.764602e+00	2.827433e+00	2.100084e-03	1.094745e-04	1.094745e-04
2.827433e+00	2.890265e+00	2.391091e-03	1.168125e-04	1.168125e-04
2.890265e+00	2.953097e+00	2.145704e-03	1.106563e-04	1.106563e-04
2.953097e+00	3.015929e+00	2.396798e-03	1.169518e-04	1.169518e-04
3.015929e+00	3.078761e+00	2.145704e-03	1.106563e-04	1.106563e-04
3.078761e+00	3.141593e+00	2.151412e-03	1.108033e-04	1.108033e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=8.22287558899903432e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	6.855071e-04	5.692826e-05	5.692826e-05
6.283185e-02	1.256637e-01	7.800598e-04	6.072757e-05	6.072757e-05
1.256637e-01	1.884956e-01	8.557013e-04	6.360377e-05	6.360377e-05
1.884956e-01	2.513274e-01	8.557027e-04	6.360387e-05	6.360387e-05
2.513274e-01	3.141593e-01	7.611486e-04	5.998691e-05	5.998691e-05
3.141593e-01	3.769911e-01	7.753327e-04	6.054331e-05	6.054331e-05
3.769911e-01	4.398230e-01	8.982499e-04	6.516590e-05	6.516590e-05
4.398230e-01	5.026548e-01	1.035353e-03	6.996266e-05	6.996266e-05
5.026548e-01	5.654867e-01	1.106266e-03	7.231886e-05	7.231886e-05
5.654867e-01	6.283185e-01	1.229186e-03	7.623088e-05	7.623088e-05
6.283185e-01	6.911504e-01	1.106266e-03	7.231886e-05	7.231886e-05
6.911504e-01	7.539822e-01	1.021170e-03	6.948181e-05	6.948181e-05
7.539822e-01	8.168141e-01	1.162997e-03	7.414999e-05	7.414999e-05
8.168141e-01	8.796459e-01	9.644382e-04	6.752419e-05	6.752419e-05
8.796459e-01	9.424778e-01	1.252822e-03	7.696025e-05	7.696025e-05
9.424778e-01	1.005310e+00	1.219723e-03	7.593664e-05	7.593664e-05
1.005310e+00	1.068142e+00	1.129902e-03	7.308729e-05	7.308729e-05
1.068142e+00	1.130973e+00	1.167742e-03	7.430162e-05	7.430162e-05
1.130973e+00	1.193805e+00	1.158268e-03	7.399902e-05	7.399902e-05
1.193805e+00	1.256637e+00	1.219727e-03	7.593688e-05	7.593688e-05
1.256637e+00	1.319469e+00	1.290641e-03	7.811317e-05	7.811317e-05
1.319469e+00	1.382301e+00	1.172451e-03	7.445070e-05	7.445070e-05
1.382301e+00	1.445133e+00	1.399377e-03	8.133711e-05	8.133711e-05
1.445133e+00	1.507964e+00	1.356850e-03	8.009229e-05	8.009229e-05
1.507964e+00	1.570796e+00	1.389921e-03	8.106186e-05	8.106186e-05
1.570796e+00	1.633628e+00	1.200816e-03	7.534592e-05	7.534592e-05
1.633628e+00	1.696460e+00	1.385194e-03	8.092388e-05	8.092388e-05
1.696460e+00	1.759292e+00	1.493929e-03	8.404008e-05	8.404008e-05
1.759292e+00	1.822124e+00	1.597937e-03	8.691631e-05	8.691631e-05
1.822124e+00	1.884956e+00	1.460836e-03	8.310403e-05	8.310403e-05
1.884956e+00	1.947787e+00	1.475042e-03	8.350781e-05	8.350781e-05
1.947787e+00	2.010619e+00	1.612120e-03	8.730118e-05	8.730118e-05
2.010619e+00	2.073451e+00	1.782315e-03	9.179385e-05	9.179385e-05
2.073451e+00	2.136283e+00	1.626302e-03	8.768436e-05	8.768436e-05
2.136283e+00	2.199115e+00	1.961964e-03	9.630902e-05	9.630902e-05
2.199115e+00	2.261947e+00	1.862683e-03	9.384064e-05	9.384064e-05
2.261947e+00	2.324779e+00	1.971419e-03	9.654081e-05	9.654081e-05
2.324779e+00	2.387610e+00	2.099098e-03	9.961879e-05	9.961879e-05
2.387610e+00	2.450442e+00	2.013967e-03	9.757706e-05	9.757706e-05
2.450442e+00	2.513274e+00	2.094337e-03	9.950497e-05	9.950497e-05
2.513274e+00	2.576106e+00	2.321263e-03	1.047571e-04	1.047571e-04
2.576106e+00	2.638938e+00	2.065971e-03	9.882882e-05	9.882882e-05
2.638938e+00	2.701770e+00	2.444181e-03	1.077027e-04	1.077027e-04
2.701770e+00	2.764602e+00	2.486730e-03	1.084266e-04	1.084266e-04
2.764602e+00	2.827433e+00	2.718427e-03	1.135632e-04	1.135632e-04
2.827433e+00	2.890265e+00	2.463092e-03	1.081169e-04	1.081169e-04
2.890265e+00	2.953097e+00	2.586010e-03	1.105698e-04	1.105698e-04
2.953097e+00	3.015929e+00	2.425271e-03	1.070783e-04	1.070783e-04
3.015929e+00	3.078761e+00	2.411088e-03	1.067648e-04	1.067648e-04
3.078761e+00	3.141593e+00	2.746750e-03	1.139544e-04	1.139544e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=1.49338603861111734e-05
Title=X1200_pi10_L20
