# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet invariant mass
XLabel=$m_{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=9.53673292566163565e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	9.496300e-06	8.933366e-07	8.933366e-07
5.426665e+01	5.889739e+01	1.300834e-05	1.003615e-06	1.003615e-06
5.889739e+01	6.392328e+01	1.376916e-05	9.911255e-07	9.911255e-07
6.392328e+01	6.937805e+01	1.446136e-05	9.749849e-07	9.749849e-07
6.937805e+01	7.529829e+01	1.477793e-05	9.460599e-07	9.460599e-07
7.529829e+01	8.172373e+01	1.395083e-05	8.823281e-07	8.823281e-07
8.172373e+01	8.869746e+01	1.362523e-05	8.369910e-07	8.369910e-07
8.869746e+01	9.626628e+01	1.572797e-05	8.631850e-07	8.631850e-07
9.626628e+01	1.044810e+02	1.436039e-05	7.917137e-07	7.917137e-07
1.044810e+02	1.133967e+02	1.508131e-05	7.787951e-07	7.787951e-07
1.133967e+02	1.230731e+02	1.500736e-05	7.457216e-07	7.457216e-07
1.230731e+02	1.335753e+02	1.420287e-05	6.963529e-07	6.963529e-07
1.335753e+02	1.449737e+02	1.421863e-05	6.687878e-07	6.687878e-07
1.449737e+02	1.573448e+02	1.257895e-05	6.038090e-07	6.038090e-07
1.573448e+02	1.707715e+02	1.265820e-05	5.814105e-07	5.814105e-07
1.707715e+02	1.853439e+02	1.134313e-05	5.283022e-07	5.283022e-07
1.853439e+02	2.011599e+02	1.017918e-05	4.803851e-07	4.803851e-07
2.011599e+02	2.183255e+02	1.052772e-05	4.698717e-07	4.698717e-07
2.183255e+02	2.369559e+02	9.969437e-06	4.380319e-07	4.380319e-07
2.369559e+02	2.571760e+02	8.352194e-06	3.856650e-07	3.856650e-07
2.571760e+02	2.791217e+02	8.626756e-06	3.754313e-07	3.754313e-07
2.791217e+02	3.029400e+02	7.692602e-06	3.403006e-07	3.403006e-07
3.029400e+02	3.287907e+02	6.768784e-06	3.064084e-07	3.064084e-07
3.287907e+02	3.568475e+02	6.389913e-06	2.857655e-07	2.857655e-07
3.568475e+02	3.872983e+02	6.064172e-06	2.672194e-07	2.672194e-07
3.872983e+02	4.203477e+02	5.044899e-06	2.344541e-07	2.344541e-07
4.203477e+02	4.562172e+02	4.758221e-06	2.180927e-07	2.180927e-07
4.562172e+02	4.951476e+02	4.172269e-06	1.960303e-07	1.960303e-07
4.951476e+02	5.374001e+02	3.436890e-06	1.707804e-07	1.707804e-07
5.374001e+02	5.832581e+02	2.908646e-06	1.508063e-07	1.508063e-07
5.832581e+02	6.330293e+02	2.715978e-06	1.398800e-07	1.398800e-07
6.330293e+02	6.870476e+02	2.263479e-06	1.225743e-07	1.225743e-07
6.870476e+02	7.456754e+02	1.559551e-06	9.766287e-08	9.766287e-08
7.456754e+02	8.093062e+02	1.504551e-06	9.207702e-08	9.207702e-08
8.093062e+02	8.783667e+02	9.293650e-07	6.985099e-08	6.985099e-08
8.783667e+02	9.533204e+02	6.840786e-07	5.720552e-08	5.720552e-08
9.533204e+02	1.034670e+03	4.716190e-07	4.559314e-08	4.559314e-08
1.034670e+03	1.122962e+03	4.589022e-07	4.316988e-08	4.316988e-08
1.122962e+03	1.218787e+03	2.881209e-07	3.283444e-08	3.283444e-08
1.218787e+03	1.322790e+03	1.792753e-07	2.486101e-08	2.486101e-08
1.322790e+03	1.435668e+03	1.080022e-07	1.852223e-08	1.852223e-08
1.435668e+03	1.558178e+03	7.902331e-08	1.520804e-08	1.520804e-08
1.558178e+03	1.691142e+03	3.505680e-08	9.723009e-09	9.723009e-09
1.691142e+03	1.835452e+03	3.478521e-08	9.296739e-09	9.296739e-09
1.835452e+03	1.992077e+03	1.144648e-08	5.119021e-09	5.119021e-09
1.992077e+03	2.162067e+03	4.218612e-09	2.983009e-09	2.983009e-09
2.162067e+03	2.346563e+03	3.886924e-09	2.748470e-09	2.748470e-09
2.346563e+03	2.546802e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.546802e+03	2.764129e+03	1.649869e-09	1.649869e-09	1.649869e-09
2.764129e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=8.22287558899903432e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	8.981037e-06	7.907362e-07	7.907362e-07
5.426665e+01	5.889739e+01	8.339054e-06	7.313835e-07	7.313835e-07
5.889739e+01	6.392328e+01	1.223436e-05	8.503467e-07	8.503467e-07
6.392328e+01	6.937805e+01	1.214373e-05	8.132045e-07	8.132045e-07
6.937805e+01	7.529829e+01	1.289489e-05	8.043610e-07	8.043610e-07
7.529829e+01	8.172373e+01	1.340661e-05	7.872631e-07	7.872631e-07
8.172373e+01	8.869746e+01	1.375819e-05	7.655259e-07	7.655259e-07
8.869746e+01	9.626628e+01	1.350062e-05	7.279052e-07	7.279052e-07
9.626628e+01	1.044810e+02	1.345160e-05	6.974329e-07	6.974329e-07
1.044810e+02	1.133967e+02	1.352678e-05	6.713227e-07	6.713227e-07
1.133967e+02	1.230731e+02	1.378340e-05	6.504788e-07	6.504788e-07
1.230731e+02	1.335753e+02	1.216219e-05	5.865131e-07	5.865131e-07
1.335753e+02	1.449737e+02	1.230047e-05	5.661753e-07	5.661753e-07
1.449737e+02	1.573448e+02	1.188559e-05	5.342175e-07	5.342175e-07
1.573448e+02	1.707715e+02	1.044231e-05	4.806462e-07	4.806462e-07
1.707715e+02	1.853439e+02	1.068129e-05	4.666146e-07	4.666146e-07
1.853439e+02	2.011599e+02	9.522148e-06	4.228936e-07	4.228936e-07
2.011599e+02	2.183255e+02	9.881000e-06	4.142305e-07	4.142305e-07
2.183255e+02	2.369559e+02	9.343278e-06	3.859672e-07	3.859672e-07
2.369559e+02	2.571760e+02	9.005356e-06	3.637230e-07	3.637230e-07
2.571760e+02	2.791217e+02	8.635651e-06	3.418887e-07	3.418887e-07
2.791217e+02	3.029400e+02	7.819530e-06	3.122819e-07	3.122819e-07
3.029400e+02	3.287907e+02	7.319659e-06	2.900155e-07	2.900155e-07
3.287907e+02	3.568475e+02	7.093500e-06	2.740457e-07	2.740457e-07
3.568475e+02	3.872983e+02	6.116355e-06	2.442637e-07	2.442637e-07
3.872983e+02	4.203477e+02	5.491631e-06	2.221676e-07	2.221676e-07
4.203477e+02	4.562172e+02	4.546434e-06	1.940370e-07	1.940370e-07
4.562172e+02	4.951476e+02	4.326313e-06	1.816881e-07	1.816881e-07
4.951476e+02	5.374001e+02	3.444828e-06	1.556214e-07	1.556214e-07
5.374001e+02	5.832581e+02	2.811243e-06	1.352546e-07	1.352546e-07
5.832581e+02	6.330293e+02	2.596180e-06	1.244773e-07	1.244773e-07
6.330293e+02	6.870476e+02	2.122610e-06	1.083175e-07	1.083175e-07
6.870476e+02	7.456754e+02	1.742924e-06	9.397221e-08	9.397221e-08
7.456754e+02	8.093062e+02	1.171737e-06	7.395939e-08	7.395939e-08
8.093062e+02	8.783667e+02	9.333699e-07	6.336128e-08	6.336128e-08
8.783667e+02	9.533204e+02	6.935356e-07	5.242636e-08	5.242636e-08
9.533204e+02	1.034670e+03	5.258124e-07	4.381771e-08	4.381771e-08
1.034670e+03	1.122962e+03	3.297072e-07	3.330546e-08	3.330546e-08
1.122962e+03	1.218787e+03	2.417907e-07	2.737740e-08	2.737740e-08
1.218787e+03	1.322790e+03	1.599433e-07	2.137332e-08	2.137332e-08
1.322790e+03	1.435668e+03	1.236836e-07	1.804112e-08	1.804112e-08
1.435668e+03	1.558178e+03	5.334269e-08	1.137270e-08	1.137270e-08
1.558178e+03	1.691142e+03	5.138277e-08	1.071405e-08	1.071405e-08
1.691142e+03	1.835452e+03	2.470067e-08	7.130466e-09	7.130466e-09
1.835452e+03	1.992077e+03	9.482713e-09	4.240799e-09	4.240799e-09
1.992077e+03	2.162067e+03	5.242298e-09	3.026642e-09	3.026642e-09
2.162067e+03	2.346563e+03	1.610041e-09	1.610041e-09	1.610041e-09
2.346563e+03	2.546802e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.546802e+03	2.764129e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764129e+03	3.000000e+03	1.259358e-09	1.259358e-09	1.259358e-09
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.49338603861111734e-05
Title=X1200_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.044549e-06	6.979187e-08	6.979187e-08
