# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=9.53673292566163565e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	1.740320e-05	1.958013e-06	1.958013e-06
2.162765e+01	2.338777e+01	1.588969e-05	1.799153e-06	1.799153e-06
2.338777e+01	2.529113e+01	1.431712e-05	1.642286e-06	1.642286e-06
2.529113e+01	2.734939e+01	1.933685e-05	1.835373e-06	1.835373e-06
2.734939e+01	2.957515e+01	1.723727e-05	1.666390e-06	1.666390e-06
2.957515e+01	3.198206e+01	1.534406e-05	1.511895e-06	1.511895e-06
3.198206e+01	3.458484e+01	1.708234e-05	1.534039e-06	1.534039e-06
3.458484e+01	3.739945e+01	1.426799e-05	1.348198e-06	1.348198e-06
3.739945e+01	4.044311e+01	1.990919e-05	1.531476e-06	1.531476e-06
4.044311e+01	4.373448e+01	2.287734e-05	1.578687e-06	1.578687e-06
4.373448e+01	4.729371e+01	2.528603e-05	1.596040e-06	1.596040e-06
4.729371e+01	5.114260e+01	2.235830e-05	1.443222e-06	1.443222e-06
5.114260e+01	5.530472e+01	2.257094e-05	1.394437e-06	1.394437e-06
5.530472e+01	5.980556e+01	2.222663e-05	1.330674e-06	1.330674e-06
5.980556e+01	6.467270e+01	2.195359e-05	1.271737e-06	1.271737e-06
6.467270e+01	6.993594e+01	2.036953e-05	1.178000e-06	1.178000e-06
6.993594e+01	7.562751e+01	1.757661e-05	1.052284e-06	1.052284e-06
7.562751e+01	8.178228e+01	1.683639e-05	9.903759e-07	9.903759e-07
8.178228e+01	8.843794e+01	1.670066e-05	9.485336e-07	9.485336e-07
8.843794e+01	9.563525e+01	1.509508e-05	8.671897e-07	8.671897e-07
9.563525e+01	1.034183e+02	1.455796e-05	8.189488e-07	8.189488e-07
1.034183e+02	1.118348e+02	1.376049e-05	7.656544e-07	7.656544e-07
1.118348e+02	1.209362e+02	1.170068e-05	6.789425e-07	6.789425e-07
1.209362e+02	1.307783e+02	1.227736e-05	6.687906e-07	6.687906e-07
1.307783e+02	1.414214e+02	1.182502e-05	6.311730e-07	6.311730e-07
1.414214e+02	1.529306e+02	1.096631e-05	5.845063e-07	5.845063e-07
1.529306e+02	1.653765e+02	1.132216e-05	5.711274e-07	5.711274e-07
1.653765e+02	1.788353e+02	1.086968e-05	5.381295e-07	5.381295e-07
1.788353e+02	1.933894e+02	1.093857e-05	5.202895e-07	5.202895e-07
1.933894e+02	2.091279e+02	1.020652e-05	4.822127e-07	4.822127e-07
2.091279e+02	2.261473e+02	1.133447e-05	4.886635e-07	4.886635e-07
2.261473e+02	2.445518e+02	9.799571e-06	4.378090e-07	4.378090e-07
2.445518e+02	2.644540e+02	9.314347e-06	4.096446e-07	4.096446e-07
2.644540e+02	2.859760e+02	9.779542e-06	4.036449e-07	4.036449e-07
2.859760e+02	3.092495e+02	8.119174e-06	3.536769e-07	3.536769e-07
3.092495e+02	3.344170e+02	7.579394e-06	3.286085e-07	3.286085e-07
3.344170e+02	3.616328e+02	6.640066e-06	2.957721e-07	2.957721e-07
3.616328e+02	3.910634e+02	5.799236e-06	2.658076e-07	2.658076e-07
3.910634e+02	4.228892e+02	4.630476e-06	2.295132e-07	2.295132e-07
4.228892e+02	4.573051e+02	4.094459e-06	2.065381e-07	2.065381e-07
4.573051e+02	4.945218e+02	3.333506e-06	1.792104e-07	1.792104e-07
4.945218e+02	5.347672e+02	2.539170e-06	1.504074e-07	1.504074e-07
5.347672e+02	5.782880e+02	1.664246e-06	1.170959e-07	1.170959e-07
5.782880e+02	6.253506e+02	8.228313e-07	7.917697e-08	7.917697e-08
6.253506e+02	6.762433e+02	4.649983e-07	5.723735e-08	5.723735e-08
6.762433e+02	7.312778e+02	2.150017e-07	3.742700e-08	3.742700e-08
7.312778e+02	7.907911e+02	1.566471e-07	3.072102e-08	3.072102e-08
7.907911e+02	8.551478e+02	6.685756e-08	1.930012e-08	1.930012e-08
8.551478e+02	9.247420e+02	3.606517e-08	1.363135e-08	1.363135e-08
9.247420e+02	1.000000e+03	4.764424e-09	4.764424e-09	4.764424e-09
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=8.22287558899903432e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	1.259250e-05	1.515959e-06	1.515959e-06
2.162765e+01	2.338777e+01	1.350117e-05	1.509477e-06	1.509477e-06
2.338777e+01	2.529113e+01	1.716705e-05	1.636813e-06	1.636813e-06
2.529113e+01	2.734939e+01	1.385462e-05	1.414032e-06	1.414032e-06
2.734939e+01	2.957515e+01	1.548116e-05	1.437390e-06	1.437390e-06
2.957515e+01	3.198206e+01	1.678428e-05	1.439240e-06	1.439240e-06
3.198206e+01	3.458484e+01	1.905912e-05	1.474839e-06	1.474839e-06
3.458484e+01	3.739945e+01	1.846901e-05	1.396126e-06	1.396126e-06
3.739945e+01	4.044311e+01	1.883584e-05	1.355833e-06	1.355833e-06
4.044311e+01	4.373448e+01	1.750849e-05	1.257037e-06	1.257037e-06
4.373448e+01	4.729371e+01	2.002991e-05	1.292925e-06	1.292925e-06
4.729371e+01	5.114260e+01	2.068345e-05	1.263443e-06	1.263443e-06
5.114260e+01	5.530472e+01	2.048288e-05	1.209066e-06	1.209066e-06
5.530472e+01	5.980556e+01	1.999737e-05	1.148819e-06	1.148819e-06
