# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=4.00780361774323655e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	3.661644e-04	2.348946e-05	2.348946e-05
-2.400000e+00	-2.300000e+00	4.384932e-04	2.570492e-05	2.570492e-05
-2.300000e+00	-2.200000e+00	4.701370e-04	2.661627e-05	2.661627e-05
-2.200000e+00	-2.100000e+00	4.882192e-04	2.712329e-05	2.712329e-05
-2.100000e+00	-2.000000e+00	5.876712e-04	2.975789e-05	2.975789e-05
-2.000000e+00	-1.900000e+00	5.198630e-04	2.798848e-05	2.798848e-05
-1.900000e+00	-1.800000e+00	6.554795e-04	3.142783e-05	3.142783e-05
-1.800000e+00	-1.700000e+00	7.504110e-04	3.369417e-05	3.369417e-05
-1.700000e+00	-1.600000e+00	7.639726e-04	3.392922e-05	3.392922e-05
-1.600000e+00	-1.500000e+00	8.875342e-04	3.657021e-05	3.657021e-05
-1.500000e+00	-1.400000e+00	9.869863e-04	3.856475e-05	3.856475e-05
-1.400000e+00	-1.300000e+00	1.012603e-03	3.906200e-05	3.906200e-05
-1.300000e+00	-1.200000e+00	1.045753e-03	3.969626e-05	3.969626e-05
-1.200000e+00	-1.100000e+00	1.106027e-03	4.082422e-05	4.082422e-05
-1.100000e+00	-1.000000e+00	1.228082e-03	4.301785e-05	4.301785e-05
-1.000000e+00	-9.000000e-01	1.259726e-03	4.356853e-05	4.356853e-05
-9.000000e-01	-8.000000e-01	1.259726e-03	4.356853e-05	4.356853e-05
-8.000000e-01	-7.000000e-01	1.268767e-03	4.372460e-05	4.372460e-05
-7.000000e-01	-6.000000e-01	1.404384e-03	4.600211e-05	4.600211e-05
-6.000000e-01	-5.000000e-01	1.414932e-03	4.617455e-05	4.617455e-05
-5.000000e-01	-4.000000e-01	1.464658e-03	4.697891e-05	4.697891e-05
-4.000000e-01	-3.000000e-01	1.493288e-03	4.748369e-05	4.748369e-05
-3.000000e-01	-2.000000e-01	1.515890e-03	4.784099e-05	4.784099e-05
-2.000000e-01	-1.000000e-01	1.485753e-03	4.731603e-05	4.731603e-05
-1.000000e-01	0.000000e+00	1.506849e-03	4.765076e-05	4.765076e-05
0.000000e+00	1.000000e-01	1.574658e-03	4.871111e-05	4.871111e-05
1.000000e-01	2.000000e-01	1.496301e-03	4.748369e-05	4.748369e-05
2.000000e-01	3.000000e-01	1.616849e-03	4.935938e-05	4.935938e-05
3.000000e-01	4.000000e-01	1.437534e-03	4.654188e-05	4.654188e-05
