# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{b\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{b\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=4.00780361774323655e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	5.971295e-05	2.351195e-06	2.351195e-06
2.162765e+01	2.338777e+01	6.215332e-05	2.306725e-06	2.306725e-06
2.338777e+01	2.529113e+01	6.190926e-05	2.216700e-06	2.216700e-06
2.529113e+01	2.734939e+01	5.622516e-05	2.028851e-06	2.028851e-06
2.734939e+01	2.957515e+01	5.727459e-05	1.969140e-06	1.969140e-06
2.957515e+01	3.198206e+01	5.459170e-05	1.848708e-06	1.848708e-06
3.198206e+01	3.458484e+01	5.117816e-05	1.721308e-06	1.721308e-06
3.458484e+01	3.739945e+01	4.887899e-05	1.617659e-06	1.617659e-06
3.739945e+01	4.044311e+01	4.455701e-05	1.486884e-06	1.486884e-06
4.044311e+01	4.373448e+01	4.198194e-05	1.386365e-06	1.386365e-06
4.373448e+01	4.729371e+01	3.763705e-05	1.262306e-06	1.262306e-06
4.729371e+01	5.114260e+01	2.850136e-05	1.056331e-06	1.056331e-06
5.114260e+01	5.530472e+01	2.994061e-05	1.041137e-06	1.041137e-06
5.530472e+01	5.980556e+01	2.815608e-05	9.708994e-07	9.708994e-07
5.980556e+01	6.467270e+01	2.365317e-05	8.557415e-07	8.557415e-07
6.467270e+01	6.993594e+01	2.038435e-05	7.639355e-07	7.639355e-07
6.993594e+01	7.562751e+01	1.911502e-05	7.113876e-07	7.113876e-07
7.562751e+01	8.178228e+01	1.657474e-05	6.379592e-07	6.379592e-07
8.178228e+01	8.843794e+01	1.557640e-05	5.938447e-07	5.938447e-07
8.843794e+01	9.563525e+01	1.482289e-05	5.570783e-07	5.570783e-07
9.563525e+01	1.034183e+02	1.273931e-05	4.966299e-07	4.966299e-07
1.034183e+02	1.118348e+02	1.219229e-05	4.672097e-07	4.672097e-07
1.118348e+02	1.209362e+02	1.152314e-05	4.374106e-07	4.374106e-07
1.209362e+02	1.307783e+02	1.181951e-05	4.253933e-07	4.253933e-07
1.307783e+02	1.414214e+02	1.039196e-05	3.835745e-07	3.835745e-07
1.414214e+02	1.529306e+02	1.012056e-05	3.644815e-07	3.644815e-07
1.529306e+02	1.653765e+02	1.036376e-05	3.542260e-07	3.542260e-07
1.653765e+02	1.788353e+02	1.002043e-05	3.356938e-07	3.356938e-07
1.788353e+02	1.933894e+02	9.980713e-06	3.214570e-07	3.214570e-07
1.933894e+02	2.091279e+02	9.832792e-06	3.068257e-07	3.068257e-07
2.091279e+02	2.261473e+02	9.216717e-06	2.856610e-07	2.856610e-07
2.261473e+02	2.445518e+02	8.629515e-06	2.658068e-07	2.658068e-07
2.445518e+02	2.644540e+02	8.252686e-06	2.501958e-07	2.501958e-07
2.644540e+02	2.859760e+02	7.428524e-06	2.282726e-07	2.282726e-07
2.859760e+02	3.092495e+02	6.118431e-06	1.990325e-07	1.990325e-07
3.092495e+02	3.344170e+02	5.190972e-06	1.764979e-07	1.764979e-07
3.344170e+02	3.616328e+02	4.124821e-06	1.511217e-07	1.511217e-07
3.616328e+02	3.910634e+02	3.476487e-06	1.336116e-07	1.336116e-07
3.910634e+02	4.228892e+02	2.613542e-06	1.114411e-07	1.114411e-07
4.228892e+02	4.573051e+02	1.860800e-06	9.026204e-08	9.026204e-08
4.573051e+02	4.945218e+02	1.437343e-06	7.628623e-08	7.628623e-08
4.945218e+02	5.347672e+02	1.067084e-06	6.320857e-08	6.320857e-08
5.347672e+02	5.782880e+02	8.448172e-07	5.408388e-08	5.408388e-08
5.782880e+02	6.253506e+02	5.955345e-07	4.366670e-08	4.366670e-08
6.253506e+02	6.762433e+02	4.085953e-07	3.478195e-08	3.478195e-08
6.762433e+02	7.312778e+02	2.710629e-07	2.724284e-08	2.724284e-08
7.312778e+02	7.907911e+02	1.519172e-07	1.961243e-08	1.961243e-08
7.907911e+02	8.551478e+02	1.123873e-07	1.622172e-08	1.622172e-08
8.551478e+02	9.247420e+02	4.979945e-08	1.038390e-08	1.038390e-08
9.247420e+02	1.000000e+03	3.203592e-08	8.008979e-09	8.008979e-09
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=2.89967733686782962e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	5.907876e-05	1.952013e-06	1.952013e-06
2.162765e+01	2.338777e+01	5.980996e-05	1.886647e-06	1.886647e-06
2.338777e+01	2.529113e+01	6.147266e-05	1.839312e-06	1.839312e-06
2.529113e+01	2.734939e+01	5.974721e-05	1.743747e-06	1.743747e-06
2.734939e+01	2.957515e+01	5.840410e-05	1.657896e-06	1.657896e-06
