# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=8.61703272748720283e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.665344e-04	3.887786e-05	3.887786e-05
5.000000e-01	6.000000e-01	7.905165e-04	5.060764e-05	5.060764e-05
6.000000e-01	7.000000e-01	9.687067e-04	5.602175e-05	5.602175e-05
7.000000e-01	8.000000e-01	8.941908e-04	5.382396e-05	5.382396e-05
8.000000e-01	9.000000e-01	8.650324e-04	5.293913e-05	5.293913e-05
9.000000e-01	1.000000e+00	9.687067e-04	5.602175e-05	5.602175e-05
1.000000e+00	1.100000e+00	9.654669e-04	5.611536e-05	5.611536e-05
1.100000e+00	1.200000e+00	1.033503e-03	5.786507e-05	5.786507e-05
1.200000e+00	1.300000e+00	1.124218e-03	6.035120e-05	6.035120e-05
1.300000e+00	1.400000e+00	1.292689e-03	6.471539e-05	6.471539e-05
1.400000e+00	1.500000e+00	1.263531e-03	6.398136e-05	6.398136e-05
1.500000e+00	1.600000e+00	1.266770e-03	6.406333e-05	6.406333e-05
1.600000e+00	1.700000e+00	1.399603e-03	6.733844e-05	6.733844e-05
1.700000e+00	1.800000e+00	1.538915e-03	7.061028e-05	7.061028e-05
1.800000e+00	1.900000e+00	1.590753e-03	7.193572e-05	7.193572e-05
1.900000e+00	2.000000e+00	1.739784e-03	7.507723e-05	7.507723e-05
2.000000e+00	2.100000e+00	1.597232e-03	7.193572e-05	7.193572e-05
2.100000e+00	2.200000e+00	1.713866e-03	7.465663e-05	7.465663e-05
2.200000e+00	2.300000e+00	1.791622e-03	7.618750e-05	7.618750e-05
2.300000e+00	2.400000e+00	1.856418e-03	7.755297e-05	7.755297e-05
2.400000e+00	2.500000e+00	1.911495e-03	7.869500e-05	7.869500e-05
2.500000e+00	2.600000e+00	2.118844e-03	8.285334e-05	8.285334e-05
2.600000e+00	2.700000e+00	2.151242e-03	8.348437e-05	8.348437e-05
2.700000e+00	2.800000e+00	2.329432e-03	8.687315e-05	8.687315e-05
2.800000e+00	2.900000e+00	2.397468e-03	8.813268e-05	8.813268e-05
2.900000e+00	3.000000e+00	2.368310e-03	8.771485e-05	8.771485e-05
3.000000e+00	3.100000e+00	2.293794e-03	8.632773e-05	8.632773e-05
3.100000e+00	3.200000e+00	2.092925e-03	8.234503e-05	8.234503e-05
3.200000e+00	3.300000e+00	1.454680e-03	6.865059e-05	6.865059e-05
3.300000e+00	3.400000e+00	1.156616e-03	6.121463e-05	6.121463e-05
3.400000e+00	3.500000e+00	9.622271e-04	5.583408e-05	5.583408e-05
3.500000e+00	3.600000e+00	7.645980e-04	4.977109e-05	4.977109e-05
3.600000e+00	3.700000e+00	6.447246e-04	4.570331e-05	4.570331e-05
3.700000e+00	3.800000e+00	5.831679e-04	4.346677e-05	4.346677e-05
3.800000e+00	3.900000e+00	4.308963e-04	3.736344e-05	3.736344e-05
3.900000e+00	4.000000e+00	4.114574e-04	3.651094e-05	3.651094e-05
4.000000e+00	4.100000e+00	3.758193e-04	3.489395e-05	3.489395e-05
4.100000e+00	4.200000e+00	2.689052e-04	2.951618e-05	2.951618e-05
4.200000e+00	4.300000e+00	2.429866e-04	2.805768e-05	2.805768e-05
4.300000e+00	4.400000e+00	1.587513e-04	2.267875e-05	2.267875e-05
4.400000e+00	4.500000e+00	1.879097e-04	2.467375e-05	2.467375e-05
4.500000e+00	4.600000e+00	1.166336e-04	1.943893e-05	1.943893e-05
4.600000e+00	4.700000e+00	9.719466e-05	1.774524e-05	1.774524e-05
4.700000e+00	4.800000e+00	8.747519e-05	1.683461e-05	1.683461e-05
4.800000e+00	4.900000e+00	6.479644e-05	1.448892e-05	1.448892e-05
4.900000e+00	5.000000e+00	6.479644e-05	1.448892e-05	1.448892e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=7.76911121898319573e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.406270e-04	3.516586e-05	3.516586e-05
5.000000e-01	6.000000e-01	6.932156e-04	4.410825e-05	4.410825e-05
6.000000e-01	7.000000e-01	7.661857e-04	4.637167e-05	4.637167e-05
7.000000e-01	8.000000e-01	8.559950e-04	4.901413e-05	4.901413e-05
8.000000e-01	9.000000e-01	7.381203e-04	4.551445e-05	4.551445e-05
9.000000e-01	1.000000e+00	7.998642e-04	4.737987e-05	4.737987e-05
1.000000e+00	1.100000e+00	9.121259e-04	5.059564e-05	5.059564e-05
1.100000e+00	1.200000e+00	9.008997e-04	5.028332e-05	5.028332e-05
1.200000e+00	1.300000e+00	1.032807e-03	5.383880e-05	5.383880e-05
1.300000e+00	1.400000e+00	1.119810e-03	5.606061e-05	5.606061e-05
1.400000e+00	1.500000e+00	1.187167e-03	5.772203e-05	5.772203e-05
1.500000e+00	1.600000e+00	1.114197e-03	5.591993e-05	5.591993e-05
1.600000e+00	1.700000e+00	1.206813e-03	5.819767e-05	5.819767e-05
1.700000e+00	1.800000e+00	1.293815e-03	6.025899e-05	6.025899e-05
1.800000e+00	1.900000e+00	1.428529e-03	6.331845e-05	6.331845e-05
1.900000e+00	2.000000e+00	1.526758e-03	6.545922e-05	6.545922e-05
2.000000e+00	2.100000e+00	1.557630e-03	6.611772e-05	6.611772e-05
2.100000e+00	2.200000e+00	1.498693e-03	6.485478e-05	6.485478e-05
2.200000e+00	2.300000e+00	1.810219e-03	7.127730e-05	7.127730e-05
2.300000e+00	2.400000e+00	1.958966e-03	7.414795e-05	7.414795e-05
2.400000e+00	2.500000e+00	1.995451e-03	7.483525e-05	7.483525e-05
2.500000e+00	2.600000e+00	2.079647e-03	7.639774e-05	7.639774e-05
2.600000e+00	2.700000e+00	2.270492e-03	7.982624e-05	7.982624e-05
2.700000e+00	2.800000e+00	2.458530e-03	8.316080e-05	8.316080e-05
2.800000e+00	2.900000e+00	2.486595e-03	8.372717e-05	8.372717e-05
2.900000e+00	3.000000e+00	2.506241e-03	8.386816e-05	8.386816e-05
3.000000e+00	3.100000e+00	2.685860e-03	8.682152e-05	8.682152e-05
3.100000e+00	3.200000e+00	2.264879e-03	7.972750e-05	7.972750e-05
3.200000e+00	3.300000e+00	1.515532e-03	6.521812e-05	6.521812e-05
3.300000e+00	3.400000e+00	1.142262e-03	5.661984e-05	5.661984e-05
3.400000e+00	3.500000e+00	8.138969e-04	4.779367e-05	4.779367e-05
3.500000e+00	3.600000e+00	6.595372e-04	4.302346e-05	4.302346e-05
3.600000e+00	3.700000e+00	5.613082e-04	3.969049e-05	3.969049e-05
3.700000e+00	3.800000e+00	4.967578e-04	3.733860e-05	3.733860e-05
3.800000e+00	3.900000e+00	3.648503e-04	3.199948e-05	3.199948e-05
3.900000e+00	4.000000e+00	2.722345e-04	2.764122e-05	2.764122e-05
4.000000e+00	4.100000e+00	2.469756e-04	2.632769e-05	2.632769e-05
4.100000e+00	4.200000e+00	2.469756e-04	2.632769e-05	2.632769e-05
4.200000e+00	4.300000e+00	1.178747e-04	1.818847e-05	1.818847e-05
4.300000e+00	4.400000e+00	9.822894e-05	1.660372e-05	1.660372e-05
4.400000e+00	4.500000e+00	9.542240e-05	1.636481e-05	1.636481e-05
4.500000e+00	4.600000e+00	9.261586e-05	1.612235e-05	1.612235e-05
4.600000e+00	4.700000e+00	5.893736e-05	1.286119e-05	1.286119e-05
4.700000e+00	4.800000e+00	5.893736e-05	1.286119e-05	1.286119e-05
4.800000e+00	4.900000e+00	3.367849e-05	9.722143e-06	9.722143e-06
4.900000e+00	5.000000e+00	1.964579e-05	7.425410e-06	7.425410e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.30078643920316757e-05
Title=X1200_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.646362e-05	1.706820e-06	1.706820e-06
5.000000e-01	6.000000e-01	2.391558e-05	2.050528e-06	2.050528e-06
6.000000e-01	7.000000e-01	2.807481e-05	2.205765e-06	2.205765e-06
7.000000e-01	8.000000e-01	3.171413e-05	2.357152e-06	2.357152e-06
8.000000e-01	9.000000e-01	3.414035e-05	2.444715e-06	2.444715e-06
