# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=8.61703272748720283e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.488183e-03	8.990141e-05	8.990141e-05
1.000000e-01	2.000000e-01	2.410427e-03	8.837056e-05	8.837056e-05
2.000000e-01	3.000000e-01	2.426627e-03	8.866701e-05	8.866701e-05
3.000000e-01	4.000000e-01	2.552980e-03	9.094613e-05	9.094613e-05
4.000000e-01	5.000000e-01	2.552980e-03	9.106147e-05	9.106147e-05
5.000000e-01	6.000000e-01	2.731170e-03	9.406649e-05	9.406649e-05
6.000000e-01	7.000000e-01	2.478464e-03	8.960905e-05	8.960905e-05
7.000000e-01	8.000000e-01	2.348871e-03	8.723487e-05	8.723487e-05
8.000000e-01	9.000000e-01	2.271115e-03	8.577884e-05	8.577884e-05
9.000000e-01	1.000000e+00	2.160961e-03	8.367275e-05	8.367275e-05
1.000000e+00	1.100000e+00	2.057287e-03	8.164094e-05	8.164094e-05
1.100000e+00	1.200000e+00	1.853178e-03	7.748527e-05	7.748527e-05
1.200000e+00	1.300000e+00	1.759223e-03	7.549550e-05	7.549550e-05
1.300000e+00	1.400000e+00	1.717106e-03	7.472690e-05	7.472690e-05
1.400000e+00	1.500000e+00	1.723585e-03	7.472690e-05	7.472690e-05
1.500000e+00	1.600000e+00	1.399603e-03	6.749413e-05	6.749413e-05
1.600000e+00	1.700000e+00	1.477359e-03	6.933521e-05	6.933521e-05
1.700000e+00	1.800000e+00	1.376924e-03	6.679064e-05	6.679064e-05
1.800000e+00	1.900000e+00	1.111259e-03	6.000234e-05	6.000234e-05
1.900000e+00	2.000000e+00	1.218173e-03	6.282248e-05	6.282248e-05
2.000000e+00	2.100000e+00	1.088580e-03	5.938692e-05	5.938692e-05
2.100000e+00	2.200000e+00	1.036743e-03	5.795570e-05	5.795570e-05
2.200000e+00	2.300000e+00	9.654669e-04	5.592800e-05	5.592800e-05
2.300000e+00	2.400000e+00	9.265891e-04	5.479036e-05	5.479036e-05
2.400000e+00	2.500000e+00	7.419192e-04	4.902740e-05	4.902740e-05
2.500000e+00	2.600000e+00	6.998015e-04	4.761546e-05	4.761546e-05
2.600000e+00	2.700000e+00	6.155662e-04	4.465787e-05	4.465787e-05
2.700000e+00	2.800000e+00	5.864078e-04	4.358735e-05	4.358735e-05
2.800000e+00	2.900000e+00	5.604892e-04	4.261320e-05	4.261320e-05
2.900000e+00	3.000000e+00	4.697742e-04	3.901263e-05	3.901263e-05
3.000000e+00	3.100000e+00	4.341361e-04	3.750365e-05	3.750365e-05
3.100000e+00	3.200000e+00	4.114574e-04	3.651094e-05	3.651094e-05
3.200000e+00	3.300000e+00	3.660999e-04	3.443977e-05	3.443977e-05
3.300000e+00	3.400000e+00	3.077831e-04	3.157788e-05	3.157788e-05
3.400000e+00	3.500000e+00	2.656654e-04	2.933784e-05	2.933784e-05
3.500000e+00	3.600000e+00	2.105884e-04	2.612028e-05	2.612028e-05
3.600000e+00	3.700000e+00	2.397468e-04	2.787000e-05	2.787000e-05
3.700000e+00	3.800000e+00	1.555115e-04	2.244614e-05	2.244614e-05
3.800000e+00	3.900000e+00	2.235477e-04	2.691198e-05	2.691198e-05
3.900000e+00	4.000000e+00	1.133938e-04	1.916704e-05	1.916704e-05
4.000000e+00	4.100000e+00	1.036743e-04	1.832720e-05	1.832720e-05
4.100000e+00	4.200000e+00	8.423537e-05	1.651992e-05	1.651992e-05
4.200000e+00	4.300000e+00	6.479644e-05	1.448892e-05	1.448892e-05
4.300000e+00	4.400000e+00	2.591858e-05	9.163600e-06	9.163600e-06
4.400000e+00	4.500000e+00	3.563804e-05	1.074527e-05	1.074527e-05
4.500000e+00	4.600000e+00	2.267875e-05	8.571763e-06	8.571763e-06
4.600000e+00	4.700000e+00	2.591858e-05	9.163600e-06	9.163600e-06
4.700000e+00	4.800000e+00	1.619911e-05	7.244462e-06	7.244462e-06
4.800000e+00	4.900000e+00	1.619911e-05	7.244462e-06	7.244462e-06
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=7.76911121898319573e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.638149e-03	8.604692e-05	8.604692e-05
1.000000e-01	2.000000e-01	2.792508e-03	8.852846e-05	8.852846e-05
2.000000e-01	3.000000e-01	2.753217e-03	8.790345e-05	8.790345e-05
3.000000e-01	4.000000e-01	2.688666e-03	8.695750e-05	8.695750e-05
4.000000e-01	5.000000e-01	2.722345e-03	8.758926e-05	8.758926e-05
5.000000e-01	6.000000e-01	2.775669e-03	8.826114e-05	8.826114e-05
6.000000e-01	7.000000e-01	2.649375e-03	8.622980e-05	8.622980e-05
7.000000e-01	8.000000e-01	2.413625e-03	8.230394e-05	8.230394e-05
8.000000e-01	9.000000e-01	2.121745e-03	7.716712e-05	7.716712e-05
9.000000e-01	1.000000e+00	2.026323e-03	7.541192e-05	7.541192e-05
1.000000e+00	1.100000e+00	2.029129e-03	7.546412e-05	7.546412e-05
1.100000e+00	1.200000e+00	1.914061e-03	7.329319e-05	7.329319e-05
1.200000e+00	1.300000e+00	1.667085e-03	6.840135e-05	6.840135e-05
1.300000e+00	1.400000e+00	1.515532e-03	6.521812e-05	6.521812e-05
1.400000e+00	1.500000e+00	1.512726e-03	6.515771e-05	6.515771e-05
1.500000e+00	1.600000e+00	1.403271e-03	6.275616e-05	6.275616e-05
1.600000e+00	1.700000e+00	1.349946e-03	6.155225e-05	6.155225e-05
1.700000e+00	1.800000e+00	1.265750e-03	5.960184e-05	5.960184e-05
1.800000e+00	1.900000e+00	1.030001e-03	5.376559e-05	5.376559e-05
1.900000e+00	2.000000e+00	1.021581e-03	5.354539e-05	5.354539e-05
2.000000e+00	2.100000e+00	9.907090e-04	5.273012e-05	5.273012e-05
2.100000e+00	2.200000e+00	8.447689e-04	4.869167e-05	4.869167e-05
2.200000e+00	2.300000e+00	8.138969e-04	4.779367e-05	4.779367e-05
2.300000e+00	2.400000e+00	6.370848e-04	4.228481e-05	4.228481e-05
2.400000e+00	2.500000e+00	6.146325e-04	4.153301e-05	4.153301e-05
2.500000e+00	2.600000e+00	5.248232e-04	3.837887e-05	3.837887e-05
