# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=8.61703272748720283e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.046736e-03	7.346650e-05	7.346650e-05
6.283185e-02	1.256637e-01	1.067362e-03	7.418676e-05	7.418676e-05
1.256637e-01	1.884956e-01	1.258145e-03	8.054450e-05	8.054450e-05
1.884956e-01	2.513274e-01	1.185958e-03	7.819979e-05	7.819979e-05
2.513274e-01	3.141593e-01	1.278770e-03	8.120202e-05	8.120202e-05
3.141593e-01	3.769911e-01	1.314867e-03	8.234017e-05	8.234017e-05
3.769911e-01	4.398230e-01	1.387054e-03	8.457015e-05	8.457015e-05
4.398230e-01	5.026548e-01	1.552059e-03	8.945917e-05	8.945917e-05
5.026548e-01	5.654867e-01	1.397366e-03	8.488395e-05	8.488395e-05
5.654867e-01	6.283185e-01	1.557215e-03	8.960766e-05	8.960766e-05
6.283185e-01	6.911504e-01	1.402523e-03	8.504042e-05	8.504042e-05
6.911504e-01	7.539822e-01	1.417994e-03	8.550825e-05	8.550825e-05
7.539822e-01	8.168141e-01	1.485024e-03	8.750586e-05	8.750586e-05
8.168141e-01	8.796459e-01	1.433463e-03	8.597339e-05	8.597339e-05
8.796459e-01	9.424778e-01	1.433461e-03	8.628195e-05	8.628195e-05
9.424778e-01	1.005310e+00	1.412828e-03	8.535209e-05	8.535209e-05
1.005310e+00	1.068142e+00	1.283925e-03	8.136543e-05	8.136543e-05
1.068142e+00	1.130973e+00	1.335509e-03	8.298450e-05	8.298450e-05
1.130973e+00	1.193805e+00	1.423146e-03	8.566330e-05	8.566330e-05
1.193805e+00	1.256637e+00	1.417989e-03	8.550798e-05	8.550798e-05
1.256637e+00	1.319469e+00	1.294237e-03	8.169155e-05	8.169155e-05
1.319469e+00	1.382301e+00	1.454084e-03	8.658942e-05	8.658942e-05
1.382301e+00	1.445133e+00	1.459240e-03	8.674280e-05	8.674280e-05
1.445133e+00	1.507964e+00	1.479889e-03	8.735507e-05	8.735507e-05
1.507964e+00	1.570796e+00	1.485021e-03	8.750572e-05	8.750572e-05
1.570796e+00	1.633628e+00	1.536585e-03	8.901197e-05	8.901197e-05
1.633628e+00	1.696460e+00	1.572679e-03	9.005134e-05	9.005134e-05
1.696460e+00	1.759292e+00	1.644867e-03	9.238315e-05	9.238315e-05
1.759292e+00	1.822124e+00	1.510803e-03	8.856279e-05	8.856279e-05
1.822124e+00	1.884956e+00	1.789244e-03	9.605169e-05	9.605169e-05
1.884956e+00	1.947787e+00	1.742866e-03	9.479939e-05	9.479939e-05
1.947787e+00	2.010619e+00	1.546897e-03	8.931017e-05	8.931017e-05
2.010619e+00	2.073451e+00	1.706743e-03	9.381111e-05	9.381111e-05
