# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=8.61703272748720283e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.230125e-05	9.664772e-07	9.664772e-07
5.426665e+01	5.889739e+01	1.588169e-05	1.054104e-06	1.054104e-06
5.889739e+01	6.392328e+01	1.527765e-05	9.923900e-07	9.923900e-07
6.392328e+01	6.937805e+01	1.752132e-05	1.020131e-06	1.020131e-06
6.937805e+01	7.529829e+01	1.778546e-05	9.865600e-07	9.865600e-07
7.529829e+01	8.172373e+01	1.552991e-05	8.848988e-07	8.848988e-07
8.172373e+01	8.869746e+01	1.588847e-05	8.591501e-07	8.591501e-07
8.869746e+01	9.626628e+01	1.652267e-05	8.409818e-07	8.409818e-07
9.626628e+01	1.044810e+02	1.514467e-05	7.728478e-07	7.728478e-07
1.044810e+02	1.133967e+02	1.573452e-05	7.561529e-07	7.561529e-07
1.133967e+02	1.230731e+02	1.546854e-05	7.196616e-07	7.196616e-07
1.230731e+02	1.335753e+02	1.471496e-05	6.737520e-07	6.737520e-07
1.335753e+02	1.449737e+02	1.361485e-05	6.220782e-07	6.220782e-07
1.449737e+02	1.573448e+02	1.241342e-05	5.701669e-07	5.701669e-07
1.573448e+02	1.707715e+02	1.196833e-05	5.373938e-07	5.373938e-07
1.707715e+02	1.853439e+02	1.078281e-05	4.906305e-07	4.906305e-07
1.853439e+02	2.011599e+02	1.005787e-05	4.539053e-07	4.539053e-07
2.011599e+02	2.183255e+02	9.569080e-06	4.258151e-07	4.258151e-07
2.183255e+02	2.369559e+02	9.390587e-06	4.041065e-07	4.041065e-07
2.369559e+02	2.571760e+02	7.883205e-06	3.561240e-07	3.561240e-07
2.571760e+02	2.791217e+02	8.119595e-06	3.462207e-07	3.462207e-07
2.791217e+02	3.029400e+02	7.358812e-06	3.163800e-07	3.163800e-07
3.029400e+02	3.287907e+02	6.329074e-06	2.816401e-07	2.816401e-07
3.287907e+02	3.568475e+02	6.154747e-06	2.665917e-07	2.665917e-07
3.568475e+02	3.872983e+02	5.904938e-06	2.506507e-07	2.506507e-07
3.872983e+02	4.203477e+02	4.685819e-06	2.147723e-07	2.147723e-07
4.203477e+02	4.562172e+02	4.687737e-06	2.057688e-07	2.057688e-07
4.562172e+02	4.951476e+02	3.936348e-06	1.809934e-07	1.809934e-07
4.951476e+02	5.374001e+02	3.396819e-06	1.613878e-07	1.613878e-07
5.374001e+02	5.832581e+02	2.903674e-06	1.432277e-07	1.432277e-07
5.832581e+02	6.330293e+02	2.623300e-06	1.306759e-07	1.306759e-07
6.330293e+02	6.870476e+02	2.153152e-06	1.136390e-07	1.136390e-07
6.870476e+02	7.456754e+02	1.541778e-06	9.230381e-08	9.230381e-08
7.456754e+02	8.093062e+02	1.425646e-06	8.519866e-08	8.519866e-08
8.093062e+02	8.783667e+02	9.101084e-07	6.567792e-08	6.567792e-08
8.783667e+02	9.533204e+02	6.570095e-07	5.329051e-08	5.329051e-08
9.533204e+02	1.034670e+03	4.500328e-07	4.233552e-08	4.233552e-08
1.034670e+03	1.122962e+03	4.366633e-07	4.002886e-08	4.002886e-08
1.122962e+03	1.218787e+03	2.738592e-07	3.042880e-08	3.042880e-08
1.218787e+03	1.322790e+03	1.744469e-07	2.331145e-08	2.331145e-08
1.322790e+03	1.435668e+03	1.004570e-07	1.698032e-08	1.698032e-08
1.435668e+03	1.558178e+03	7.404702e-08	1.399357e-08	1.399357e-08
1.558178e+03	1.691142e+03	3.411262e-08	9.116980e-09	9.116980e-09
1.691142e+03	1.835452e+03	3.143061e-08	8.400181e-09	8.400181e-09
1.835452e+03	1.992077e+03	1.034261e-08	4.625355e-09	4.625355e-09
1.992077e+03	2.162067e+03	5.717669e-09	3.301098e-09	3.301098e-09
2.162067e+03	2.346563e+03	3.512078e-09	2.483414e-09	2.483414e-09
2.346563e+03	2.546802e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.546802e+03	2.764129e+03	1.490759e-09	1.490759e-09	1.490759e-09
2.764129e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=7.76911121898319573e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.019568e-05	8.189364e-07	8.189364e-07
5.426665e+01	5.889739e+01	9.818295e-06	7.713980e-07	7.713980e-07
5.889739e+01	6.392328e+01	1.401626e-05	8.846985e-07	8.846985e-07
6.392328e+01	6.937805e+01	1.399471e-05	8.485539e-07	8.485539e-07
6.937805e+01	7.529829e+01	1.336845e-05	7.960799e-07	7.960799e-07
7.529829e+01	8.172373e+01	1.406450e-05	7.837842e-07	7.837842e-07
8.172373e+01	8.869746e+01	1.476973e-05	7.709733e-07	7.709733e-07
8.869746e+01	9.626628e+01	1.427591e-05	7.275680e-07	7.275680e-07
9.626628e+01	1.044810e+02	1.366591e-05	6.832956e-07	6.832956e-07
1.044810e+02	1.133967e+02	1.315807e-05	6.435823e-07	6.435823e-07
1.133967e+02	1.230731e+02	1.392191e-05	6.354454e-07	6.354454e-07
1.230731e+02	1.335753e+02	1.242637e-05	5.762588e-07	5.762588e-07
1.335753e+02	1.449737e+02	1.191716e-05	5.416892e-07	5.416892e-07
1.449737e+02	1.573448e+02	1.163806e-05	5.138327e-07	5.138327e-07
1.573448e+02	1.707715e+02	1.040953e-05	4.664626e-07	4.664626e-07
1.707715e+02	1.853439e+02	1.055410e-05	4.508485e-07	4.508485e-07
