# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\eta$ distribution
XLabel=$\eta^\mathrm{jet}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^\mathrm{jet}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=3.26369725276724326e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	3.877576e-04	2.181307e-05	2.181307e-05
-2.400000e+00	-2.300000e+00	4.601554e-04	2.376232e-05	2.376232e-05
-2.300000e+00	-2.200000e+00	4.761075e-04	2.417069e-05	2.417069e-05
-2.200000e+00	-2.100000e+00	5.006491e-04	2.478582e-05	2.478582e-05
-2.100000e+00	-2.000000e+00	5.951343e-04	2.702366e-05	2.702366e-05
-2.000000e+00	-1.900000e+00	5.534136e-04	2.605923e-05	2.605923e-05
-1.900000e+00	-1.800000e+00	6.675321e-04	2.862020e-05	2.862020e-05
-1.800000e+00	-1.700000e+00	7.301132e-04	2.998199e-05	2.998199e-05
-1.700000e+00	-1.600000e+00	7.890131e-04	3.111564e-05	3.111564e-05
-1.600000e+00	-1.500000e+00	8.761359e-04	3.278857e-05	3.278857e-05
-1.500000e+00	-1.400000e+00	9.939357e-04	3.492334e-05	3.492334e-05
-1.400000e+00	-1.300000e+00	1.018477e-03	3.535186e-05	3.535186e-05
-1.300000e+00	-1.200000e+00	1.033202e-03	3.560650e-05	3.560650e-05
-1.200000e+00	-1.100000e+00	1.099465e-03	3.673053e-05	3.673053e-05
-1.100000e+00	-1.000000e+00	1.241806e-03	3.907439e-05	3.907439e-05
-1.000000e+00	-9.000000e-01	1.257758e-03	3.928576e-05	3.928576e-05
-9.000000e-01	-8.000000e-01	1.238125e-03	3.897794e-05	3.897794e-05
-8.000000e-01	-7.000000e-01	1.255304e-03	3.924742e-05	3.924742e-05
-7.000000e-01	-6.000000e-01	1.412370e-03	4.163043e-05	4.163043e-05
-6.000000e-01	-5.000000e-01	1.396418e-03	4.139466e-05	4.139466e-05
-5.000000e-01	-4.000000e-01	1.445502e-03	4.211589e-05	4.211589e-05
-4.000000e-01	-3.000000e-01	1.517899e-03	4.319256e-05	4.319256e-05
-3.000000e-01	-2.000000e-01	1.467589e-03	4.247190e-05	4.247190e-05
-2.000000e-01	-1.000000e-01	1.477406e-03	4.257812e-05	4.257812e-05
-1.000000e-01	0.000000e+00	1.472497e-03	4.250734e-05	4.250734e-05
0.000000e+00	1.000000e-01	1.547349e-03	4.357434e-05	4.357434e-05
1.000000e-01	2.000000e-01	1.462681e-03	4.236541e-05	4.236541e-05
2.000000e-01	3.000000e-01	1.585389e-03	4.410670e-05	4.410670e-05
3.000000e-01	4.000000e-01	1.433231e-03	4.193674e-05	4.193674e-05
4.000000e-01	5.000000e-01	1.396418e-03	4.139466e-05	4.139466e-05
5.000000e-01	6.000000e-01	1.435685e-03	4.200849e-05	4.200849e-05
6.000000e-01	7.000000e-01	1.359606e-03	4.084540e-05	4.084540e-05
7.000000e-01	8.000000e-01	1.401327e-03	4.150365e-05	4.150365e-05
8.000000e-01	9.000000e-01	1.317885e-03	4.025125e-05	4.025125e-05
9.000000e-01	1.000000e+00	1.220946e-03	3.874546e-05	3.874546e-05
1.000000e+00	1.100000e+00	1.200085e-03	3.845289e-05	3.845289e-05
1.100000e+00	1.200000e+00	1.139958e-03	3.740082e-05	3.740082e-05
1.200000e+00	1.300000e+00	1.009888e-03	3.520247e-05	3.520247e-05
1.300000e+00	1.400000e+00	1.003752e-03	3.513826e-05	3.513826e-05
1.400000e+00	1.500000e+00	9.092671e-04	3.340275e-05	3.340275e-05
1.500000e+00	1.600000e+00	8.405505e-04	3.211579e-05	3.211579e-05
1.600000e+00	1.700000e+00	7.632444e-04	3.060331e-05	3.060331e-05
1.700000e+00	1.800000e+00	7.497465e-04	3.033150e-05	3.033150e-05
1.800000e+00	1.900000e+00	6.147676e-04	2.752056e-05	2.752056e-05
1.900000e+00	2.000000e+00	6.209030e-04	2.760251e-05	2.760251e-05
2.000000e+00	2.100000e+00	5.595490e-04	2.620328e-05	2.620328e-05
2.100000e+00	2.200000e+00	5.681385e-04	2.640364e-05	2.640364e-05
2.200000e+00	2.300000e+00	4.834699e-04	2.441861e-05	2.441861e-05
2.300000e+00	2.400000e+00	4.037097e-04	2.225723e-05	2.225723e-05
2.400000e+00	2.500000e+00	4.000284e-04	2.215553e-05	2.215553e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=dashed
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=2.47163937563744436e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	2.982165e-04	1.631768e-05	1.631768e-05
-2.400000e+00	-2.300000e+00	3.401811e-04	1.742800e-05	1.742800e-05
-2.300000e+00	-2.200000e+00	3.937529e-04	1.875014e-05	1.875014e-05
-2.200000e+00	-2.100000e+00	4.357175e-04	1.972400e-05	1.972400e-05
-2.100000e+00	-2.000000e+00	4.375032e-04	1.976438e-05	1.976438e-05
-2.000000e+00	-1.900000e+00	5.178610e-04	2.150300e-05	2.150300e-05
-1.900000e+00	-1.800000e+00	5.633970e-04	2.242848e-05	2.242848e-05
-1.800000e+00	-1.700000e+00	6.571477e-04	2.422278e-05	2.422278e-05
-1.700000e+00	-1.600000e+00	7.053623e-04	2.509566e-05	2.509566e-05
-1.600000e+00	-1.500000e+00	7.705414e-04	2.622953e-05	2.622953e-05
-1.500000e+00	-1.400000e+00	7.955416e-04	2.665165e-05	2.665165e-05
-1.400000e+00	-1.300000e+00	9.178639e-04	2.862739e-05	2.862739e-05
-1.300000e+00	-1.200000e+00	9.892930e-04	2.972043e-05	2.972043e-05
-1.200000e+00	-1.100000e+00	1.056258e-03	3.070984e-05	3.070984e-05
-1.100000e+00	-1.000000e+00	1.127687e-03	3.175634e-05	3.175634e-05
-1.000000e+00	-9.000000e-01	1.166973e-03	3.230390e-05	3.230390e-05
-9.000000e-01	-8.000000e-01	1.243759e-03	3.332427e-05	3.332427e-05
-8.000000e-01	-7.000000e-01	1.363403e-03	3.489030e-05	3.489030e-05
-7.000000e-01	-6.000000e-01	1.409832e-03	3.547940e-05	3.547940e-05
-6.000000e-01	-5.000000e-01	1.412510e-03	3.553553e-05	3.553553e-05
-5.000000e-01	-4.000000e-01	1.460725e-03	3.611410e-05	3.611410e-05
-4.000000e-01	-3.000000e-01	1.499118e-03	3.658563e-05	3.658563e-05
-3.000000e-01	-2.000000e-01	1.485725e-03	3.642183e-05	3.642183e-05
-2.000000e-01	-1.000000e-01	1.483939e-03	3.639995e-05	3.639995e-05
-1.000000e-01	0.000000e+00	1.542868e-03	3.711564e-05	3.711564e-05
0.000000e+00	1.000000e-01	1.533940e-03	3.700809e-05	3.700809e-05
1.000000e-01	2.000000e-01	1.560726e-03	3.732981e-05	3.732981e-05
2.000000e-01	3.000000e-01	1.505368e-03	3.666182e-05	3.666182e-05
3.000000e-01	4.000000e-01	1.477689e-03	3.632320e-05	3.632320e-05
4.000000e-01	5.000000e-01	1.433046e-03	3.577031e-05	3.577031e-05
5.000000e-01	6.000000e-01	1.392867e-03	3.526529e-05	3.526529e-05
6.000000e-01	7.000000e-01	1.370546e-03	3.498158e-05	3.498158e-05
7.000000e-01	8.000000e-01	1.264295e-03	3.359826e-05	3.359826e-05
8.000000e-01	9.000000e-01	1.272331e-03	3.370487e-05	3.370487e-05
9.000000e-01	1.000000e+00	1.156259e-03	3.215550e-05	3.215550e-05
1.000000e+00	1.100000e+00	1.105365e-03	3.141561e-05	3.141561e-05
1.100000e+00	1.200000e+00	1.091079e-03	3.123747e-05	3.123747e-05
