# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\phi$ distribution
XLabel=$\phi^\mathrm{jet}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{jet}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=3.26369725276724326e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	8.417260e-04	2.866930e-05	2.866930e-05
1.256637e-01	2.513274e-01	8.446552e-04	2.871915e-05	2.871915e-05
2.513274e-01	3.769911e-01	7.704429e-04	2.742849e-05	2.742849e-05
3.769911e-01	5.026548e-01	7.802076e-04	2.763628e-05	2.763628e-05
5.026548e-01	6.283185e-01	7.948548e-04	2.785965e-05	2.785965e-05
6.283185e-01	7.539822e-01	7.997369e-04	2.794508e-05	2.794508e-05
7.539822e-01	8.796459e-01	8.046198e-04	2.803026e-05	2.803026e-05
8.796459e-01	1.005310e+00	7.889934e-04	2.779103e-05	2.779103e-05
1.005310e+00	1.130973e+00	7.684941e-04	2.739386e-05	2.739386e-05
1.130973e+00	1.256637e+00	8.534417e-04	2.890111e-05	2.890111e-05
1.256637e+00	1.382301e+00	8.055943e-04	2.804719e-05	2.804719e-05
1.382301e+00	1.507964e+00	8.085300e-04	2.809836e-05	2.809836e-05
1.507964e+00	1.633628e+00	8.241469e-04	2.836831e-05	2.836831e-05
1.633628e+00	1.759292e+00	8.163356e-04	2.823356e-05	2.823356e-05
1.759292e+00	1.884956e+00	8.739480e-04	2.921285e-05	2.921285e-05
1.884956e+00	2.010619e+00	7.899768e-04	2.777411e-05	2.777411e-05
2.010619e+00	2.136283e+00	8.065707e-04	2.809814e-05	2.809814e-05
2.136283e+00	2.261947e+00	7.489585e-04	2.704332e-05	2.704332e-05
2.261947e+00	2.387610e+00	8.026714e-04	2.803041e-05	2.803041e-05
2.387610e+00	2.513274e+00	7.802058e-04	2.760170e-05	2.760170e-05
2.513274e+00	2.638938e+00	8.534417e-04	2.886809e-05	2.886809e-05
2.638938e+00	2.764602e+00	8.602766e-04	2.898346e-05	2.898346e-05
2.764602e+00	2.890265e+00	7.802120e-04	2.767093e-05	2.767093e-05
