# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\mathrm{T}^\mathrm{miss}$ [pb/GeV]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1200_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi10_L20_darkQCDtch.yoda.gz/JetMETAnalysis/met
ScaledBy=6.77976749129633426e-06
Title=X600_pi10_L20
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.886296e-06	3.101052e-07	3.101052e-07
5.000000e+00	1.000000e+01	7.035376e-06	5.988909e-07	5.988909e-07
1.000000e+01	1.500000e+01	1.157268e-05	7.681060e-07	7.681060e-07
1.500000e+01	2.000000e+01	1.651784e-05	9.176577e-07	9.176577e-07
2.000000e+01	2.500000e+01	1.891394e-05	9.819631e-07	9.819631e-07
2.500000e+01	3.000000e+01	2.309438e-05	1.085069e-06	1.085069e-06
3.000000e+01	3.500000e+01	2.559246e-05	1.142247e-06	1.142247e-06
3.500000e+01	4.000000e+01	2.559246e-05	1.142247e-06	1.142247e-06
4.000000e+01	4.500000e+01	2.564344e-05	1.143384e-06	1.143384e-06
4.500000e+01	5.000000e+01	2.651012e-05	1.162545e-06	1.162545e-06
5.000000e+01	5.500000e+01	2.610226e-05	1.153568e-06	1.153568e-06
5.500000e+01	6.000000e+01	2.549050e-05	1.139969e-06	1.139969e-06
6.000000e+01	6.500000e+01	2.457284e-05	1.119262e-06	1.119262e-06
6.500000e+01	7.000000e+01	2.232966e-05	1.069386e-06	1.069386e-06
7.000000e+01	7.500000e+01	2.136104e-05	1.043555e-06	1.043555e-06
7.500000e+01	8.000000e+01	1.978062e-05	1.004209e-06	1.004209e-06
8.000000e+01	8.500000e+01	1.860806e-05	9.739903e-07	9.739903e-07
8.500000e+01	9.000000e+01	1.590607e-05	9.005036e-07	9.005036e-07
9.000000e+01	9.500000e+01	1.667078e-05	9.218963e-07	9.218963e-07
9.500000e+01	1.000000e+02	1.534528e-05	8.844870e-07	8.844870e-07
1.000000e+02	1.050000e+02	1.401977e-05	8.454239e-07	8.454239e-07
1.050000e+02	1.100000e+02	1.330604e-05	8.267725e-07	8.267725e-07
1.100000e+02	1.150000e+02	1.330604e-05	8.236230e-07	8.236230e-07
1.150000e+02	1.200000e+02	1.350996e-05	8.299104e-07	8.299104e-07
1.200000e+02	1.250000e+02	1.162366e-05	7.697958e-07	7.697958e-07
1.250000e+02	1.300000e+02	1.045110e-05	7.299364e-07	7.299364e-07
1.300000e+02	1.350000e+02	1.203151e-05	7.831848e-07	7.831848e-07
1.350000e+02	1.400000e+02	1.085895e-05	7.440430e-07	7.440430e-07
1.400000e+02	1.450000e+02	1.014522e-05	7.191754e-07	7.191754e-07
1.450000e+02	1.500000e+02	1.116483e-05	7.544497e-07	7.544497e-07
1.500000e+02	1.550000e+02	1.045110e-05	7.299364e-07	7.299364e-07
