# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta R$
XLabel=$\Delta R_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=4.68419625914882087e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	4.684196e-04	4.684196e-04	4.684196e-04
4.000000e-01	5.000000e-01	1.358417e-02	2.522517e-03	2.522517e-03
5.000000e-01	6.000000e-01	4.965248e-02	4.822676e-03	4.822676e-03
6.000000e-01	7.000000e-01	1.072681e-01	7.088475e-03	7.088475e-03
7.000000e-01	8.000000e-01	1.344364e-01	7.935531e-03	7.935531e-03
8.000000e-01	9.000000e-01	1.320943e-01	7.866103e-03	7.866103e-03
9.000000e-01	1.000000e+00	1.227259e-01	7.582034e-03	7.582034e-03
1.000000e+00	1.100000e+00	1.016471e-01	6.900252e-03	6.900252e-03
1.100000e+00	1.200000e+00	8.572079e-02	6.336663e-03	6.336663e-03
1.200000e+00	1.300000e+00	8.103660e-02	6.161098e-03	6.161098e-03
1.300000e+00	1.400000e+00	6.557875e-02	5.542416e-03	5.542416e-03
1.400000e+00	1.500000e+00	6.183139e-02	5.381732e-03	5.381732e-03
1.500000e+00	1.600000e+00	5.433668e-02	5.045034e-03	5.045034e-03
1.600000e+00	1.700000e+00	5.808403e-02	5.216100e-03	5.216100e-03
1.700000e+00	1.800000e+00	3.934725e-02	4.293136e-03	4.293136e-03
1.800000e+00	1.900000e+00	2.810518e-02	3.628363e-03	3.628363e-03
1.900000e+00	2.000000e+00	3.466305e-02	4.029497e-03	4.029497e-03
2.000000e+00	2.100000e+00	2.857360e-02	3.658474e-03	3.658474e-03
2.100000e+00	2.200000e+00	2.810518e-02	3.628363e-03	3.628363e-03
2.200000e+00	2.300000e+00	2.763676e-02	3.597999e-03	3.597999e-03
2.300000e+00	2.400000e+00	3.325779e-02	3.946974e-03	3.946974e-03
2.400000e+00	2.500000e+00	3.325779e-02	3.946974e-03	3.946974e-03
2.500000e+00	2.600000e+00	3.747357e-02	4.189673e-03	4.189673e-03
2.600000e+00	2.700000e+00	4.684196e-02	4.684196e-03	4.684196e-03
2.700000e+00	2.800000e+00	4.496828e-02	4.589557e-03	4.589557e-03
2.800000e+00	2.900000e+00	5.293142e-02	4.979368e-03	4.979368e-03
2.900000e+00	3.000000e+00	5.433668e-02	5.045034e-03	5.045034e-03
3.000000e+00	3.100000e+00	5.105774e-02	4.890445e-03	4.890445e-03
3.100000e+00	3.200000e+00	5.152616e-02	4.912826e-03	4.912826e-03
3.200000e+00	3.300000e+00	2.576308e-02	3.473893e-03	3.473893e-03
3.300000e+00	3.400000e+00	1.498943e-02	2.649782e-03	2.649782e-03
3.400000e+00	3.500000e+00	1.264733e-02	2.433980e-03	2.433980e-03
3.500000e+00	3.600000e+00	3.747357e-03	1.324891e-03	1.324891e-03
3.600000e+00	3.700000e+00	2.810518e-03	1.147389e-03	1.147389e-03
3.700000e+00	3.800000e+00	2.342098e-03	1.047418e-03	1.047418e-03
3.800000e+00	3.900000e+00	1.405259e-03	8.113266e-04	8.113266e-04
3.900000e+00	4.000000e+00	4.684196e-04	4.684196e-04	4.684196e-04
4.000000e+00	4.100000e+00	4.684196e-04	4.684196e-04	4.684196e-04
4.100000e+00	4.200000e+00	1.405259e-03	8.113266e-04	8.113266e-04
4.200000e+00	4.300000e+00	4.684196e-04	4.684196e-04	4.684196e-04
4.300000e+00	4.400000e+00	4.684196e-04	4.684196e-04	4.684196e-04
4.400000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.600000e+00	4.684196e-04	4.684196e-04	4.684196e-04
4.600000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=2.64351320321469576e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	7.296096e-04	4.391734e-05	4.391734e-05
5.000000e-01	6.000000e-01	1.583464e-03	6.469860e-05	6.469860e-05
6.000000e-01	7.000000e-01	1.514733e-03	6.327888e-05	6.327888e-05
7.000000e-01	8.000000e-01	1.292678e-03	5.845692e-05	5.845692e-05
8.000000e-01	9.000000e-01	1.054762e-03	5.280414e-05	5.280414e-05
9.000000e-01	1.000000e+00	8.697158e-04	4.794898e-05	4.794898e-05
1.000000e+00	1.100000e+00	7.401837e-04	4.423443e-05	4.423443e-05
1.100000e+00	1.200000e+00	6.688088e-04	4.204765e-05	4.204765e-05
1.200000e+00	1.300000e+00	5.842164e-04	3.929865e-05	3.929865e-05
1.300000e+00	1.400000e+00	4.811194e-04	3.566294e-05	3.566294e-05
1.400000e+00	1.500000e+00	3.965270e-04	3.237629e-05	3.237629e-05
1.500000e+00	1.600000e+00	3.727354e-04	3.138998e-05	3.138998e-05
1.600000e+00	1.700000e+00	3.410132e-04	3.002454e-05	3.002454e-05
1.700000e+00	1.800000e+00	3.251521e-04	2.931798e-05	2.931798e-05
1.800000e+00	1.900000e+00	3.092910e-04	2.859397e-05	2.859397e-05
1.900000e+00	2.000000e+00	2.643513e-04	2.643513e-05	2.643513e-05
2.000000e+00	2.100000e+00	2.775689e-04	2.708795e-05	2.708795e-05
2.100000e+00	2.200000e+00	3.066475e-04	2.847151e-05	2.847151e-05
2.200000e+00	2.300000e+00	2.643513e-04	2.643513e-05	2.643513e-05
2.300000e+00	2.400000e+00	2.802124e-04	2.721663e-05	2.721663e-05
2.400000e+00	2.500000e+00	3.251521e-04	2.931798e-05	2.931798e-05
2.500000e+00	2.600000e+00	4.018140e-04	3.259143e-05	3.259143e-05
2.600000e+00	2.700000e+00	4.626148e-04	3.497039e-05	3.497039e-05
2.700000e+00	2.800000e+00	4.731889e-04	3.536780e-05	3.536780e-05
2.800000e+00	2.900000e+00	5.657118e-04	3.867127e-05	3.867127e-05
2.900000e+00	3.000000e+00	6.080080e-04	4.009086e-05	4.009086e-05
3.000000e+00	3.100000e+00	8.036280e-04	4.609122e-05	4.609122e-05
3.100000e+00	3.200000e+00	6.450172e-04	4.129300e-05	4.129300e-05
3.200000e+00	3.300000e+00	4.203186e-04	3.333344e-05	3.333344e-05
3.300000e+00	3.400000e+00	2.617078e-04	2.630262e-05	2.630262e-05
3.400000e+00	3.500000e+00	2.194116e-04	2.408355e-05	2.408355e-05
3.500000e+00	3.600000e+00	1.559673e-04	2.030521e-05	2.030521e-05
3.600000e+00	3.700000e+00	1.057405e-04	1.671905e-05	1.671905e-05
3.700000e+00	3.800000e+00	8.723594e-05	1.518583e-05	1.518583e-05
3.800000e+00	3.900000e+00	5.815729e-05	1.239918e-05	1.239918e-05
3.900000e+00	4.000000e+00	6.344432e-05	1.295052e-05	1.295052e-05
4.000000e+00	4.100000e+00	4.758324e-05	1.121548e-05	1.121548e-05
4.100000e+00	4.200000e+00	7.930540e-06	4.578700e-06	4.578700e-06
4.200000e+00	4.300000e+00	7.930540e-06	4.578700e-06	4.578700e-06
4.300000e+00	4.400000e+00	1.057405e-05	5.287027e-06	5.287027e-06
4.400000e+00	4.500000e+00	1.321757e-05	5.911075e-06	5.911075e-06
4.500000e+00	4.600000e+00	1.057405e-05	5.287027e-06	5.287027e-06
4.600000e+00	4.700000e+00	2.643513e-06	2.643513e-06	2.643513e-06
4.700000e+00	4.800000e+00	5.287026e-06	3.738492e-06	3.738492e-06
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=5.05012191817935500e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.297881e-04	8.095961e-06	8.095961e-06
5.000000e-01	6.000000e-01	2.994722e-04	1.229785e-05	1.229785e-05
6.000000e-01	7.000000e-01	3.025023e-04	1.235991e-05	1.235991e-05
7.000000e-01	8.000000e-01	2.393758e-04	1.099489e-05	1.099489e-05
8.000000e-01	9.000000e-01	1.853395e-04	9.674642e-06	9.674642e-06
9.000000e-01	1.000000e+00	1.641290e-04	9.104237e-06	9.104237e-06
1.000000e+00	1.100000e+00	1.302931e-04	8.111697e-06	8.111697e-06
1.100000e+00	1.200000e+00	1.171628e-04	7.692117e-06	7.692117e-06
1.200000e+00	1.300000e+00	1.020125e-04	7.177572e-06	7.177572e-06
1.300000e+00	1.400000e+00	9.595232e-05	6.961113e-06	6.961113e-06
1.400000e+00	1.500000e+00	8.383202e-05	6.506627e-06	6.506627e-06
1.500000e+00	1.600000e+00	7.373178e-05	6.102086e-06	6.102086e-06
1.600000e+00	1.700000e+00	7.120672e-05	5.996687e-06	5.996687e-06
1.700000e+00	1.800000e+00	6.312652e-05	5.646208e-06	5.646208e-06
1.800000e+00	1.900000e+00	6.009645e-05	5.509033e-06	5.509033e-06
