# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\eta$
XLabel=$\Delta\eta_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=4.68419625914882087e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.466153e-01	8.287189e-03	8.287189e-03
1.000000e-01	2.000000e-01	1.597311e-01	8.649924e-03	8.649924e-03
2.000000e-01	3.000000e-01	1.489574e-01	8.353119e-03	8.353119e-03
3.000000e-01	4.000000e-01	1.611364e-01	8.687890e-03	8.687890e-03
4.000000e-01	5.000000e-01	1.536416e-01	8.483440e-03	8.483440e-03
5.000000e-01	6.000000e-01	1.550469e-01	8.522148e-03	8.522148e-03
6.000000e-01	7.000000e-01	1.484890e-01	8.339974e-03	8.339974e-03
7.000000e-01	8.000000e-01	1.386522e-01	8.058996e-03	8.058996e-03
8.000000e-01	9.000000e-01	1.007102e-01	6.868380e-03	6.868380e-03
9.000000e-01	1.000000e+00	9.087341e-02	6.524331e-03	6.524331e-03
1.000000e+00	1.100000e+00	5.948929e-02	5.278821e-03	5.278821e-03
1.100000e+00	1.200000e+00	5.480510e-02	5.066733e-03	5.066733e-03
1.200000e+00	1.300000e+00	4.918406e-02	4.799873e-03	4.799873e-03
1.300000e+00	1.400000e+00	3.372621e-02	3.974672e-03	3.974672e-03
1.400000e+00	1.500000e+00	2.435782e-02	3.377822e-03	3.377822e-03
1.500000e+00	1.600000e+00	2.014204e-02	3.071633e-03	3.071633e-03
1.600000e+00	1.700000e+00	1.826837e-02	2.925280e-03	2.925280e-03
1.700000e+00	1.800000e+00	1.545785e-02	2.690866e-03	2.690866e-03
1.800000e+00	1.900000e+00	1.030523e-02	2.197083e-03	2.197083e-03
1.900000e+00	2.000000e+00	6.557875e-03	1.752666e-03	1.752666e-03
2.000000e+00	2.100000e+00	6.557875e-03	1.752666e-03	1.752666e-03
2.100000e+00	2.200000e+00	7.494714e-03	1.873678e-03	1.873678e-03
