# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\phi$
XLabel=$\Delta\phi_{bb}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{bb}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=4.68419625914882087e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	4.994936e-02	6.102288e-03	6.102288e-03
6.283185e-02	1.256637e-01	5.367693e-02	6.325888e-03	6.325888e-03
1.256637e-01	1.884956e-01	5.069484e-02	6.147653e-03	6.147653e-03
1.884956e-01	2.513274e-01	5.516800e-02	6.413150e-03	6.413150e-03
2.513274e-01	3.141593e-01	6.560510e-02	6.993526e-03	6.993526e-03
3.141593e-01	3.769911e-01	7.007827e-02	7.228022e-03	7.228022e-03
3.769911e-01	4.398230e-01	7.156919e-02	7.304501e-03	7.304501e-03
4.398230e-01	5.026548e-01	7.976996e-02	7.711652e-03	7.711652e-03
5.026548e-01	5.654867e-01	8.200637e-02	7.819000e-03	7.819000e-03
5.654867e-01	6.283185e-01	1.058629e-01	8.883821e-03	8.883821e-03
6.283185e-01	6.911504e-01	1.110813e-01	9.100138e-03	9.100138e-03
6.911504e-01	7.539822e-01	9.691677e-02	8.500163e-03	8.500163e-03
7.539822e-01	8.168141e-01	9.244354e-02	8.301675e-03	8.301675e-03
8.168141e-01	8.796459e-01	8.722510e-02	8.063962e-03	8.063962e-03
8.796459e-01	9.424778e-01	8.051534e-02	7.747592e-03	7.747592e-03
9.424778e-01	1.005310e+00	8.573353e-02	7.994692e-03	7.994692e-03
1.005310e+00	1.068142e+00	7.902419e-02	7.675509e-03	7.675509e-03
1.068142e+00	1.130973e+00	6.560604e-02	6.993626e-03	6.993626e-03
1.130973e+00	1.193805e+00	5.740436e-02	6.541834e-03	6.541834e-03
1.193805e+00	1.256637e+00	6.411397e-02	6.913587e-03	6.913587e-03
1.256637e+00	1.319469e+00	5.069476e-02	6.147643e-03	6.147643e-03
1.319469e+00	1.382301e+00	4.473068e-02	5.774706e-03	5.774706e-03
1.382301e+00	1.445133e+00	4.771273e-02	5.964089e-03	5.964089e-03
1.445133e+00	1.507964e+00	4.771349e-02	5.964184e-03	5.964184e-03
1.507964e+00	1.570796e+00	4.249414e-02	5.628487e-03	5.628487e-03
1.570796e+00	1.633628e+00	4.100312e-02	5.528859e-03	5.528859e-03
1.633628e+00	1.696460e+00	3.205698e-02	4.888644e-03	4.888644e-03
1.696460e+00	1.759292e+00	3.131147e-02	4.831465e-03	4.831465e-03
1.759292e+00	1.822124e+00	3.280249e-02	4.945162e-03	4.945162e-03
1.822124e+00	1.884956e+00	2.385636e-02	4.217248e-03	4.217248e-03
1.884956e+00	1.947787e+00	2.907541e-02	4.655790e-03	4.655790e-03
1.947787e+00	2.010619e+00	2.758392e-02	4.534768e-03	4.534768e-03
2.010619e+00	2.073451e+00	3.205698e-02	4.888644e-03	4.888644e-03
2.073451e+00	2.136283e+00	2.982046e-02	4.715027e-03	4.715027e-03
2.136283e+00	2.199115e+00	2.311085e-02	4.150831e-03	4.150831e-03
2.199115e+00	2.261947e+00	3.503902e-02	5.110968e-03	5.110968e-03
2.261947e+00	2.324779e+00	3.280249e-02	4.945162e-03	4.945162e-03
2.324779e+00	2.387610e+00	3.056644e-02	4.773677e-03	4.773677e-03
2.387610e+00	2.450442e+00	3.354800e-02	5.001042e-03	5.001042e-03
2.450442e+00	2.513274e+00	4.174863e-02	5.578896e-03	5.578896e-03
2.513274e+00	2.576106e+00	3.056595e-02	4.773601e-03	4.773601e-03
2.576106e+00	2.638938e+00	4.473068e-02	5.774706e-03	5.774706e-03
2.638938e+00	2.701770e+00	5.516783e-02	6.413129e-03	6.413129e-03
2.701770e+00	2.764602e+00	5.218578e-02	6.237395e-03	6.237395e-03
2.764602e+00	2.827433e+00	4.920453e-02	6.056659e-03	6.056659e-03
2.827433e+00	2.890265e+00	6.113192e-02	6.750892e-03	6.750892e-03
2.890265e+00	2.953097e+00	5.442232e-02	6.369651e-03	6.369651e-03
2.953097e+00	3.015929e+00	6.635051e-02	7.033139e-03	7.033139e-03
3.015929e+00	3.078761e+00	5.442232e-02	6.369651e-03	6.369651e-03
3.078761e+00	3.141593e+00	6.784153e-02	7.111724e-03	7.111724e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
