# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet invariant mass
XLabel=$m_{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=4.68419625914882087e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	2.568999e-03	1.679407e-04	1.679407e-04
5.426665e+01	5.889739e+01	3.510057e-03	1.884297e-04	1.884297e-04
5.889739e+01	6.392328e+01	3.970377e-03	1.923654e-04	1.923654e-04
6.392328e+01	6.937805e+01	3.933002e-03	1.837771e-04	1.837771e-04
6.937805e+01	7.529829e+01	3.275639e-03	1.609889e-04	1.609889e-04
7.529829e+01	8.172373e+01	1.858970e-03	1.164132e-04	1.164132e-04
8.172373e+01	8.869746e+01	9.336514e-04	7.919128e-05	7.919128e-05
8.869746e+01	9.626628e+01	6.312582e-04	6.250388e-05	6.250388e-05
9.626628e+01	1.044810e+02	5.702198e-04	5.702198e-05	5.702198e-05
1.044810e+02	1.133967e+02	4.781026e-04	5.011876e-05	5.011876e-05
1.133967e+02	1.230731e+02	3.775860e-04	4.275319e-05	4.275319e-05
1.230731e+02	1.335753e+02	3.835776e-04	4.136224e-05	4.136224e-05
1.335753e+02	1.449737e+02	3.534188e-04	3.811013e-05	3.811013e-05
1.449737e+02	1.573448e+02	3.218442e-04	3.490890e-05	3.490890e-05
1.573448e+02	1.707715e+02	2.721200e-04	3.081152e-05	3.081152e-05
1.707715e+02	1.853439e+02	1.832225e-04	2.426842e-05	2.426842e-05
1.853439e+02	2.011599e+02	1.806626e-04	2.313147e-05	2.313147e-05
2.011599e+02	2.183255e+02	1.337125e-04	1.910179e-05	1.910179e-05
2.183255e+02	2.369559e+02	1.181709e-04	1.723701e-05	1.723701e-05
2.369559e+02	2.571760e+02	7.413133e-05	1.310469e-05	1.310469e-05
2.571760e+02	2.791217e+02	7.470571e-05	1.262757e-05	1.262757e-05
2.791217e+02	3.029400e+02	4.326602e-05	9.224348e-06	9.224348e-06
3.029400e+02	3.287907e+02	3.805240e-05	8.303715e-06	8.303715e-06
3.287907e+02	3.568475e+02	1.669540e-05	5.279550e-06	5.279550e-06
3.568475e+02	3.872983e+02	9.229702e-06	3.768010e-06	3.768010e-06
3.872983e+02	4.203477e+02	4.251995e-06	2.454890e-06	2.454890e-06
4.203477e+02	4.562172e+02	1.305899e-06	1.305899e-06	1.305899e-06
4.562172e+02	4.951476e+02	2.406447e-06	1.701615e-06	1.701615e-06
4.951476e+02	5.374001e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.374001e+02	5.832581e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.832581e+02	6.330293e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.330293e+02	6.870476e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.870476e+02	7.456754e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.456754e+02	8.093062e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.093062e+02	8.783667e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.783667e+02	9.533204e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.533204e+02	1.034670e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.034670e+03	1.122962e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.122962e+03	1.218787e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.218787e+03	1.322790e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.322790e+03	1.435668e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.435668e+03	1.558178e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.558178e+03	1.691142e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.691142e+03	1.835452e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.835452e+03	1.992077e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.992077e+03	2.162067e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.162067e+03	2.346563e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.346563e+03	2.546802e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.546802e+03	2.764129e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764129e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=2.64351320321469576e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.325892e-05	9.063614e-07	9.063614e-07
5.426665e+01	5.889739e+01	2.089355e-05	1.092123e-06	1.092123e-06
5.889739e+01	6.392328e+01	2.403726e-05	1.124415e-06	1.124415e-06
6.392328e+01	6.937805e+01	2.713894e-05	1.146830e-06	1.146830e-06
6.937805e+01	7.529829e+01	3.206022e-05	1.196477e-06	1.196477e-06
7.529829e+01	8.172373e+01	2.439682e-05	1.001857e-06	1.001857e-06
8.172373e+01	8.869746e+01	1.031063e-05	6.251738e-07	6.251738e-07
8.869746e+01	9.626628e+01	8.033062e-06	5.296844e-07	5.296844e-07
9.626628e+01	1.044810e+02	7.401445e-06	4.880368e-07	4.880368e-07
1.044810e+02	1.133967e+02	6.404420e-06	4.357656e-07	4.357656e-07
