# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=4.68419625914882087e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	8.633668e-04	1.576285e-04	1.576285e-04
2.162765e+01	2.338777e+01	6.919363e-04	1.356999e-04	1.356999e-04
2.338777e+01	2.529113e+01	1.156677e-03	1.687187e-04	1.687187e-04
2.529113e+01	2.734939e+01	8.875638e-04	1.421239e-04	1.421239e-04
2.734939e+01	2.957515e+01	7.997246e-04	1.297324e-04	1.297324e-04
2.957515e+01	3.198206e+01	8.757652e-04	1.305514e-04	1.305514e-04
3.198206e+01	3.458484e+01	8.278571e-04	1.220609e-04	1.220609e-04
3.458484e+01	3.739945e+01	8.986915e-04	1.222964e-04	1.222964e-04
3.739945e+01	4.044311e+01	9.080108e-04	1.182129e-04	1.182129e-04
4.044311e+01	4.373448e+01	1.209699e-03	1.312103e-04	1.312103e-04
4.373448e+01	4.729371e+01	1.105499e-03	1.206198e-04	1.206198e-04
4.729371e+01	5.114260e+01	1.253536e-03	1.235146e-04	1.235146e-04
5.114260e+01	5.530472e+01	1.316759e-03	1.217344e-04	1.217344e-04
5.530472e+01	5.980556e+01	1.332145e-03	1.177461e-04	1.177461e-04
5.980556e+01	6.467270e+01	1.231888e-03	1.088845e-04	1.088845e-04
6.467270e+01	6.993594e+01	1.299376e-03	1.075371e-04	1.075371e-04
6.993594e+01	7.562751e+01	1.267429e-03	1.021324e-04	1.021324e-04
7.562751e+01	8.178228e+01	1.004609e-03	8.744002e-05	8.744002e-05
8.178228e+01	8.843794e+01	1.041611e-03	8.561992e-05	8.561992e-05
8.843794e+01	9.563525e+01	9.371894e-04	7.809912e-05	7.809912e-05
9.563525e+01	1.034183e+02	1.023138e-03	7.847110e-05	7.847110e-05
1.034183e+02	1.118348e+02	9.405682e-04	7.235139e-05	7.235139e-05
1.118348e+02	1.209362e+02	9.830153e-04	7.112849e-05	7.112849e-05
