# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=1.28056914184081827e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.165318e-02	1.221585e-03	1.221585e-03
-2.400000e+00	-2.300000e+00	1.383015e-02	1.330807e-03	1.330807e-03
-2.300000e+00	-2.200000e+00	1.664740e-02	1.460074e-03	1.460074e-03
-2.200000e+00	-2.100000e+00	2.048911e-02	1.619806e-03	1.619806e-03
-2.100000e+00	-2.000000e+00	1.677546e-02	1.465678e-03	1.465678e-03
-2.000000e+00	-1.900000e+00	2.048911e-02	1.619806e-03	1.619806e-03
-1.900000e+00	-1.800000e+00	2.394664e-02	1.751152e-03	1.751152e-03
-1.800000e+00	-1.700000e+00	2.958115e-02	1.946296e-03	1.946296e-03
-1.700000e+00	-1.600000e+00	2.958115e-02	1.946296e-03	1.946296e-03
-1.600000e+00	-1.500000e+00	3.444731e-02	2.100290e-03	2.100290e-03
-1.500000e+00	-1.400000e+00	3.329480e-02	2.064856e-03	2.064856e-03
-1.400000e+00	-1.300000e+00	3.598399e-02	2.146625e-03	2.146625e-03
-1.300000e+00	-1.200000e+00	3.355091e-02	2.072782e-03	2.072782e-03
-1.200000e+00	-1.100000e+00	3.905736e-02	2.236418e-03	2.236418e-03
-1.100000e+00	-1.000000e+00	4.366741e-02	2.364723e-03	2.364723e-03
-1.000000e+00	-9.000000e-01	4.661272e-02	2.443170e-03	2.443170e-03
-9.000000e-01	-8.000000e-01	4.200267e-02	2.319209e-03	2.319209e-03
-8.000000e-01	-7.000000e-01	4.712494e-02	2.456558e-03	2.456558e-03
-7.000000e-01	-6.000000e-01	4.123433e-02	2.297899e-03	2.297899e-03
-6.000000e-01	-5.000000e-01	4.328324e-02	2.354298e-03	2.354298e-03
-5.000000e-01	-4.000000e-01	4.891774e-02	2.502849e-03	2.502849e-03
-4.000000e-01	-3.000000e-01	4.674077e-02	2.446524e-03	2.446524e-03
-3.000000e-01	-2.000000e-01	4.610049e-02	2.429709e-03	2.429709e-03
-2.000000e-01	-1.000000e-01	4.315518e-02	2.350812e-03	2.350812e-03
-1.000000e-01	0.000000e+00	4.917386e-02	2.509393e-03	2.509393e-03
0.000000e+00	1.000000e-01	4.622855e-02	2.433081e-03	2.433081e-03
1.000000e-01	2.000000e-01	4.392352e-02	2.371647e-03	2.371647e-03
2.000000e-01	3.000000e-01	4.610049e-02	2.429709e-03	2.429709e-03
3.000000e-01	4.000000e-01	4.571632e-02	2.419564e-03	2.419564e-03
4.000000e-01	5.000000e-01	4.328324e-02	2.354298e-03	2.354298e-03
5.000000e-01	6.000000e-01	4.648466e-02	2.439812e-03	2.439812e-03
6.000000e-01	7.000000e-01	4.123433e-02	2.297899e-03	2.297899e-03
7.000000e-01	8.000000e-01	4.430769e-02	2.381996e-03	2.381996e-03
8.000000e-01	9.000000e-01	4.443575e-02	2.385436e-03	2.385436e-03
9.000000e-01	1.000000e+00	4.213072e-02	2.322742e-03	2.322742e-03
1.000000e+00	1.100000e+00	3.944153e-02	2.247390e-03	2.247390e-03
1.100000e+00	1.200000e+00	3.867319e-02	2.225392e-03	2.225392e-03
1.200000e+00	1.300000e+00	3.854513e-02	2.221705e-03	2.221705e-03
1.300000e+00	1.400000e+00	3.585594e-02	2.142802e-03	2.142802e-03
1.400000e+00	1.500000e+00	3.163006e-02	2.012572e-03	2.012572e-03
1.500000e+00	1.600000e+00	3.508759e-02	2.119719e-03	2.119719e-03
1.600000e+00	1.700000e+00	3.265451e-02	2.044905e-03	2.044905e-03
1.700000e+00	1.800000e+00	2.983726e-02	1.954704e-03	1.954704e-03
1.800000e+00	1.900000e+00	2.548333e-02	1.806465e-03	1.806465e-03
1.900000e+00	2.000000e+00	2.766029e-02	1.882045e-03	1.882045e-03
2.000000e+00	2.100000e+00	2.048911e-02	1.619806e-03	1.619806e-03
2.100000e+00	2.200000e+00	1.972076e-02	1.589144e-03	1.589144e-03
2.200000e+00	2.300000e+00	1.728768e-02	1.487887e-03	1.487887e-03
2.300000e+00	2.400000e+00	1.511072e-02	1.391054e-03	1.391054e-03
2.400000e+00	2.500000e+00	1.459849e-02	1.367274e-03	1.367274e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=7.90999269978958247e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	5.457895e-05	6.570533e-06	6.570533e-06
-2.400000e+00	-2.300000e+00	7.039894e-05	7.462272e-06	7.462272e-06
-2.300000e+00	-2.200000e+00	9.491991e-05	8.664963e-06	8.664963e-06
-2.200000e+00	-2.100000e+00	1.020389e-04	8.984025e-06	8.984025e-06
-2.100000e+00	-2.000000e+00	1.305149e-04	1.016057e-05	1.016057e-05
-2.000000e+00	-1.900000e+00	1.249779e-04	9.942707e-06	9.942707e-06
-1.900000e+00	-1.800000e+00	1.835118e-04	1.204814e-05	1.204814e-05
-1.800000e+00	-1.700000e+00	2.032868e-04	1.268068e-05	1.268068e-05
-1.700000e+00	-1.600000e+00	2.191068e-04	1.316485e-05	1.316485e-05
-1.600000e+00	-1.500000e+00	2.744767e-04	1.473468e-05	1.473468e-05
-1.500000e+00	-1.400000e+00	2.831777e-04	1.496641e-05	1.496641e-05
-1.400000e+00	-1.300000e+00	3.235187e-04	1.599697e-05	1.599697e-05
-1.300000e+00	-1.200000e+00	3.472487e-04	1.657328e-05	1.657328e-05
-1.200000e+00	-1.100000e+00	3.852166e-04	1.745583e-05	1.745583e-05
-1.100000e+00	-1.000000e+00	4.279306e-04	1.839817e-05	1.839817e-05
-1.000000e+00	-9.000000e-01	5.157315e-04	2.019761e-05	2.019761e-05
-9.000000e-01	-8.000000e-01	5.402525e-04	2.067219e-05	2.067219e-05
-8.000000e-01	-7.000000e-01	5.426255e-04	2.071754e-05	2.071754e-05
-7.000000e-01	-6.000000e-01	5.869215e-04	2.154656e-05	2.154656e-05
-6.000000e-01	-5.000000e-01	5.536995e-04	2.092787e-05	2.092787e-05
-5.000000e-01	-4.000000e-01	6.217254e-04	2.217621e-05	2.217621e-05
-4.000000e-01	-3.000000e-01	6.438734e-04	2.256775e-05	2.256775e-05
-3.000000e-01	-2.000000e-01	6.177704e-04	2.210556e-05	2.210556e-05
-2.000000e-01	-1.000000e-01	7.087353e-04	2.367719e-05	2.367719e-05
-1.000000e-01	0.000000e+00	6.842144e-04	2.326399e-05	2.326399e-05
0.000000e+00	1.000000e-01	6.850054e-04	2.327743e-05	2.327743e-05
1.000000e-01	2.000000e-01	6.604844e-04	2.285701e-05	2.285701e-05
2.000000e-01	3.000000e-01	6.533654e-04	2.273349e-05	2.273349e-05
3.000000e-01	4.000000e-01	6.146064e-04	2.204888e-05	2.204888e-05
4.000000e-01	5.000000e-01	6.130244e-04	2.202049e-05	2.202049e-05
5.000000e-01	6.000000e-01	6.264714e-04	2.226069e-05	2.226069e-05
6.000000e-01	7.000000e-01	5.576545e-04	2.100248e-05	2.100248e-05
7.000000e-01	8.000000e-01	5.307605e-04	2.048978e-05	2.048978e-05
8.000000e-01	9.000000e-01	4.999115e-04	1.988541e-05	1.988541e-05
9.000000e-01	1.000000e+00	4.809276e-04	1.950419e-05	1.950419e-05
1.000000e+00	1.100000e+00	4.342586e-04	1.853370e-05	1.853370e-05
1.100000e+00	1.200000e+00	3.836346e-04	1.741995e-05	1.741995e-05
1.200000e+00	1.300000e+00	3.432937e-04	1.647863e-05	1.647863e-05
1.300000e+00	1.400000e+00	3.203547e-04	1.591855e-05	1.591855e-05
1.400000e+00	1.500000e+00	3.108627e-04	1.568095e-05	1.568095e-05
1.500000e+00	1.600000e+00	2.776407e-04	1.481937e-05	1.481937e-05
1.600000e+00	1.700000e+00	2.380908e-04	1.372332e-05	1.372332e-05
1.700000e+00	1.800000e+00	1.882578e-04	1.220294e-05	1.220294e-05
1.800000e+00	1.900000e+00	1.605729e-04	1.127000e-05	1.127000e-05
1.900000e+00	2.000000e+00	1.494989e-04	1.087444e-05	1.087444e-05
2.000000e+00	2.100000e+00	1.233959e-04	9.879578e-06	9.879578e-06
2.100000e+00	2.200000e+00	1.052029e-04	9.122249e-06	9.122249e-06
2.200000e+00	2.300000e+00	7.435393e-05	7.669023e-06	7.669023e-06
2.300000e+00	2.400000e+00	8.305492e-05	8.105330e-06	8.105330e-06
2.400000e+00	2.500000e+00	4.192296e-05	5.758561e-06	5.758561e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=1.48691767708998083e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	8.178047e-06	1.102728e-06	1.102728e-06
-2.400000e+00	-2.300000e+00	1.308488e-05	1.394852e-06	1.394852e-06
-2.300000e+00	-2.200000e+00	1.397703e-05	1.441620e-06	1.441620e-06
-2.200000e+00	-2.100000e+00	1.799170e-05	1.635609e-06	1.635609e-06
-2.100000e+00	-2.000000e+00	2.022208e-05	1.734029e-06	1.734029e-06
-2.000000e+00	-1.900000e+00	2.453414e-05	1.909980e-06	1.909980e-06
-1.900000e+00	-1.800000e+00	3.152265e-05	2.164985e-06	2.164985e-06
-1.800000e+00	-1.700000e+00	3.791640e-05	2.374417e-06	2.374417e-06
-1.700000e+00	-1.600000e+00	4.163369e-05	2.488089e-06	2.488089e-06
-1.600000e+00	-1.500000e+00	4.981174e-05	2.721506e-06	2.721506e-06
-1.500000e+00	-1.400000e+00	5.159604e-05	2.769821e-06	2.769821e-06
-1.400000e+00	-1.300000e+00	6.170708e-05	3.029082e-06	3.029082e-06
-1.300000e+00	-1.200000e+00	7.271027e-05	3.288072e-06	3.288072e-06
-1.200000e+00	-1.100000e+00	8.014486e-05	3.452083e-06	3.452083e-06
-1.100000e+00	-1.000000e+00	8.609253e-05	3.577883e-06	3.577883e-06
-1.000000e+00	-9.000000e-01	9.947479e-05	3.845917e-06	3.845917e-06
-9.000000e-01	-8.000000e-01	1.003669e-04	3.863126e-06	3.863126e-06
-8.000000e-01	-7.000000e-01	1.138979e-04	4.115298e-06	4.115298e-06
-7.000000e-01	-6.000000e-01	1.204403e-04	4.231842e-06	4.231842e-06
-6.000000e-01	-5.000000e-01	1.260906e-04	4.329970e-06	4.329970e-06
-5.000000e-01	-4.000000e-01	1.277262e-04	4.357963e-06	4.357963e-06
-4.000000e-01	-3.000000e-01	1.385807e-04	4.539362e-06	4.539362e-06
-3.000000e-01	-2.000000e-01	1.399190e-04	4.561228e-06	4.561228e-06
-2.000000e-01	-1.000000e-01	1.391755e-04	4.549093e-06	4.549093e-06
