# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{b\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{b\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=1.28056914184081827e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	4.004606e-03	1.775010e-04	1.775010e-04
2.162765e+01	2.338777e+01	3.652283e-03	1.630094e-04	1.630094e-04
2.338777e+01	2.529113e+01	3.666727e-03	1.570653e-04	1.570653e-04
2.529113e+01	2.734939e+01	3.521431e-03	1.480168e-04	1.480168e-04
2.734939e+01	2.957515e+01	3.106837e-03	1.336970e-04	1.336970e-04
2.957515e+01	3.198206e+01	2.963455e-03	1.255656e-04	1.255656e-04
3.198206e+01	3.458484e+01	3.001203e-03	1.215152e-04	1.215152e-04
3.458484e+01	3.739945e+01	2.579692e-03	1.083369e-04	1.083369e-04
3.739945e+01	4.044311e+01	2.436046e-03	1.012386e-04	1.012386e-04
4.044311e+01	4.373448e+01	2.237145e-03	9.329541e-05	9.329541e-05
4.373448e+01	4.729371e+01	2.209100e-03	8.915200e-05	8.915200e-05
4.729371e+01	5.114260e+01	1.976305e-03	8.108878e-05	8.108878e-05
5.114260e+01	5.530472e+01	1.932182e-03	7.710245e-05	7.710245e-05
5.530472e+01	5.980556e+01	1.598990e-03	6.744933e-05	6.744933e-05
5.980556e+01	6.467270e+01	1.536534e-03	6.358221e-05	6.358221e-05
6.467270e+01	6.993594e+01	1.282214e-03	5.585411e-05	5.585411e-05
6.993594e+01	7.562751e+01	1.228467e-03	5.257355e-05	5.257355e-05
7.562751e+01	8.178228e+01	1.136015e-03	4.861693e-05	4.861693e-05
8.178228e+01	8.843794e+01	9.446988e-04	4.263366e-05	4.263366e-05
8.843794e+01	9.563525e+01	8.024341e-04	3.778515e-05	3.778515e-05
9.563525e+01	1.034183e+02	6.630683e-04	3.302978e-05	3.302978e-05
1.034183e+02	1.118348e+02	5.492610e-04	2.890847e-05	2.890847e-05
1.118348e+02	1.209362e+02	4.474268e-04	2.509045e-05	2.509045e-05
