# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=2.29360233607645340e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.697266e-02	1.973031e-03	1.973031e-03
5.000000e-01	6.000000e-01	3.990868e-02	3.025469e-03	3.025469e-03
6.000000e-01	7.000000e-01	6.972551e-02	3.999032e-03	3.999032e-03
7.000000e-01	8.000000e-01	7.339527e-02	4.102921e-03	4.102921e-03
8.000000e-01	9.000000e-01	6.078046e-02	3.733714e-03	3.733714e-03
9.000000e-01	1.000000e+00	6.697319e-02	3.919310e-03	3.919310e-03
1.000000e+00	1.100000e+00	5.963366e-02	3.698323e-03	3.698323e-03
1.100000e+00	1.200000e+00	5.114733e-02	3.425078e-03	3.425078e-03
1.200000e+00	1.300000e+00	5.114733e-02	3.425078e-03	3.425078e-03
1.300000e+00	1.400000e+00	4.678949e-02	3.275920e-03	3.275920e-03
1.400000e+00	1.500000e+00	4.862437e-02	3.339536e-03	3.339536e-03
1.500000e+00	1.600000e+00	5.137669e-02	3.432750e-03	3.432750e-03
1.600000e+00	1.700000e+00	4.908309e-02	3.355251e-03	3.355251e-03
1.700000e+00	1.800000e+00	4.357844e-02	3.161513e-03	3.161513e-03
1.800000e+00	1.900000e+00	3.922060e-02	2.999274e-03	2.999274e-03
1.900000e+00	2.000000e+00	4.518397e-02	3.219225e-03	3.219225e-03
2.000000e+00	2.100000e+00	4.426653e-02	3.186374e-03	3.186374e-03
2.100000e+00	2.200000e+00	4.656013e-02	3.267880e-03	3.267880e-03
2.200000e+00	2.300000e+00	4.908309e-02	3.355251e-03	3.355251e-03
2.300000e+00	2.400000e+00	4.885373e-02	3.347402e-03	3.347402e-03
2.400000e+00	2.500000e+00	5.045925e-02	3.401963e-03	3.401963e-03
2.500000e+00	2.600000e+00	5.940430e-02	3.691203e-03	3.691203e-03
2.600000e+00	2.700000e+00	6.032174e-02	3.719598e-03	3.719598e-03
2.700000e+00	2.800000e+00	6.490895e-02	3.858436e-03	3.858436e-03
2.800000e+00	2.900000e+00	6.353278e-02	3.817315e-03	3.817315e-03
2.900000e+00	3.000000e+00	6.972551e-02	3.999032e-03	3.999032e-03
3.000000e+00	3.100000e+00	7.224847e-02	4.070741e-03	4.070741e-03
3.100000e+00	3.200000e+00	6.628511e-02	3.899124e-03	3.899124e-03
3.200000e+00	3.300000e+00	4.747757e-02	3.299920e-03	3.299920e-03
3.300000e+00	3.400000e+00	3.211043e-02	2.713827e-03	2.713827e-03
3.400000e+00	3.500000e+00	2.454154e-02	2.372521e-03	2.372521e-03
3.500000e+00	3.600000e+00	2.155986e-02	2.223730e-03	2.223730e-03
3.600000e+00	3.700000e+00	1.582586e-02	1.905209e-03	1.905209e-03
3.700000e+00	3.800000e+00	1.559650e-02	1.891353e-03	1.891353e-03
3.800000e+00	3.900000e+00	9.403770e-03	1.468622e-03	1.468622e-03
3.900000e+00	4.000000e+00	9.633130e-03	1.486424e-03	1.486424e-03
4.000000e+00	4.100000e+00	9.174409e-03	1.450602e-03	1.450602e-03
4.100000e+00	4.200000e+00	4.128484e-03	9.730931e-04	9.730931e-04
4.200000e+00	4.300000e+00	5.504646e-03	1.123631e-03	1.123631e-03
4.300000e+00	4.400000e+00	5.734006e-03	1.146801e-03	1.146801e-03
4.400000e+00	4.500000e+00	4.357844e-03	9.997581e-04	9.997581e-04
4.500000e+00	4.600000e+00	4.128484e-03	9.730931e-04	9.730931e-04
4.600000e+00	4.700000e+00	3.440404e-03	8.883084e-04	8.883084e-04
4.700000e+00	4.800000e+00	1.605522e-03	6.068301e-04	6.068301e-04
4.800000e+00	4.900000e+00	1.605522e-03	6.068301e-04	6.068301e-04
4.900000e+00	5.000000e+00	2.293602e-04	2.293602e-04	2.293602e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.66005767844268218e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	5.444989e-04	3.006492e-05	3.006492e-05
5.000000e-01	6.000000e-01	9.761139e-04	4.025425e-05	4.025425e-05
6.000000e-01	7.000000e-01	8.947711e-04	3.854052e-05	3.854052e-05
7.000000e-01	8.000000e-01	7.968277e-04	3.637004e-05	3.637004e-05
8.000000e-01	9.000000e-01	7.071846e-04	3.426320e-05	3.426320e-05
9.000000e-01	1.000000e+00	5.561193e-04	3.038405e-05	3.038405e-05
1.000000e+00	1.100000e+00	5.345386e-04	2.978867e-05	2.978867e-05
1.100000e+00	1.200000e+00	5.461590e-04	3.011072e-05	3.011072e-05
1.200000e+00	1.300000e+00	4.847368e-04	2.836708e-05	2.836708e-05
1.300000e+00	1.400000e+00	4.515357e-04	2.737837e-05	2.737837e-05
1.400000e+00	1.500000e+00	4.266348e-04	2.661275e-05	2.661275e-05
1.500000e+00	1.600000e+00	4.249748e-04	2.656092e-05	2.656092e-05
1.600000e+00	1.700000e+00	4.365952e-04	2.692161e-05	2.692161e-05
1.700000e+00	1.800000e+00	4.083742e-04	2.603699e-05	2.603699e-05
1.800000e+00	1.900000e+00	4.033940e-04	2.587774e-05	2.587774e-05
1.900000e+00	2.000000e+00	4.399153e-04	2.702378e-05	2.702378e-05
2.000000e+00	2.100000e+00	4.199946e-04	2.640483e-05	2.640483e-05
2.100000e+00	2.200000e+00	4.814167e-04	2.826976e-05	2.826976e-05
2.200000e+00	2.300000e+00	4.515357e-04	2.737837e-05	2.737837e-05
2.300000e+00	2.400000e+00	4.880570e-04	2.846406e-05	2.846406e-05
2.400000e+00	2.500000e+00	5.079776e-04	2.903915e-05	2.903915e-05
2.500000e+00	2.600000e+00	5.610995e-04	3.051979e-05	3.051979e-05
2.600000e+00	2.700000e+00	6.192015e-04	3.206104e-05	3.206104e-05
2.700000e+00	2.800000e+00	5.860004e-04	3.118965e-05	3.118965e-05
2.800000e+00	2.900000e+00	6.839438e-04	3.369549e-05	3.369549e-05
2.900000e+00	3.000000e+00	7.188050e-04	3.454357e-05	3.454357e-05
3.000000e+00	3.100000e+00	8.283688e-04	3.708288e-05	3.708288e-05
3.100000e+00	3.200000e+00	7.188050e-04	3.454357e-05	3.454357e-05
3.200000e+00	3.300000e+00	4.598360e-04	2.762887e-05	2.762887e-05
3.300000e+00	3.400000e+00	3.751730e-04	2.495614e-05	2.495614e-05
3.400000e+00	3.500000e+00	2.722495e-04	2.125911e-05	2.125911e-05
3.500000e+00	3.600000e+00	2.191276e-04	1.907261e-05	1.907261e-05
3.600000e+00	3.700000e+00	1.875865e-04	1.764665e-05	1.764665e-05
3.700000e+00	3.800000e+00	1.693259e-04	1.676576e-05	1.676576e-05
3.800000e+00	3.900000e+00	1.095638e-04	1.348637e-05	1.348637e-05
3.900000e+00	4.000000e+00	1.245043e-04	1.437652e-05	1.437652e-05
4.000000e+00	4.100000e+00	9.628335e-05	1.264262e-05	1.264262e-05
4.100000e+00	4.200000e+00	6.142213e-05	1.009774e-05	1.009774e-05
4.200000e+00	4.300000e+00	4.814167e-05	8.939684e-06	8.939684e-06
4.300000e+00	4.400000e+00	5.146179e-05	9.242810e-06	9.242810e-06
4.400000e+00	4.500000e+00	3.818133e-05	7.961357e-06	7.961357e-06
4.500000e+00	4.600000e+00	3.154110e-05	7.236024e-06	7.236024e-06
4.600000e+00	4.700000e+00	2.490087e-05	6.429376e-06	6.429376e-06
4.700000e+00	4.800000e+00	1.660058e-05	5.249563e-06	5.249563e-06
4.800000e+00	4.900000e+00	9.960346e-06	4.066294e-06	4.066294e-06
4.900000e+00	5.000000e+00	6.640231e-06	3.320116e-06	3.320116e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=3.33781000984868848e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.054748e-04	5.933421e-06	5.933421e-06
5.000000e-01	6.000000e-01	1.905890e-04	7.975899e-06	7.975899e-06
6.000000e-01	7.000000e-01	1.902552e-04	7.968912e-06	7.968912e-06
7.000000e-01	8.000000e-01	1.408556e-04	6.856743e-06	6.856743e-06
8.000000e-01	9.000000e-01	1.181585e-04	6.280052e-06	6.280052e-06
9.000000e-01	1.000000e+00	1.131518e-04	6.145560e-06	6.145560e-06
1.000000e+00	1.100000e+00	1.018032e-04	5.829235e-06	5.829235e-06
1.100000e+00	1.200000e+00	8.811818e-05	5.423300e-06	5.423300e-06
1.200000e+00	1.300000e+00	9.779783e-05	5.713411e-06	5.713411e-06
1.300000e+00	1.400000e+00	8.778440e-05	5.413019e-06	5.413019e-06
1.400000e+00	1.500000e+00	8.177635e-05	5.224499e-06	5.224499e-06
1.500000e+00	1.600000e+00	8.411281e-05	5.298609e-06	5.298609e-06
1.600000e+00	1.700000e+00	8.911953e-05	5.454027e-06	5.454027e-06
1.700000e+00	1.800000e+00	8.711684e-05	5.392397e-06	5.392397e-06
1.800000e+00	1.900000e+00	8.344525e-05	5.277541e-06	5.277541e-06
