# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=2.29360233607645340e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	9.977170e-02	4.783687e-03	4.783687e-03
1.000000e-01	2.000000e-01	1.112397e-01	5.051136e-03	5.051136e-03
2.000000e-01	3.000000e-01	1.071112e-01	4.956517e-03	4.956517e-03
3.000000e-01	4.000000e-01	1.103223e-01	5.030262e-03	5.030262e-03
4.000000e-01	5.000000e-01	1.087168e-01	4.993526e-03	4.993526e-03
5.000000e-01	6.000000e-01	1.077993e-01	4.972411e-03	4.972411e-03
6.000000e-01	7.000000e-01	1.018359e-01	4.832920e-03	4.832920e-03
7.000000e-01	8.000000e-01	1.057351e-01	4.924573e-03	4.924573e-03
8.000000e-01	9.000000e-01	7.958800e-02	4.272507e-03	4.272507e-03
9.000000e-01	1.000000e+00	7.591824e-02	4.172843e-03	4.172843e-03
1.000000e+00	1.100000e+00	6.422087e-02	3.837930e-03	3.837930e-03
1.100000e+00	1.200000e+00	6.284470e-02	3.796588e-03	3.796588e-03
1.200000e+00	1.300000e+00	6.376214e-02	3.824199e-03	3.824199e-03
1.300000e+00	1.400000e+00	5.321157e-02	3.493511e-03	3.493511e-03
1.400000e+00	1.500000e+00	4.678949e-02	3.275920e-03	3.275920e-03
1.500000e+00	1.600000e+00	3.967932e-02	3.016763e-03	3.016763e-03
1.600000e+00	1.700000e+00	3.853252e-02	2.972848e-03	2.972848e-03
1.700000e+00	1.800000e+00	3.188107e-02	2.704117e-03	2.704117e-03
1.800000e+00	1.900000e+00	2.889939e-02	2.574562e-03	2.574562e-03
1.900000e+00	2.000000e+00	3.165171e-02	2.694373e-03	2.694373e-03
2.000000e+00	2.100000e+00	2.729387e-02	2.502025e-03	2.502025e-03
2.100000e+00	2.200000e+00	2.408282e-02	2.350243e-03	2.350243e-03
2.200000e+00	2.300000e+00	2.431218e-02	2.361408e-03	2.361408e-03
2.300000e+00	2.400000e+00	2.293602e-02	2.293602e-03	2.293602e-03
2.400000e+00	2.500000e+00	1.422033e-02	1.805984e-03	1.805984e-03
2.500000e+00	2.600000e+00	1.766074e-02	2.012628e-03	2.012628e-03
2.600000e+00	2.700000e+00	1.674330e-02	1.959655e-03	1.959655e-03
2.700000e+00	2.800000e+00	1.238545e-02	1.685447e-03	1.685447e-03
2.800000e+00	2.900000e+00	1.376161e-02	1.776617e-03	1.776617e-03
2.900000e+00	3.000000e+00	1.032121e-02	1.538595e-03	1.538595e-03
3.000000e+00	3.100000e+00	1.284417e-02	1.716375e-03	1.716375e-03
3.100000e+00	3.200000e+00	9.633130e-03	1.486424e-03	1.486424e-03
3.200000e+00	3.300000e+00	8.486329e-03	1.395144e-03	1.395144e-03
3.300000e+00	3.400000e+00	5.734006e-03	1.146801e-03	1.146801e-03
3.400000e+00	3.500000e+00	4.816565e-03	1.051060e-03	1.051060e-03
3.500000e+00	3.600000e+00	5.734006e-03	1.146801e-03	1.146801e-03
3.600000e+00	3.700000e+00	5.504646e-03	1.123631e-03	1.123631e-03
3.700000e+00	3.800000e+00	4.128484e-03	9.730931e-04	9.730931e-04
3.800000e+00	3.900000e+00	5.734006e-03	1.146801e-03	1.146801e-03
3.900000e+00	4.000000e+00	2.064242e-03	6.880807e-04	6.880807e-04
4.000000e+00	4.100000e+00	3.211043e-03	8.581874e-04	8.581874e-04
4.100000e+00	4.200000e+00	1.834882e-03	6.487287e-04	6.487287e-04
4.200000e+00	4.300000e+00	1.376161e-03	5.618155e-04	5.618155e-04
4.300000e+00	4.400000e+00	1.605522e-03	6.068301e-04	6.068301e-04
4.400000e+00	4.500000e+00	2.293602e-04	2.293602e-04	2.293602e-04
4.500000e+00	4.600000e+00	9.174409e-04	4.587205e-04	4.587205e-04
4.600000e+00	4.700000e+00	2.293602e-04	2.293602e-04	2.293602e-04
4.700000e+00	4.800000e+00	6.880807e-04	3.972636e-04	3.972636e-04
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=1.66005767844268218e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.172001e-03	4.410883e-05	4.410883e-05
1.000000e-01	2.000000e-01	1.190261e-03	4.445113e-05	4.445113e-05
2.000000e-01	3.000000e-01	1.162040e-03	4.392100e-05	4.392100e-05
3.000000e-01	4.000000e-01	1.210182e-03	4.482156e-05	4.482156e-05
4.000000e-01	5.000000e-01	1.296505e-03	4.639260e-05	4.639260e-05
5.000000e-01	6.000000e-01	1.296505e-03	4.639260e-05	4.639260e-05
6.000000e-01	7.000000e-01	1.108919e-03	4.290535e-05	4.290535e-05
7.000000e-01	8.000000e-01	9.429128e-04	3.956375e-05	3.956375e-05
8.000000e-01	9.000000e-01	8.350090e-04	3.723121e-05	3.723121e-05
9.000000e-01	1.000000e+00	7.785671e-04	3.595088e-05	3.595088e-05
1.000000e+00	1.100000e+00	6.756435e-04	3.349040e-05	3.349040e-05
1.100000e+00	1.200000e+00	5.876604e-04	3.123380e-05	3.123380e-05
1.200000e+00	1.300000e+00	6.308219e-04	3.236049e-05	3.236049e-05
1.300000e+00	1.400000e+00	5.278983e-04	2.960307e-05	2.960307e-05
1.400000e+00	1.500000e+00	4.614960e-04	2.767869e-05	2.767869e-05
1.500000e+00	1.600000e+00	4.764366e-04	2.812316e-05	2.812316e-05
1.600000e+00	1.700000e+00	3.884535e-04	2.539400e-05	2.539400e-05
1.700000e+00	1.800000e+00	3.701929e-04	2.478995e-05	2.478995e-05
1.800000e+00	1.900000e+00	3.668727e-04	2.467853e-05	2.467853e-05
1.900000e+00	2.000000e+00	3.004704e-04	2.233379e-05	2.233379e-05
2.000000e+00	2.100000e+00	2.739095e-04	2.132383e-05	2.132383e-05
2.100000e+00	2.200000e+00	2.788897e-04	2.151681e-05	2.151681e-05
2.200000e+00	2.300000e+00	2.141474e-04	1.885463e-05	1.885463e-05
2.300000e+00	2.400000e+00	2.075072e-04	1.856001e-05	1.856001e-05
2.400000e+00	2.500000e+00	2.124874e-04	1.878141e-05	1.878141e-05
2.500000e+00	2.600000e+00	2.008670e-04	1.826064e-05	1.826064e-05
2.600000e+00	2.700000e+00	2.008670e-04	1.826064e-05	1.826064e-05
2.700000e+00	2.800000e+00	1.494052e-04	1.574869e-05	1.574869e-05
2.800000e+00	2.900000e+00	1.494052e-04	1.574869e-05	1.574869e-05
2.900000e+00	3.000000e+00	1.195242e-04	1.408606e-05	1.408606e-05
3.000000e+00	3.100000e+00	9.794340e-05	1.275115e-05	1.275115e-05
3.100000e+00	3.200000e+00	7.968277e-05	1.150122e-05	1.150122e-05
3.200000e+00	3.300000e+00	6.972242e-05	1.075840e-05	1.075840e-05
3.300000e+00	3.400000e+00	5.312185e-05	9.390704e-06	9.390704e-06
3.400000e+00	3.500000e+00	4.482156e-05	8.625913e-06	8.625913e-06
3.500000e+00	3.600000e+00	4.316150e-05	8.464667e-06	8.464667e-06
3.600000e+00	3.700000e+00	6.640231e-05	1.049913e-05	1.049913e-05
