# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=2.29360233607645340e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	4.270947e-02	3.948492e-03	3.948492e-03
6.283185e-02	1.256637e-01	4.964519e-02	4.257040e-03	4.257040e-03
1.256637e-01	1.884956e-01	4.708989e-02	4.146033e-03	4.146033e-03
1.884956e-01	2.513274e-01	4.453469e-02	4.031981e-03	4.031981e-03
2.513274e-01	3.141593e-01	5.366056e-02	4.425849e-03	4.425849e-03
3.141593e-01	3.769911e-01	5.913623e-02	4.646181e-03	4.646181e-03
3.769911e-01	4.398230e-01	5.840606e-02	4.617405e-03	4.617405e-03
4.398230e-01	5.026548e-01	6.607196e-02	4.911090e-03	4.911090e-03
5.026548e-01	5.654867e-01	6.607185e-02	4.911082e-03	4.911082e-03
5.654867e-01	6.283185e-01	8.030846e-02	5.414396e-03	5.414396e-03
6.283185e-01	6.911504e-01	7.337262e-02	5.175305e-03	5.175305e-03
6.911504e-01	7.539822e-01	6.388173e-02	4.829005e-03	4.829005e-03
7.539822e-01	8.168141e-01	5.658088e-02	4.544685e-03	4.544685e-03
8.168141e-01	8.796459e-01	5.950127e-02	4.660499e-03	4.660499e-03
8.796459e-01	9.424778e-01	6.205644e-02	4.759512e-03	4.759512e-03
9.424778e-01	1.005310e+00	6.278621e-02	4.787404e-03	4.787404e-03
1.005310e+00	1.068142e+00	6.388153e-02	4.828989e-03	4.828989e-03
1.068142e+00	1.130973e+00	5.147107e-02	4.334647e-03	4.334647e-03
1.130973e+00	1.193805e+00	4.453455e-02	4.031969e-03	4.031969e-03
1.193805e+00	1.256637e+00	5.877101e-02	4.631804e-03	4.631804e-03
1.256637e+00	1.319469e+00	4.270937e-02	3.948482e-03	3.948482e-03
1.319469e+00	1.382301e+00	4.416952e-02	4.015410e-03	4.015410e-03
1.382301e+00	1.445133e+00	4.854996e-02	4.209816e-03	4.209816e-03
1.445133e+00	1.507964e+00	4.672552e-02	4.129991e-03	4.129991e-03
1.507964e+00	1.570796e+00	5.439055e-02	4.455848e-03	4.455848e-03
1.570796e+00	1.633628e+00	4.234433e-02	3.931572e-03	3.931572e-03
1.633628e+00	1.696460e+00	4.234433e-02	3.931572e-03	3.931572e-03
1.696460e+00	1.759292e+00	4.489959e-02	4.048459e-03	4.048459e-03
1.759292e+00	1.822124e+00	4.307440e-02	3.965320e-03	3.965320e-03
1.822124e+00	1.884956e+00	3.212328e-02	3.424353e-03	3.424353e-03
1.884956e+00	1.947787e+00	4.380518e-02	3.998847e-03	3.998847e-03
1.947787e+00	2.010619e+00	4.635974e-02	4.113761e-03	4.113761e-03
2.010619e+00	2.073451e+00	4.526463e-02	4.064883e-03	4.064883e-03
2.073451e+00	2.136283e+00	4.453455e-02	4.031969e-03	4.031969e-03
2.136283e+00	2.199115e+00	4.088418e-02	3.863192e-03	3.863192e-03
2.199115e+00	2.261947e+00	5.366048e-02	4.425842e-03	4.425842e-03
2.261947e+00	2.324779e+00	5.147025e-02	4.334578e-03	4.334578e-03
2.324779e+00	2.387610e+00	5.329629e-02	4.410833e-03	4.410833e-03
2.387610e+00	2.450442e+00	4.964507e-02	4.257030e-03	4.257030e-03
2.450442e+00	2.513274e+00	6.059619e-02	4.703176e-03	4.703176e-03
2.513274e+00	2.576106e+00	4.964507e-02	4.257030e-03	4.257030e-03
2.576106e+00	2.638938e+00	5.950108e-02	4.660484e-03	4.660484e-03
2.638938e+00	2.701770e+00	6.205634e-02	4.759504e-03	4.759504e-03
2.701770e+00	2.764602e+00	5.913605e-02	4.646166e-03	4.646166e-03
2.764602e+00	2.827433e+00	6.461263e-02	4.856583e-03	4.856583e-03
2.827433e+00	2.890265e+00	7.191235e-02	5.123544e-03	5.123544e-03
2.890265e+00	2.953097e+00	6.497664e-02	4.870205e-03	4.870205e-03
2.953097e+00	3.015929e+00	7.081724e-02	5.084382e-03	5.084382e-03
3.015929e+00	3.078761e+00	7.300746e-02	5.162406e-03	5.162406e-03
3.078761e+00	3.141593e+00	7.921309e-02	5.377336e-03	5.377336e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=1.66005767844268218e-07
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	6.895788e-04	4.268385e-05	4.268385e-05
6.283185e-02	1.256637e-01	5.574755e-04	3.837820e-05	3.837820e-05
1.256637e-01	1.884956e-01	6.631576e-04	4.185813e-05	4.185813e-05
1.884956e-01	2.513274e-01	5.812546e-04	3.918817e-05	3.918817e-05
2.513274e-01	3.141593e-01	7.318512e-04	4.397267e-05	4.397267e-05
3.141593e-01	3.769911e-01	7.952620e-04	4.583813e-05	4.583813e-05
3.769911e-01	4.398230e-01	8.745225e-04	4.806810e-05	4.806810e-05
4.398230e-01	5.026548e-01	9.273651e-04	4.949909e-05	4.949909e-05
5.026548e-01	5.654867e-01	9.643527e-04	5.047652e-05	5.047652e-05
5.654867e-01	6.283185e-01	9.167969e-04	4.921624e-05	4.921624e-05
6.283185e-01	6.911504e-01	7.265671e-04	4.381364e-05	4.381364e-05
6.911504e-01	7.539822e-01	7.661991e-04	4.499276e-05	4.499276e-05
7.539822e-01	8.168141e-01	6.261687e-04	4.067403e-05	4.067403e-05
8.168141e-01	8.796459e-01	5.654021e-04	3.865010e-05	3.865010e-05
8.796459e-01	9.424778e-01	5.204862e-04	3.708310e-05	3.708310e-05
9.424778e-01	1.005310e+00	5.284098e-04	3.736422e-05	3.736422e-05
1.005310e+00	1.068142e+00	4.517919e-04	3.454939e-05	3.454939e-05
1.068142e+00	1.130973e+00	5.416304e-04	3.782911e-05	3.782911e-05
1.130973e+00	1.193805e+00	4.993489e-04	3.632229e-05	3.632229e-05
1.193805e+00	1.256637e+00	4.517919e-04	3.454939e-05	3.454939e-05
1.256637e+00	1.319469e+00	3.936666e-04	3.225042e-05	3.225042e-05
1.319469e+00	1.382301e+00	4.465077e-04	3.434675e-05	3.434675e-05
1.382301e+00	1.445133e+00	4.729283e-04	3.534832e-05	3.534832e-05
1.445133e+00	1.507964e+00	4.095254e-04	3.289388e-05	3.289388e-05
1.507964e+00	1.570796e+00	4.491498e-04	3.444822e-05	3.444822e-05
1.570796e+00	1.633628e+00	4.068769e-04	3.278707e-05	3.278707e-05
1.633628e+00	1.696460e+00	3.487516e-04	3.035493e-05	3.035493e-05
1.696460e+00	1.759292e+00	3.698881e-04	3.126125e-05	3.126125e-05
1.759292e+00	1.822124e+00	4.332975e-04	3.383485e-05	3.383485e-05
1.822124e+00	1.884956e+00	3.857404e-04	3.192411e-05	3.192411e-05
1.884956e+00	1.947787e+00	4.253781e-04	3.352449e-05	3.352449e-05
1.947787e+00	2.010619e+00	3.936666e-04	3.225042e-05	3.225042e-05
2.010619e+00	2.073451e+00	4.148031e-04	3.310489e-05	3.310489e-05
2.073451e+00	2.136283e+00	4.438657e-04	3.424498e-05	3.424498e-05
2.136283e+00	2.199115e+00	4.385816e-04	3.404053e-05	3.404053e-05
2.199115e+00	2.261947e+00	5.416218e-04	3.782851e-05	3.782851e-05
2.261947e+00	2.324779e+00	4.914227e-04	3.603286e-05	3.603286e-05
2.324779e+00	2.387610e+00	4.808622e-04	3.564388e-05	3.564388e-05
2.387610e+00	2.450442e+00	5.336957e-04	3.755070e-05	3.755070e-05
2.450442e+00	2.513274e+00	5.204854e-04	3.708305e-05	3.708305e-05
2.513274e+00	2.576106e+00	5.310536e-04	3.745763e-05	3.745763e-05
2.576106e+00	2.638938e+00	5.838947e-04	3.927701e-05	3.927701e-05
2.638938e+00	2.701770e+00	5.786106e-04	3.909888e-05	3.909888e-05
2.701770e+00	2.764602e+00	6.393780e-04	4.110077e-05	4.110077e-05
2.764602e+00	2.827433e+00	7.001565e-04	4.301027e-05	4.301027e-05
2.827433e+00	2.890265e+00	7.344920e-04	4.405190e-05	4.405190e-05
2.890265e+00	2.953097e+00	7.714808e-04	4.514750e-05	4.514750e-05
2.953097e+00	3.015929e+00	7.926173e-04	4.576178e-05	4.576178e-05
3.015929e+00	3.078761e+00	8.903734e-04	4.850173e-05	4.850173e-05
