# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=2.29360233607645340e-05
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.446050e-03	8.816725e-05	8.816725e-05
5.426665e+01	5.889739e+01	1.698877e-03	9.173072e-05	9.173072e-05
5.889739e+01	6.392328e+01	1.903011e-03	9.319083e-05	9.319083e-05
6.392328e+01	6.937805e+01	2.110791e-03	9.420925e-05	9.420925e-05
6.937805e+01	7.529829e+01	1.894470e-03	8.567088e-05	8.567088e-05
7.529829e+01	8.172373e+01	1.317169e-03	6.856910e-05	6.856910e-05
8.172373e+01	8.869746e+01	9.439194e-04	5.571781e-05	5.571781e-05
8.869746e+01	9.626628e+01	9.333417e-04	5.318207e-05	5.318207e-05
9.626628e+01	1.044810e+02	8.459954e-04	4.860116e-05	4.860116e-05
1.044810e+02	1.133967e+02	6.868690e-04	4.203570e-05	4.203570e-05
1.133967e+02	1.230731e+02	5.996873e-04	3.770202e-05	3.770202e-05
1.230731e+02	1.335753e+02	6.114992e-04	3.654406e-05	3.654406e-05
1.335753e+02	1.449737e+02	5.473223e-04	3.318628e-05	3.318628e-05
1.449737e+02	1.573448e+02	5.747401e-04	3.264305e-05	3.264305e-05
1.573448e+02	1.707715e+02	4.390176e-04	2.738517e-05	2.738517e-05
1.707715e+02	1.853439e+02	3.714489e-04	2.417926e-05	2.417926e-05
1.853439e+02	2.011599e+02	3.306407e-04	2.189721e-05	2.189721e-05
2.011599e+02	2.183255e+02	2.685686e-04	1.894337e-05	1.894337e-05
2.183255e+02	2.369559e+02	2.314482e-04	1.688009e-05	1.688009e-05
2.369559e+02	2.571760e+02	1.690134e-04	1.384612e-05	1.384612e-05
2.571760e+02	2.791217e+02	1.431823e-04	1.223289e-05	1.223289e-05
2.791217e+02	3.029400e+02	1.213327e-04	1.080918e-05	1.080918e-05
3.029400e+02	3.287907e+02	1.082445e-04	9.799992e-06	9.799992e-06
3.287907e+02	3.568475e+02	7.684362e-05	7.925815e-06	7.925815e-06
3.568475e+02	3.872983e+02	5.121869e-05	6.211177e-06	6.211177e-06
3.872983e+02	4.203477e+02	4.094552e-05	5.330655e-06	5.330655e-06
4.203477e+02	4.562172e+02	3.197148e-05	4.521451e-06	4.521451e-06
4.562172e+02	4.951476e+02	3.004688e-05	4.207405e-06	4.207405e-06
4.951476e+02	5.374001e+02	1.954196e-05	3.256994e-06	3.256994e-06
5.374001e+02	5.832581e+02	1.500459e-05	2.739452e-06	2.739452e-06
5.832581e+02	6.330293e+02	1.382488e-05	2.524066e-06	2.524066e-06
