# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\eta$ distribution
XLabel=$\eta^\mathrm{jet}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^\mathrm{jet}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=6.55862147493073246e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.613421e-02	1.028680e-03	1.028680e-03
-2.400000e+00	-2.300000e+00	1.823297e-02	1.093541e-03	1.093541e-03
-2.300000e+00	-2.200000e+00	1.961028e-02	1.134092e-03	1.134092e-03
-2.200000e+00	-2.100000e+00	2.282400e-02	1.223495e-03	1.223495e-03
-2.100000e+00	-2.000000e+00	2.269283e-02	1.219974e-03	1.219974e-03
-2.000000e+00	-1.900000e+00	2.551304e-02	1.293563e-03	1.293563e-03
-1.900000e+00	-1.800000e+00	2.813649e-02	1.358442e-03	1.358442e-03
-1.800000e+00	-1.700000e+00	2.780856e-02	1.350503e-03	1.350503e-03
-1.700000e+00	-1.600000e+00	3.089111e-02	1.423387e-03	1.423387e-03
-1.600000e+00	-1.500000e+00	3.377690e-02	1.488388e-03	1.488388e-03
-1.500000e+00	-1.400000e+00	3.410483e-02	1.495596e-03	1.495596e-03
-1.400000e+00	-1.300000e+00	3.436718e-02	1.501337e-03	1.501337e-03
-1.300000e+00	-1.200000e+00	3.502304e-02	1.515595e-03	1.515595e-03
-1.200000e+00	-1.100000e+00	3.764649e-02	1.571334e-03	1.571334e-03
-1.100000e+00	-1.000000e+00	4.256545e-02	1.670840e-03	1.670840e-03
-1.000000e+00	-9.000000e-01	4.151607e-02	1.650116e-03	1.650116e-03
-9.000000e-01	-8.000000e-01	3.908938e-02	1.601164e-03	1.601164e-03
-8.000000e-01	-7.000000e-01	4.282780e-02	1.675981e-03	1.675981e-03
-7.000000e-01	-6.000000e-01	4.230311e-02	1.665683e-03	1.665683e-03
-6.000000e-01	-5.000000e-01	4.217194e-02	1.663099e-03	1.663099e-03
-5.000000e-01	-4.000000e-01	4.551683e-02	1.727795e-03	1.727795e-03
-4.000000e-01	-3.000000e-01	4.400835e-02	1.698923e-03	1.698923e-03
-3.000000e-01	-2.000000e-01	4.604152e-02	1.737725e-03	1.737725e-03
-2.000000e-01	-1.000000e-01	4.236869e-02	1.666974e-03	1.666974e-03
