# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet multiplicity ($p_\mathrm{T} > 25$ GeV)
XLabel=$N_\mathrm{jets}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}N_\mathrm{jets}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=8.64000000000000029e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	5.542560e-02	6.920095e-04	6.920095e-04
5.000000e-01	1.500000e+00	5.228064e-02	6.720898e-04	6.720898e-04
1.500000e+00	2.500000e+00	3.609792e-02	5.584675e-04	5.584675e-04
2.500000e+00	3.500000e+00	1.789344e-02	3.931912e-04	3.931912e-04
3.500000e+00	4.500000e+00	7.577280e-03	2.558666e-04	2.558666e-04
4.500000e+00	5.500000e+00	2.376000e-03	1.432782e-04	1.432782e-04
5.500000e+00	6.500000e+00	8.553600e-04	8.596691e-05	8.596691e-05
6.500000e+00	7.500000e+00	2.160000e-04	4.320000e-05	4.320000e-05
7.500000e+00	8.500000e+00	5.184000e-05	2.116359e-05	2.116359e-05
8.500000e+00	9.500000e+00	2.592000e-05	1.496492e-05	1.496492e-05
9.500000e+00	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.250000e+01	1.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=9.21000000000000108e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.997140e-04	6.067426e-06	6.067426e-06
5.000000e-01	1.500000e+00	4.203444e-04	6.222035e-06	6.222035e-06
1.500000e+00	2.500000e+00	4.078188e-04	6.128630e-06	6.128630e-06
2.500000e+00	3.500000e+00	2.959173e-04	5.220534e-06	5.220534e-06
3.500000e+00	4.500000e+00	1.677141e-04	3.930200e-06	3.930200e-06
4.500000e+00	5.500000e+00	8.915280e-05	2.865480e-06	2.865480e-06
5.500000e+00	6.500000e+00	3.886620e-05	1.891977e-06	1.891977e-06
6.500000e+00	7.500000e+00	1.445970e-05	1.154010e-06	1.154010e-06
7.500000e+00	8.500000e+00	5.157600e-06	6.892133e-07	6.892133e-07
8.500000e+00	9.500000e+00	2.026200e-06	4.319873e-07	4.319873e-07
9.500000e+00	1.050000e+01	4.605000e-07	2.059419e-07	2.059419e-07
1.050000e+01	1.150000e+01	2.763000e-07	1.595219e-07	1.595219e-07
1.150000e+01	1.250000e+01	9.210000e-08	9.210000e-08	9.210000e-08
1.250000e+01	1.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_mult
ScaledBy=1.86400000000000002e-08
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	8.473744e-05	1.256784e-06	1.256784e-06
5.000000e-01	1.500000e+00	7.987240e-05	1.220173e-06	1.220173e-06
1.500000e+00	2.500000e+00	7.526832e-05	1.184483e-06	1.184483e-06
2.500000e+00	3.500000e+00	5.674016e-05	1.028415e-06	1.028415e-06
3.500000e+00	4.500000e+00	3.834248e-05	8.454016e-07	8.454016e-07
4.500000e+00	5.500000e+00	2.100728e-05	6.257601e-07	6.257601e-07
5.500000e+00	6.500000e+00	1.000968e-05	4.319495e-07	4.319495e-07
6.500000e+00	7.500000e+00	4.100800e-06	2.764759e-07	2.764759e-07
7.500000e+00	8.500000e+00	1.714880e-06	1.787886e-07	1.787886e-07
8.500000e+00	9.500000e+00	6.337600e-07	1.086890e-07	1.086890e-07
9.500000e+00	1.050000e+01	2.236800e-07	6.457085e-08	6.457085e-08
1.050000e+01	1.150000e+01	9.320000e-08	4.168031e-08	4.168031e-08
1.150000e+01	1.250000e+01	5.592000e-08	3.228543e-08	3.228543e-08
1.250000e+01	1.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

