# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\phi$ distribution
XLabel=$\phi^\mathrm{jet}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{jet}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=6.55862147493073246e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	2.844456e-02	1.218431e-03	1.218431e-03
1.256637e-01	2.513274e-01	2.771387e-02	1.202680e-03	1.202680e-03
2.513274e-01	3.769911e-01	2.792264e-02	1.207201e-03	1.207201e-03
3.769911e-01	5.026548e-01	2.708758e-02	1.189012e-03	1.189012e-03
5.026548e-01	6.283185e-01	2.776607e-02	1.203812e-03	1.203812e-03
6.283185e-01	7.539822e-01	2.807921e-02	1.210581e-03	1.210581e-03
7.539822e-01	8.796459e-01	2.766168e-02	1.201547e-03	1.201547e-03
8.796459e-01	1.005310e+00	2.708749e-02	1.189009e-03	1.189009e-03
1.005310e+00	1.130973e+00	2.860130e-02	1.221787e-03	1.221787e-03
1.130973e+00	1.256637e+00	2.672216e-02	1.180964e-03	1.180964e-03
1.256637e+00	1.382301e+00	2.593929e-02	1.163536e-03	1.163536e-03
1.382301e+00	1.507964e+00	2.562634e-02	1.156501e-03	1.156501e-03
1.507964e+00	1.633628e+00	2.698312e-02	1.186716e-03	1.186716e-03
1.633628e+00	1.759292e+00	2.703532e-02	1.187864e-03	1.187864e-03
1.759292e+00	1.884956e+00	2.880983e-02	1.226228e-03	1.226228e-03
1.884956e+00	2.010619e+00	2.687895e-02	1.184428e-03	1.184428e-03
2.010619e+00	2.136283e+00	2.880983e-02	1.226228e-03	1.226228e-03
2.136283e+00	2.261947e+00	2.750505e-02	1.198139e-03	1.198139e-03
2.261947e+00	2.387610e+00	2.865349e-02	1.222901e-03	1.222901e-03
2.387610e+00	2.513274e+00	2.745285e-02	1.197001e-03	1.197001e-03
2.513274e+00	2.638938e+00	2.787038e-02	1.206070e-03	1.206070e-03
2.638938e+00	2.764602e+00	2.755723e-02	1.199275e-03	1.199275e-03
2.764602e+00	2.890265e+00	2.661799e-02	1.178664e-03	1.178664e-03
2.890265e+00	3.015929e+00	2.964490e-02	1.243872e-03	1.243872e-03
3.015929e+00	3.141593e+00	2.938394e-02	1.238386e-03	1.238386e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=4.65680697762609053e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
