# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\mathrm{T}^\mathrm{miss}$ [pb/GeV]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met
ScaledBy=8.64000000000000029e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.451520e-03	5.008220e-05	5.008220e-05
5.000000e+00	1.000000e+01	2.490048e-03	6.559576e-05	6.559576e-05
1.000000e+01	1.500000e+01	2.325888e-03	6.339666e-05	6.339666e-05
1.500000e+01	2.000000e+01	2.002752e-03	5.882819e-05	5.882819e-05
2.000000e+01	2.500000e+01	1.824768e-03	5.615335e-05	5.615335e-05
2.500000e+01	3.000000e+01	1.693440e-03	5.409496e-05	5.409496e-05
3.000000e+01	3.500000e+01	1.551744e-03	5.178237e-05	5.178237e-05
3.500000e+01	4.000000e+01	1.397952e-03	4.914938e-05	4.914938e-05
4.000000e+01	4.500000e+01	1.308096e-03	4.754356e-05	4.754356e-05
4.500000e+01	5.000000e+01	1.266624e-03	4.678383e-05	4.678383e-05
5.000000e+01	5.500000e+01	1.252800e-03	4.652782e-05	4.652782e-05
5.500000e+01	6.000000e+01	1.033344e-03	4.225658e-05	4.225658e-05
6.000000e+01	6.500000e+01	1.019520e-03	4.197297e-05	4.197297e-05
6.500000e+01	7.000000e+01	9.244800e-04	3.996876e-05	3.996876e-05
7.000000e+01	7.500000e+01	9.331200e-04	4.015509e-05	4.015509e-05
7.500000e+01	8.000000e+01	8.951040e-04	3.932861e-05	3.932861e-05
8.000000e+01	8.500000e+01	7.620480e-04	3.628800e-05	3.628800e-05
8.500000e+01	9.000000e+01	7.102080e-04	3.503198e-05	3.503198e-05
9.000000e+01	9.500000e+01	5.788800e-04	3.162760e-05	3.162760e-05
9.500000e+01	1.000000e+02	6.583680e-04	3.372922e-05	3.372922e-05
1.000000e+02	1.050000e+02	5.512320e-04	3.086307e-05	3.086307e-05
1.050000e+02	1.100000e+02	5.840640e-04	3.176889e-05	3.176889e-05
1.100000e+02	1.150000e+02	5.322240e-04	3.032628e-05	3.032628e-05
1.150000e+02	1.200000e+02	4.872960e-04	2.901806e-05	2.901806e-05
1.200000e+02	1.250000e+02	4.631040e-04	2.828858e-05	2.828858e-05
1.250000e+02	1.300000e+02	4.320000e-04	2.732208e-05	2.732208e-05
1.300000e+02	1.350000e+02	4.250880e-04	2.710262e-05	2.710262e-05
1.350000e+02	1.400000e+02	3.767040e-04	2.551361e-05	2.551361e-05
1.400000e+02	1.450000e+02	3.404160e-04	2.425363e-05	2.425363e-05
1.450000e+02	1.500000e+02	3.628800e-04	2.504110e-05	2.504110e-05
1.500000e+02	1.550000e+02	3.456000e-04	2.443761e-05	2.443761e-05
1.550000e+02	1.600000e+02	2.954880e-04	2.259653e-05	2.259653e-05
1.600000e+02	1.650000e+02	2.350080e-04	2.015177e-05	2.015177e-05
1.650000e+02	1.700000e+02	2.540160e-04	2.095089e-05	2.095089e-05
1.700000e+02	1.750000e+02	2.298240e-04	1.992827e-05	1.992827e-05
1.750000e+02	1.800000e+02	1.866240e-04	1.795790e-05	1.795790e-05
1.800000e+02	1.850000e+02	1.918080e-04	1.820561e-05	1.820561e-05
1.850000e+02	1.900000e+02	1.641600e-04	1.684246e-05	1.684246e-05
1.900000e+02	1.950000e+02	1.330560e-04	1.516314e-05	1.516314e-05
1.950000e+02	2.000000e+02	1.382400e-04	1.545570e-05	1.545570e-05
2.000000e+02	2.050000e+02	1.572480e-04	1.648407e-05	1.648407e-05
