# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=MET $\phi$ distribution
XLabel=$\phi^\mathrm{miss}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{miss}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=8.64000000000000029e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	2.688318e-02	1.359541e-03	1.359541e-03
1.256637e-01	2.513274e-01	2.784575e-02	1.383666e-03	1.383666e-03
2.513274e-01	3.769911e-01	2.867081e-02	1.404016e-03	1.404016e-03
3.769911e-01	5.026548e-01	2.681443e-02	1.357801e-03	1.357801e-03
5.026548e-01	6.283185e-01	2.757073e-02	1.376817e-03	1.376817e-03
6.283185e-01	7.539822e-01	2.702069e-02	1.363013e-03	1.363013e-03
7.539822e-01	8.796459e-01	2.653941e-02	1.350820e-03	1.350820e-03
8.796459e-01	1.005310e+00	2.653932e-02	1.350816e-03	1.350816e-03
1.005310e+00	1.130973e+00	2.928977e-02	1.419094e-03	1.419094e-03
1.130973e+00	1.256637e+00	2.812070e-02	1.390479e-03	1.390479e-03
1.256637e+00	1.382301e+00	2.667685e-02	1.354312e-03	1.354312e-03
1.382301e+00	1.507964e+00	2.598951e-02	1.336756e-03	1.336756e-03
1.507964e+00	1.633628e+00	2.812070e-02	1.390479e-03	1.390479e-03
1.633628e+00	1.759292e+00	2.653934e-02	1.350817e-03	1.350817e-03
1.759292e+00	1.884956e+00	2.495798e-02	1.309954e-03	1.309954e-03
1.884956e+00	2.010619e+00	2.887724e-02	1.409065e-03	1.409065e-03
2.010619e+00	2.136283e+00	2.702063e-02	1.363010e-03	1.363010e-03
2.136283e+00	2.261947e+00	2.970206e-02	1.429041e-03	1.429041e-03
2.261947e+00	2.387610e+00	2.743337e-02	1.373386e-03	1.373386e-03
2.387610e+00	2.513274e+00	2.605806e-02	1.338513e-03	1.338513e-03
2.513274e+00	2.638938e+00	2.722689e-02	1.368203e-03	1.368203e-03
2.638938e+00	2.764602e+00	2.805195e-02	1.388778e-03	1.388778e-03
2.764602e+00	2.890265e+00	2.873972e-02	1.405706e-03	1.405706e-03
2.890265e+00	3.015929e+00	2.743316e-02	1.373376e-03	1.373376e-03
3.015929e+00	3.141593e+00	2.887701e-02	1.409054e-03	1.409054e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDsch.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=9.21000000000000108e-08
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
