# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta R$
XLabel=$\Delta R_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=8.27204803223370266e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.031992e-04	2.464152e-05	2.464152e-05
5.000000e-01	6.000000e-01	5.139745e-04	3.919019e-05	3.919019e-05
6.000000e-01	7.000000e-01	5.259274e-04	3.964327e-05	3.964327e-05
7.000000e-01	8.000000e-01	7.141855e-04	4.619682e-05	4.619682e-05
8.000000e-01	9.000000e-01	7.231501e-04	4.648585e-05	4.648585e-05
9.000000e-01	1.000000e+00	7.141855e-04	4.619682e-05	4.619682e-05
1.000000e+00	1.100000e+00	8.994553e-04	5.184375e-05	5.184375e-05
1.100000e+00	1.200000e+00	8.008440e-04	4.891933e-05	4.891933e-05
1.200000e+00	1.300000e+00	1.024961e-03	5.534268e-05	5.534268e-05
1.300000e+00	1.400000e+00	9.681845e-04	5.378803e-05	5.378803e-05
1.400000e+00	1.500000e+00	1.069784e-03	5.669756e-05	5.669756e-05
1.500000e+00	1.600000e+00	1.243101e-03	6.094804e-05	6.094804e-05
1.600000e+00	1.700000e+00	1.377571e-03	6.415989e-05	6.415989e-05
1.700000e+00	1.800000e+00	1.413430e-03	6.498958e-05	6.498958e-05
1.800000e+00	1.900000e+00	1.476183e-03	6.641659e-05	6.641659e-05
1.900000e+00	2.000000e+00	1.646511e-03	7.027093e-05	7.027093e-05
2.000000e+00	2.100000e+00	1.658464e-03	7.039788e-05	7.039788e-05
2.100000e+00	2.200000e+00	1.751099e-03	7.233724e-05	7.233724e-05
2.200000e+00	2.300000e+00	1.858675e-03	7.452608e-05	7.452608e-05
2.300000e+00	2.400000e+00	1.819828e-03	7.386415e-05	7.386415e-05
2.400000e+00	2.500000e+00	2.082792e-03	7.889137e-05	7.889137e-05
2.500000e+00	2.600000e+00	2.193356e-03	8.095825e-05	8.095825e-05
2.600000e+00	2.700000e+00	2.229215e-03	8.161736e-05	8.161736e-05
2.700000e+00	2.800000e+00	2.375638e-03	8.425520e-05	8.425520e-05
2.800000e+00	2.900000e+00	2.516084e-03	8.681291e-05	8.681291e-05
2.900000e+00	3.000000e+00	2.701354e-03	8.984571e-05	8.984571e-05
3.000000e+00	3.100000e+00	2.644578e-03	8.889652e-05	8.889652e-05
3.100000e+00	3.200000e+00	2.363685e-03	8.404297e-05	8.404297e-05
3.200000e+00	3.300000e+00	1.649500e-03	7.020736e-05	7.020736e-05
3.300000e+00	3.400000e+00	1.129549e-03	5.809771e-05	5.809771e-05
3.400000e+00	3.500000e+00	9.831256e-04	5.420147e-05	5.420147e-05
3.500000e+00	3.600000e+00	6.992444e-04	4.571104e-05	4.571104e-05
3.600000e+00	3.700000e+00	5.587978e-04	4.086335e-05	4.086335e-05
3.700000e+00	3.800000e+00	4.063984e-04	3.484837e-05	3.484837e-05
3.800000e+00	3.900000e+00	3.436457e-04	3.204512e-05	3.204512e-05
3.900000e+00	4.000000e+00	2.539990e-04	2.755006e-05	2.755006e-05
4.000000e+00	4.100000e+00	2.121639e-04	2.517922e-05	2.517922e-05
4.100000e+00	4.200000e+00	2.300932e-04	2.622156e-05	2.622156e-05
4.200000e+00	4.300000e+00	1.733170e-04	2.275763e-05	2.275763e-05
4.300000e+00	4.400000e+00	1.135525e-04	1.842065e-05	1.842065e-05
4.400000e+00	4.500000e+00	1.165407e-04	1.866145e-05	1.866145e-05
4.500000e+00	4.600000e+00	9.562316e-05	1.690395e-05	1.690395e-05
4.600000e+00	4.700000e+00	5.976447e-05	1.336374e-05	1.336374e-05
4.700000e+00	4.800000e+00	5.378803e-05	1.267796e-05	1.267796e-05
4.800000e+00	4.900000e+00	4.781158e-05	1.195290e-05	1.195290e-05
4.900000e+00	5.000000e+00	3.287046e-05	9.910817e-06	9.910817e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.33196521518493762e-05
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.071106e-06	5.049585e-07	5.049585e-07
5.000000e-01	6.000000e-01	8.267476e-06	7.195914e-07	7.195914e-07
6.000000e-01	7.000000e-01	1.252648e-05	8.901736e-07	8.901736e-07
7.000000e-01	8.000000e-01	1.202542e-05	8.678600e-07	8.678600e-07
8.000000e-01	9.000000e-01	1.158699e-05	8.564851e-07	8.564851e-07
9.000000e-01	1.000000e+00	1.547020e-05	9.843454e-07	9.843454e-07
1.000000e+00	1.100000e+00	1.609653e-05	1.004074e-06	1.004074e-06
1.100000e+00	1.200000e+00	1.597126e-05	1.000159e-06	1.000159e-06
1.200000e+00	1.300000e+00	1.672285e-05	1.027248e-06	1.027248e-06
1.300000e+00	1.400000e+00	1.797550e-05	1.061060e-06	1.061060e-06
1.400000e+00	1.500000e+00	2.060606e-05	1.136049e-06	1.136049e-06
1.500000e+00	1.600000e+00	2.142028e-05	1.158276e-06	1.158276e-06
1.600000e+00	1.700000e+00	2.223450e-05	1.183404e-06	1.183404e-06
1.700000e+00	1.800000e+00	2.342452e-05	1.214487e-06	1.214487e-06
1.800000e+00	1.900000e+00	2.473980e-05	1.244794e-06	1.244794e-06
1.900000e+00	2.000000e+00	2.793405e-05	1.322715e-06	1.322715e-06
2.000000e+00	2.100000e+00	2.743299e-05	1.310799e-06	1.310799e-06
2.100000e+00	2.200000e+00	3.181726e-05	1.411662e-06	1.411662e-06
2.200000e+00	2.300000e+00	3.319517e-05	1.444624e-06	1.444624e-06
2.300000e+00	2.400000e+00	3.382149e-05	1.458138e-06	1.458138e-06
2.400000e+00	2.500000e+00	3.726628e-05	1.527768e-06	1.527768e-06
2.500000e+00	2.600000e+00	3.864419e-05	1.558276e-06	1.558276e-06
2.600000e+00	2.700000e+00	4.240213e-05	1.629646e-06	1.629646e-06
2.700000e+00	2.800000e+00	4.152528e-05	1.612708e-06	1.612708e-06
2.800000e+00	2.900000e+00	4.522059e-05	1.682936e-06	1.682936e-06
2.900000e+00	3.000000e+00	4.810168e-05	1.737978e-06	1.737978e-06
3.000000e+00	3.100000e+00	4.979275e-05	1.768187e-06	1.768187e-06
3.100000e+00	3.200000e+00	4.396794e-05	1.659463e-06	1.659463e-06
3.200000e+00	3.300000e+00	3.094040e-05	1.392075e-06	1.392075e-06
3.300000e+00	3.400000e+00	2.574191e-05	1.269755e-06	1.269755e-06
3.400000e+00	3.500000e+00	2.304872e-05	1.201498e-06	1.201498e-06
3.500000e+00	3.600000e+00	1.797550e-05	1.061060e-06	1.061060e-06
3.600000e+00	3.700000e+00	1.340333e-05	9.162329e-07	9.162329e-07
3.700000e+00	3.800000e+00	1.258911e-05	8.879675e-07	8.879675e-07
3.800000e+00	3.900000e+00	1.083540e-05	8.238005e-07	8.238005e-07
3.900000e+00	4.000000e+00	9.206962e-06	7.593774e-07	7.593774e-07
4.000000e+00	4.100000e+00	7.641152e-06	6.917974e-07	6.917974e-07
4.100000e+00	4.200000e+00	6.137975e-06	6.200291e-07	6.200291e-07
4.200000e+00	4.300000e+00	5.636916e-06	5.941831e-07	5.941831e-07
4.300000e+00	4.400000e+00	4.885327e-06	5.531543e-07	5.531543e-07
4.400000e+00	4.500000e+00	2.943723e-06	4.293861e-07	4.293861e-07
4.500000e+00	4.600000e+00	3.444782e-06	4.644942e-07	4.644942e-07
4.600000e+00	4.700000e+00	2.442663e-06	3.911392e-07	3.911392e-07
4.700000e+00	4.800000e+00	1.941604e-06	3.487224e-07	3.487224e-07
4.800000e+00	4.900000e+00	1.753707e-06	3.314195e-07	3.314195e-07
4.900000e+00	5.000000e+00	1.190016e-06	2.730083e-07	2.730083e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dR
ScaledBy=1.43588078576784434e-05
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.216618e-06	1.597497e-07	1.597497e-07
5.000000e-01	6.000000e-01	3.607900e-06	2.750998e-07	2.750998e-07
6.000000e-01	7.000000e-01	4.132304e-06	2.944145e-07	2.944145e-07
7.000000e-01	8.000000e-01	4.048400e-06	2.944145e-07	2.944145e-07
8.000000e-01	9.000000e-01	5.118184e-06	3.289983e-07	3.289983e-07
9.000000e-01	1.000000e+00	4.992327e-06	3.236045e-07	3.236045e-07
1.000000e+00	1.100000e+00	4.908423e-06	3.208737e-07	3.208737e-07
1.100000e+00	1.200000e+00	5.600636e-06	3.427534e-07	3.427534e-07
1.200000e+00	1.300000e+00	5.621612e-06	3.433947e-07	3.433947e-07
1.300000e+00	1.400000e+00	5.999183e-06	3.547392e-07	3.547392e-07
1.400000e+00	1.500000e+00	7.236777e-06	3.896149e-07	3.896149e-07
1.500000e+00	1.600000e+00	7.047991e-06	3.844994e-07	3.844994e-07
1.600000e+00	1.700000e+00	7.908014e-06	4.072834e-07	4.072834e-07
1.700000e+00	1.800000e+00	8.495347e-06	4.221372e-07	4.221372e-07
1.800000e+00	1.900000e+00	8.621204e-06	4.252526e-07	4.252526e-07
