# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\eta$
XLabel=$\Delta\eta_{bb}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{bb}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=8.27204803223370266e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.695378e-03	8.974626e-05	8.974626e-05
1.000000e-01	2.000000e-01	2.611708e-03	8.844335e-05	8.844335e-05
2.000000e-01	3.000000e-01	2.674460e-03	8.939735e-05	8.939735e-05
3.000000e-01	4.000000e-01	2.504132e-03	8.650379e-05	8.650379e-05
4.000000e-01	5.000000e-01	2.659519e-03	8.914728e-05	8.914728e-05
5.000000e-01	6.000000e-01	2.638602e-03	8.889652e-05	8.889652e-05
6.000000e-01	7.000000e-01	2.510108e-03	8.660695e-05	8.660695e-05
7.000000e-01	8.000000e-01	2.432414e-03	8.525607e-05	8.525607e-05
8.000000e-01	9.000000e-01	2.274038e-03	8.243382e-05	8.243382e-05
9.000000e-01	1.000000e+00	1.966251e-03	7.665246e-05	7.665246e-05
1.000000e+00	1.100000e+00	2.085780e-03	7.894794e-05	7.894794e-05
1.100000e+00	1.200000e+00	2.017051e-03	7.763633e-05	7.763633e-05
1.200000e+00	1.300000e+00	1.906487e-03	7.559675e-05	7.559675e-05
1.300000e+00	1.400000e+00	1.613641e-03	6.944005e-05	6.944005e-05
1.400000e+00	1.500000e+00	1.494112e-03	6.695222e-05	6.695222e-05
1.500000e+00	1.600000e+00	1.491124e-03	6.675186e-05	6.675186e-05
1.600000e+00	1.700000e+00	1.329760e-03	6.303665e-05	6.303665e-05
1.700000e+00	1.800000e+00	1.302866e-03	6.239595e-05	6.239595e-05
1.800000e+00	1.900000e+00	1.216207e-03	6.028515e-05	6.028515e-05
1.900000e+00	2.000000e+00	1.027949e-03	5.542330e-05	5.542330e-05
2.000000e+00	2.100000e+00	1.010020e-03	5.493783e-05	5.493783e-05
2.100000e+00	2.200000e+00	8.098086e-04	4.919237e-05	4.919237e-05
2.200000e+00	2.300000e+00	7.470559e-04	4.724796e-05	4.724796e-05
2.300000e+00	2.400000e+00	8.157851e-04	4.937356e-05	4.937356e-05
2.400000e+00	2.500000e+00	6.095976e-04	4.268037e-05	4.268037e-05
2.500000e+00	2.600000e+00	5.946565e-04	4.215409e-05	4.215409e-05
2.600000e+00	2.700000e+00	4.960451e-04	3.850057e-05	3.850057e-05
2.700000e+00	2.800000e+00	4.273160e-04	3.573396e-05	3.573396e-05
2.800000e+00	2.900000e+00	3.795044e-04	3.367557e-05	3.367557e-05
2.900000e+00	3.000000e+00	3.615751e-04	3.287046e-05	3.287046e-05
3.000000e+00	3.100000e+00	2.898577e-04	2.943059e-05	2.943059e-05
3.100000e+00	3.200000e+00	2.689401e-04	2.834878e-05	2.834878e-05
3.200000e+00	3.300000e+00	2.181403e-04	2.553139e-05	2.553139e-05
3.300000e+00	3.400000e+00	2.181403e-04	2.553139e-05	2.553139e-05
3.400000e+00	3.500000e+00	1.583759e-04	2.175460e-05	2.175460e-05
3.500000e+00	3.600000e+00	1.673405e-04	2.236182e-05	2.236182e-05
3.600000e+00	3.700000e+00	1.225172e-04	1.913397e-05	1.913397e-05
3.700000e+00	3.800000e+00	1.015996e-04	1.742419e-05	1.742419e-05
3.800000e+00	3.900000e+00	1.135525e-04	1.842065e-05	1.842065e-05
3.900000e+00	4.000000e+00	1.015996e-04	1.742419e-05	1.742419e-05
4.000000e+00	4.100000e+00	5.976447e-05	1.336374e-05	1.336374e-05
4.100000e+00	4.200000e+00	5.378803e-05	1.267796e-05	1.267796e-05
4.200000e+00	4.300000e+00	5.079980e-05	1.232076e-05	1.232076e-05
4.300000e+00	4.400000e+00	3.585868e-05	1.035151e-05	1.035151e-05
4.400000e+00	4.500000e+00	1.792934e-05	7.319624e-06	7.319624e-06
4.500000e+00	4.600000e+00	1.494112e-05	6.681872e-06	6.681872e-06
4.600000e+00	4.700000e+00	8.964671e-06	5.175755e-06	5.175755e-06
4.700000e+00	4.800000e+00	1.195289e-05	5.976447e-06	5.976447e-06
4.800000e+00	4.900000e+00	2.988224e-06	2.988224e-06	2.988224e-06
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.33196521518493762e-05
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.064842e-05	1.598047e-06	1.598047e-06
1.000000e-01	2.000000e-01	3.782997e-05	1.539279e-06	1.539279e-06
2.000000e-01	3.000000e-01	3.964631e-05	1.578287e-06	1.578287e-06
3.000000e-01	4.000000e-01	4.002210e-05	1.585726e-06	1.585726e-06
4.000000e-01	5.000000e-01	4.171318e-05	1.616353e-06	1.616353e-06
5.000000e-01	6.000000e-01	3.826839e-05	1.548173e-06	1.548173e-06
6.000000e-01	7.000000e-01	3.757944e-05	1.534174e-06	1.534174e-06
7.000000e-01	8.000000e-01	4.208897e-05	1.626032e-06	1.626032e-06
8.000000e-01	9.000000e-01	3.770470e-05	1.539279e-06	1.539279e-06
9.000000e-01	1.000000e+00	3.613889e-05	1.507087e-06	1.507087e-06
1.000000e+00	1.100000e+00	3.519941e-05	1.487437e-06	1.487437e-06
1.100000e+00	1.200000e+00	3.388413e-05	1.456792e-06	1.456792e-06
1.200000e+00	1.300000e+00	3.601363e-05	1.501872e-06	1.501872e-06
1.300000e+00	1.400000e+00	3.043934e-05	1.386427e-06	1.386427e-06
1.400000e+00	1.500000e+00	3.319517e-05	1.441906e-06	1.441906e-06
1.500000e+00	1.600000e+00	3.050198e-05	1.382177e-06	1.382177e-06
1.600000e+00	1.700000e+00	2.737036e-05	1.309302e-06	1.309302e-06
1.700000e+00	1.800000e+00	2.605508e-05	1.277455e-06	1.277455e-06
1.800000e+00	1.900000e+00	2.705719e-05	1.301790e-06	1.301790e-06
1.900000e+00	2.000000e+00	2.611771e-05	1.278990e-06	1.278990e-06
2.000000e+00	2.100000e+00	2.304872e-05	1.201498e-06	1.201498e-06
2.100000e+00	2.200000e+00	2.023026e-05	1.125642e-06	1.125642e-06
2.200000e+00	2.300000e+00	1.947868e-05	1.104534e-06	1.104534e-06
2.300000e+00	2.400000e+00	1.691075e-05	1.032960e-06	1.032960e-06
2.400000e+00	2.500000e+00	1.678548e-05	1.025337e-06	1.025337e-06
2.500000e+00	2.600000e+00	1.640969e-05	1.013794e-06	1.013794e-06
2.600000e+00	2.700000e+00	1.421755e-05	9.436522e-07	9.436522e-07
2.700000e+00	2.800000e+00	1.171226e-05	8.564851e-07	8.564851e-07
2.800000e+00	2.900000e+00	1.164963e-05	8.541920e-07	8.541920e-07
2.900000e+00	3.000000e+00	1.045961e-05	8.093889e-07	8.093889e-07
3.000000e+00	3.100000e+00	1.064751e-05	8.166265e-07	8.166265e-07
3.100000e+00	3.200000e+00	9.081697e-06	7.541939e-07	7.541939e-07
3.200000e+00	3.300000e+00	7.578520e-06	6.889564e-07	6.889564e-07
3.300000e+00	3.400000e+00	6.639034e-06	6.448400e-07	6.448400e-07
3.400000e+00	3.500000e+00	5.762180e-06	6.007489e-07	6.007489e-07
3.500000e+00	3.600000e+00	4.760062e-06	5.460166e-07	5.460166e-07
3.600000e+00	3.700000e+00	4.446900e-06	5.277499e-07	5.277499e-07
3.700000e+00	3.800000e+00	3.382149e-06	4.602522e-07	4.602522e-07
3.800000e+00	3.900000e+00	3.695311e-06	4.810886e-07	4.810886e-07
3.900000e+00	4.000000e+00	3.444782e-06	4.644942e-07	4.644942e-07
4.000000e+00	4.100000e+00	2.317399e-06	3.809780e-07	3.809780e-07
4.100000e+00	4.200000e+00	2.066869e-06	3.597958e-07	3.597958e-07
4.200000e+00	4.300000e+00	1.565810e-06	3.131620e-07	3.131620e-07
4.300000e+00	4.400000e+00	1.064751e-06	2.582400e-07	2.582400e-07
4.400000e+00	4.500000e+00	1.252648e-06	2.801006e-07	2.801006e-07
4.500000e+00	4.600000e+00	9.394859e-07	2.425742e-07	2.425742e-07
4.600000e+00	4.700000e+00	5.636916e-07	1.878972e-07	1.878972e-07
4.700000e+00	4.800000e+00	5.010592e-07	1.771512e-07	1.771512e-07
4.800000e+00	4.900000e+00	3.131620e-07	1.400503e-07	1.400503e-07
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_deta
ScaledBy=1.43588078576784434e-05
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.443160e-05	5.509988e-07	5.509988e-07
1.000000e-01	2.000000e-01	1.279546e-05	5.180731e-07	5.180731e-07
2.000000e-01	3.000000e-01	1.275351e-05	5.172231e-07	5.172231e-07
3.000000e-01	4.000000e-01	1.369744e-05	5.368423e-07	5.368423e-07
4.000000e-01	5.000000e-01	1.275351e-05	5.172231e-07	5.172231e-07
5.000000e-01	6.000000e-01	1.401208e-05	5.421436e-07	5.421436e-07
6.000000e-01	7.000000e-01	1.436867e-05	5.497997e-07	5.497997e-07
7.000000e-01	8.000000e-01	1.285839e-05	5.201920e-07	5.201920e-07
8.000000e-01	9.000000e-01	1.222910e-05	5.073457e-07	5.073457e-07
9.000000e-01	1.000000e+00	1.201934e-05	5.021152e-07	5.021152e-07
1.000000e+00	1.100000e+00	1.162080e-05	4.937203e-07	4.937203e-07
1.100000e+00	1.200000e+00	1.183056e-05	4.981563e-07	4.981563e-07
1.200000e+00	1.300000e+00	1.107542e-05	4.819955e-07	4.819955e-07
1.300000e+00	1.400000e+00	9.607084e-06	4.489096e-07	4.489096e-07
1.400000e+00	1.500000e+00	1.008954e-05	4.600433e-07	4.600433e-07
1.500000e+00	1.600000e+00	9.103656e-06	4.369895e-07	4.369895e-07
1.600000e+00	1.700000e+00	1.000563e-05	4.581264e-07	4.581264e-07
1.700000e+00	1.800000e+00	8.474371e-06	4.216157e-07	4.216157e-07
1.800000e+00	1.900000e+00	8.872918e-06	4.324347e-07	4.324347e-07
1.900000e+00	2.000000e+00	8.117776e-06	4.126497e-07	4.126497e-07
2.000000e+00	2.100000e+00	7.845086e-06	4.056597e-07	4.056597e-07
2.100000e+00	2.200000e+00	7.257753e-06	3.901792e-07	3.901792e-07
2.200000e+00	2.300000e+00	6.817254e-06	3.781531e-07	3.781531e-07
2.300000e+00	2.400000e+00	5.768445e-06	3.478504e-07	3.478504e-07
2.400000e+00	2.500000e+00	6.271873e-06	3.627117e-07	3.627117e-07
2.500000e+00	2.600000e+00	4.950375e-06	3.222420e-07	3.222420e-07
2.600000e+00	2.700000e+00	5.139160e-06	3.283290e-07	3.283290e-07
2.700000e+00	2.800000e+00	4.530852e-06	3.082854e-07	3.082854e-07
2.800000e+00	2.900000e+00	4.216209e-06	2.973885e-07	2.973885e-07
2.900000e+00	3.000000e+00	4.425971e-06	3.046964e-07	3.046964e-07
3.000000e+00	3.100000e+00	3.712781e-06	2.790697e-07	2.790697e-07
3.100000e+00	3.200000e+00	2.642997e-06	2.354569e-07	2.354569e-07
3.200000e+00	3.300000e+00	2.726901e-06	2.391651e-07	2.391651e-07
3.300000e+00	3.400000e+00	2.496164e-06	2.288229e-07	2.288229e-07
3.400000e+00	3.500000e+00	2.076640e-06	2.087102e-07	2.087102e-07
3.500000e+00	3.600000e+00	1.887855e-06	1.989974e-07	1.989974e-07
3.600000e+00	3.700000e+00	1.741022e-06	1.911020e-07	1.911020e-07
3.700000e+00	3.800000e+00	1.552236e-06	1.804438e-07	1.804438e-07
3.800000e+00	3.900000e+00	1.447355e-06	1.742411e-07	1.742411e-07
3.900000e+00	4.000000e+00	1.090761e-06	1.512613e-07	1.512613e-07
