# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet $\Delta\phi$
XLabel=$\Delta\phi_{bb}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{bb}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=8.27204803223370266e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	7.942364e-04	6.145984e-05	6.145984e-05
6.283185e-02	1.256637e-01	8.037481e-04	6.182677e-05	6.182677e-05
1.256637e-01	1.884956e-01	9.083773e-04	6.572788e-05	6.572788e-05
1.884956e-01	2.513274e-01	7.847251e-04	6.145989e-05	6.145989e-05
2.513274e-01	3.141593e-01	7.561885e-04	5.996966e-05	5.996966e-05
3.141593e-01	3.769911e-01	9.226465e-04	6.624215e-05	6.624215e-05
3.769911e-01	4.398230e-01	9.987395e-04	6.891957e-05	6.891957e-05
4.398230e-01	5.026548e-01	1.184222e-03	7.504699e-05	7.504699e-05
5.026548e-01	5.654867e-01	1.127149e-03	7.321618e-05	7.321618e-05
5.654867e-01	6.283185e-01	1.112883e-03	7.275144e-05	7.275144e-05
6.283185e-01	6.911504e-01	1.098613e-03	7.228345e-05	7.228345e-05
6.911504e-01	7.539822e-01	1.036788e-03	7.022017e-05	7.022017e-05
7.539822e-01	8.168141e-01	1.131905e-03	7.337049e-05	7.337049e-05
8.168141e-01	8.796459e-01	1.112883e-03	7.275144e-05	7.275144e-05
8.796459e-01	9.424778e-01	1.032031e-03	7.005881e-05	7.005881e-05
9.424778e-01	1.005310e+00	9.939789e-04	6.875496e-05	6.875496e-05
1.005310e+00	1.068142e+00	1.217509e-03	7.609431e-05	7.609431e-05
1.068142e+00	1.130973e+00	1.108141e-03	7.259674e-05	7.259674e-05
1.130973e+00	1.193805e+00	1.198485e-03	7.549748e-05	7.549748e-05
1.193805e+00	1.256637e+00	1.150926e-03	7.398435e-05	7.398435e-05
1.256637e+00	1.319469e+00	1.331650e-03	7.958134e-05	7.958134e-05
1.319469e+00	1.382301e+00	1.350674e-03	8.014777e-05	8.014777e-05
1.382301e+00	1.445133e+00	1.307871e-03	7.915386e-05	7.915386e-05
1.445133e+00	1.507964e+00	1.383987e-03	8.113078e-05	8.113078e-05
1.507964e+00	1.570796e+00	1.422013e-03	8.223711e-05	8.223711e-05
1.570796e+00	1.633628e+00	1.374454e-03	8.085021e-05	8.085021e-05
1.633628e+00	1.696460e+00	1.483839e-03	8.400585e-05	8.400585e-05
1.696460e+00	1.759292e+00	1.493351e-03	8.427467e-05	8.427467e-05
1.759292e+00	1.822124e+00	1.617004e-03	8.769437e-05	8.769437e-05
1.822124e+00	1.884956e+00	1.517130e-03	8.494299e-05	8.494299e-05
1.884956e+00	1.947787e+00	1.693126e-03	8.973547e-05	8.973547e-05
1.947787e+00	2.010619e+00	1.655052e-03	8.872006e-05	8.872006e-05
2.010619e+00	2.073451e+00	1.716878e-03	9.036200e-05	9.036200e-05
2.073451e+00	2.136283e+00	1.602736e-03	8.730662e-05	8.730662e-05
2.136283e+00	2.199115e+00	1.897602e-03	9.499892e-05	9.499892e-05
2.199115e+00	2.261947e+00	1.707366e-03	9.011134e-05	9.011134e-05
2.261947e+00	2.324779e+00	1.935649e-03	9.594657e-05	9.594657e-05
2.324779e+00	2.387610e+00	1.826293e-03	9.344000e-05	9.344000e-05
2.387610e+00	2.450442e+00	2.097350e-03	9.987379e-05	9.987379e-05
2.450442e+00	2.513274e+00	2.140153e-03	1.008878e-04	1.008878e-04
2.513274e+00	2.576106e+00	2.111617e-03	1.002129e-04	1.002129e-04
2.576106e+00	2.638938e+00	2.178199e-03	1.017806e-04	1.017806e-04
2.638938e+00	2.701770e+00	2.430262e-03	1.075085e-04	1.075085e-04
2.701770e+00	2.764602e+00	2.349413e-03	1.057050e-04	1.057050e-04
2.764602e+00	2.827433e+00	2.392254e-03	1.066653e-04	1.066653e-04
2.827433e+00	2.890265e+00	2.487333e-03	1.089712e-04	1.089712e-04
2.890265e+00	2.953097e+00	2.549160e-03	1.101069e-04	1.101069e-04
2.953097e+00	3.015929e+00	2.596718e-03	1.111293e-04	1.111293e-04
3.015929e+00	3.078761e+00	2.710861e-03	1.135454e-04	1.135454e-04
3.078761e+00	3.141593e+00	2.706104e-03	1.134458e-04	1.134458e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_dphi
ScaledBy=1.33196521518493762e-05
Title=X1500_pi20_L40
