# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-bjet invariant mass
XLabel=$m_{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=8.27204803223370266e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	7.283825e-06	7.142377e-07	7.142377e-07
5.426665e+01	5.889739e+01	9.098751e-06	7.662532e-07	7.662532e-07
5.889739e+01	6.392328e+01	1.076165e-05	7.999068e-07	7.999068e-07
6.392328e+01	6.937805e+01	1.380503e-05	8.696348e-07	8.696348e-07
6.937805e+01	7.529829e+01	1.357770e-05	8.278467e-07	8.278467e-07
7.529829e+01	8.172373e+01	1.483546e-05	8.306260e-07	8.306260e-07
8.172373e+01	8.869746e+01	1.255497e-05	7.334691e-07	7.334691e-07
8.869746e+01	9.626628e+01	1.279175e-05	7.106528e-07	7.106528e-07
9.626628e+01	1.044810e+02	1.396856e-05	7.128300e-07	7.128300e-07
1.044810e+02	1.133967e+02	1.357416e-05	6.745050e-07	6.745050e-07
1.133967e+02	1.230731e+02	1.263057e-05	6.245410e-07	6.245410e-07
1.230731e+02	1.335753e+02	1.425511e-05	6.368713e-07	6.368713e-07
1.335753e+02	1.449737e+02	1.213809e-05	5.641047e-07	5.641047e-07
1.449737e+02	1.573448e+02	1.084554e-05	5.118326e-07	5.118326e-07
1.573448e+02	1.707715e+02	1.148401e-05	5.055553e-07	5.055553e-07
1.707715e+02	1.853439e+02	1.004797e-05	4.539208e-07	4.539208e-07
1.853439e+02	2.011599e+02	9.673565e-06	4.275151e-07	4.275151e-07
2.011599e+02	2.183255e+02	9.974903e-06	4.167076e-07	4.167076e-07
2.183255e+02	2.369559e+02	9.286875e-06	3.859493e-07	3.859493e-07
2.369559e+02	2.571760e+02	9.059208e-06	3.658980e-07	3.658980e-07
2.571760e+02	2.791217e+02	7.829456e-06	3.265108e-07	3.265108e-07
2.791217e+02	3.029400e+02	8.230121e-06	3.218217e-07	3.218217e-07
3.029400e+02	3.287907e+02	7.351871e-06	2.915207e-07	2.915207e-07
3.287907e+02	3.568475e+02	6.709892e-06	2.677525e-07	2.677525e-07
3.568475e+02	3.872983e+02	6.143116e-06	2.455283e-07	2.455283e-07
3.872983e+02	4.203477e+02	5.632971e-06	2.256803e-07	2.256803e-07
4.203477e+02	4.562172e+02	4.523634e-06	1.941278e-07	1.941278e-07
4.562172e+02	4.951476e+02	4.137263e-06	1.782045e-07	1.782045e-07
4.951476e+02	5.374001e+02	3.734174e-06	1.625091e-07	1.625091e-07
5.374001e+02	5.832581e+02	3.056123e-06	1.411187e-07	1.411187e-07
5.832581e+02	6.330293e+02	2.461608e-06	1.218663e-07	1.218663e-07
6.330293e+02	6.870476e+02	2.151899e-06	1.093857e-07	1.093857e-07
6.870476e+02	7.456754e+02	1.707475e-06	9.328932e-08	9.328932e-08
7.456754e+02	8.093062e+02	1.192832e-06	7.484496e-08	7.484496e-08
8.093062e+02	8.783667e+02	9.952020e-07	6.562168e-08	6.562168e-08
8.783667e+02	9.533204e+02	7.255902e-07	5.378433e-08	5.378433e-08
9.533204e+02	1.034670e+03	4.922237e-07	4.252164e-08	4.252164e-08
1.034670e+03	1.122962e+03	3.790616e-07	3.581796e-08	3.581796e-08
1.122962e+03	1.218787e+03	2.214077e-07	2.627626e-08	2.627626e-08
1.218787e+03	1.322790e+03	1.436605e-07	2.031666e-08	2.031666e-08
1.322790e+03	1.435668e+03	7.941912e-08	1.449988e-08	1.449988e-08
1.435668e+03	1.558178e+03	7.561419e-08	1.358071e-08	1.358071e-08
1.558178e+03	1.691142e+03	3.595829e-08	8.989572e-09	8.989572e-09
1.691142e+03	1.835452e+03	2.277767e-08	6.867727e-09	6.867727e-09
1.835452e+03	1.992077e+03	1.717096e-08	5.723653e-09	5.723653e-09
1.992077e+03	2.162067e+03	3.515764e-09	2.486021e-09	2.486021e-09
2.162067e+03	2.346563e+03	6.478672e-09	3.239337e-09	3.239337e-09
2.346563e+03	2.546802e+03	2.984657e-09	2.110471e-09	2.110471e-09
2.546802e+03	2.764129e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764129e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.33196521518493762e-05
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	3.170778e-07	2.157441e-08	2.157441e-08
5.426665e+01	5.889739e+01	4.219911e-07	2.389054e-08	2.389054e-08
5.889739e+01	6.392328e+01	4.735541e-07	2.429281e-08	2.429281e-08
6.392328e+01	6.937805e+01	4.650264e-07	2.310735e-08	2.310735e-08
6.937805e+01	7.529829e+01	5.585905e-07	2.430953e-08	2.430953e-08
7.529829e+01	8.172373e+01	5.019996e-07	2.212075e-08	2.212075e-08
8.172373e+01	8.869746e+01	4.445690e-07	1.998188e-08	1.998188e-08
8.869746e+01	9.626628e+01	4.675405e-07	1.966958e-08	1.966958e-08
9.626628e+01	1.044810e+02	4.597519e-07	1.872255e-08	1.872255e-08
1.044810e+02	1.133967e+02	4.538122e-07	1.785500e-08	1.785500e-08
1.133967e+02	1.230731e+02	4.181362e-07	1.647679e-08	1.647679e-08
1.230731e+02	1.335753e+02	3.965887e-07	1.537905e-08	1.537905e-08
1.335753e+02	1.449737e+02	3.626595e-07	1.411650e-08	1.411650e-08
1.449737e+02	1.573448e+02	3.235129e-07	1.279797e-08	1.279797e-08
1.573448e+02	1.707715e+02	2.896819e-07	1.162453e-08	1.162453e-08
1.707715e+02	1.853439e+02	2.613193e-07	1.059790e-08	1.059790e-08
1.853439e+02	2.011599e+02	2.181996e-07	9.295615e-09	9.295615e-09
2.011599e+02	2.183255e+02	2.043281e-07	8.634438e-09	8.634438e-09
2.183255e+02	2.369559e+02	1.697728e-07	7.554793e-09	7.554793e-09
2.369559e+02	2.571760e+02	1.424864e-07	6.643465e-09	6.643465e-09
2.571760e+02	2.791217e+02	1.127319e-07	5.672156e-09	5.672156e-09
2.791217e+02	3.029400e+02	9.782079e-08	5.071772e-09	5.071772e-09
3.029400e+02	3.287907e+02	8.213464e-08	4.474082e-09	4.474082e-09
3.287907e+02	3.568475e+02	6.585412e-08	3.834175e-09	3.834175e-09
3.568475e+02	3.872983e+02	5.512328e-08	3.367191e-09	3.367191e-09
3.872983e+02	4.203477e+02	4.453518e-08	2.917492e-09	2.917492e-09
4.203477e+02	4.562172e+02	3.631927e-08	2.518288e-09	2.518288e-09
4.562172e+02	4.951476e+02	2.815453e-08	2.128282e-09	2.128282e-09
4.951476e+02	5.374001e+02	2.386562e-08	1.880873e-09	1.880873e-09
5.374001e+02	5.832581e+02	1.871132e-08	1.598616e-09	1.598616e-09
5.832581e+02	6.330293e+02	1.598176e-08	1.418152e-09	1.418152e-09
6.330293e+02	6.870476e+02	1.229034e-08	1.193744e-09	1.193744e-09
6.870476e+02	7.456754e+02	1.078988e-08	1.084212e-09	1.084212e-09
7.456754e+02	8.093062e+02	6.398012e-09	7.935756e-10	7.935756e-10
8.093062e+02	8.783667e+02	6.892597e-09	7.906351e-10	7.906351e-10
8.783667e+02	9.533204e+02	4.178073e-09	5.908686e-10	5.908686e-10
9.533204e+02	1.034670e+03	4.850474e-09	6.111023e-10	6.111023e-10
1.034670e+03	1.122962e+03	4.185329e-09	5.540418e-10	5.540418e-10
1.122962e+03	1.218787e+03	3.987035e-09	5.187887e-10	5.187887e-10
1.218787e+03	1.322790e+03	2.709978e-09	4.215520e-10	4.215520e-10
1.322790e+03	1.435668e+03	2.219472e-09	3.595956e-10	3.595956e-10
1.435668e+03	1.558178e+03	1.584853e-09	2.846481e-10	2.846481e-10
1.558178e+03	1.691142e+03	1.413143e-09	2.580035e-10	2.580035e-10
1.691142e+03	1.835452e+03	1.041631e-09	2.126220e-10	2.126220e-10
1.835452e+03	1.992077e+03	7.597868e-10	1.743070e-10	1.743070e-10
1.992077e+03	2.162067e+03	4.421370e-10	1.276340e-10	1.276340e-10
2.162067e+03	2.346563e+03	5.431652e-10	1.357913e-10	1.357913e-10
2.346563e+03	2.546802e+03	4.379035e-10	1.170346e-10	1.170346e-10
2.546802e+03	2.764129e+03	8.645829e-11	6.444219e-11	6.444219e-11
2.764129e+03	3.000000e+03	2.389830e-10	7.966099e-11	7.966099e-11
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_m
ScaledBy=1.43588078576784434e-05
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.155332e-07	7.536558e-09	7.536558e-09
5.426665e+01	5.889739e+01	1.241156e-07	7.498097e-09	7.498097e-09
5.889739e+01	6.392328e+01	1.702838e-07	8.430303e-09	8.430303e-09
6.392328e+01	6.937805e+01	1.668935e-07	8.011144e-09	8.011144e-09
6.937805e+01	7.529829e+01	1.778649e-07	7.938503e-09	7.938503e-09
7.529829e+01	8.172373e+01	1.681242e-07	7.408440e-09	7.408440e-09
8.172373e+01	8.869746e+01	1.597185e-07	6.931196e-09	6.931196e-09
8.869746e+01	9.626628e+01	1.524265e-07	6.499489e-09	6.499489e-09
9.626628e+01	1.044810e+02	1.526984e-07	6.244302e-09	6.244302e-09
1.044810e+02	1.133967e+02	1.451629e-07	5.844041e-09	5.844041e-09
1.133967e+02	1.230731e+02	1.419887e-07	5.547955e-09	5.547955e-09
1.230731e+02	1.335753e+02	1.252315e-07	5.001262e-09	5.001262e-09
1.335753e+02	1.449737e+02	1.249546e-07	4.795315e-09	4.795315e-09
1.449737e+02	1.573448e+02	1.151298e-07	4.418274e-09	4.418274e-09
1.573448e+02	1.707715e+02	9.951678e-08	3.942998e-09	3.942998e-09
1.707715e+02	1.853439e+02	9.586705e-08	3.714772e-09	3.714772e-09
1.853439e+02	2.011599e+02	8.129989e-08	3.283671e-09	3.283671e-09
2.011599e+02	2.183255e+02	7.038653e-08	2.932772e-09	2.932772e-09
2.183255e+02	2.369559e+02	6.338876e-08	2.680991e-09	2.680991e-09
2.369559e+02	2.571760e+02	5.477431e-08	2.383745e-09	2.383745e-09
2.571760e+02	2.791217e+02	4.253404e-08	2.016307e-09	2.016307e-09
2.791217e+02	3.029400e+02	4.209625e-08	1.925437e-09	1.925437e-09
3.029400e+02	3.287907e+02	2.718307e-08	1.485170e-09	1.485170e-09
3.287907e+02	3.568475e+02	2.482139e-08	1.362250e-09	1.362250e-09
3.568475e+02	3.872983e+02	2.004566e-08	1.175098e-09	1.175098e-09
3.872983e+02	4.203477e+02	1.637504e-08	1.019465e-09	1.019465e-09
4.203477e+02	4.562172e+02	1.187126e-08	8.331991e-10	8.331991e-10
4.562172e+02	4.951476e+02	8.567110e-09	6.794160e-10	6.794160e-10
4.951476e+02	5.374001e+02	7.446719e-09	6.080220e-10	6.080220e-10
5.374001e+02	5.832581e+02	4.619898e-09	4.596970e-10	4.596970e-10
5.832581e+02	6.330293e+02	3.708777e-09	3.953569e-10	3.953569e-10
6.330293e+02	6.870476e+02	3.883158e-09	3.921798e-10	3.921798e-10
6.870476e+02	7.456754e+02	2.468718e-09	2.971988e-10	2.971988e-10
7.456754e+02	8.093062e+02	1.944961e-09	2.532122e-10	2.532122e-10
8.093062e+02	8.783667e+02	1.549053e-09	2.169109e-10	2.169109e-10
8.783667e+02	9.533204e+02	8.675504e-10	1.558166e-10	1.558166e-10
9.533204e+02	1.034670e+03	7.735562e-10	1.458632e-10	1.458632e-10
1.034670e+03	1.122962e+03	4.751544e-10	1.062477e-10	1.062477e-10
1.122962e+03	1.218787e+03	4.815816e-10	1.026736e-10	1.026736e-10
1.218787e+03	1.322790e+03	2.621945e-10	7.271967e-11	7.271967e-11
1.322790e+03	1.435668e+03	3.530777e-10	8.100160e-11	8.100160e-11
1.435668e+03	1.558178e+03	2.054640e-10	5.931236e-11	5.931236e-11
1.558178e+03	1.691142e+03	1.735340e-10	5.232248e-11	5.232248e-11
1.691142e+03	1.835452e+03	1.308194e-10	4.360647e-11	4.360647e-11
1.835452e+03	1.992077e+03	9.374825e-11	3.543350e-11	3.543350e-11
1.992077e+03	2.162067e+03	9.871716e-11	3.490179e-11	3.490179e-11
2.162067e+03	2.346563e+03	4.547777e-11	2.273888e-11	2.273888e-11
2.346563e+03	2.546802e+03	5.237781e-11	2.342407e-11	2.342407e-11
2.546802e+03	2.764129e+03	1.930378e-11	1.364984e-11	1.364984e-11
2.764129e+03	3.000000e+03	-8.893064e-12	1.540324e-11	1.540324e-11
# END HISTO1D

