# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{bb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{bb}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=8.27204803223370266e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	1.193343e-05	1.480160e-06	1.480160e-06
2.162765e+01	2.338777e+01	1.358191e-05	1.518504e-06	1.518504e-06
2.338777e+01	2.529113e+01	1.554273e-05	1.562103e-06	1.562103e-06
2.529113e+01	2.734939e+01	1.698630e-05	1.570384e-06	1.570384e-06
2.734939e+01	2.957515e+01	1.463394e-05	1.401677e-06	1.401677e-06
2.957515e+01	3.198206e+01	1.514653e-05	1.371302e-06	1.371302e-06
3.198206e+01	3.458484e+01	1.377707e-05	1.257669e-06	1.257669e-06
3.458484e+01	3.739945e+01	1.719926e-05	1.351302e-06	1.351302e-06
3.739945e+01	4.044311e+01	1.875212e-05	1.356856e-06	1.356856e-06
4.044311e+01	4.373448e+01	1.897504e-05	1.312531e-06	1.312531e-06
4.373448e+01	4.729371e+01	2.208070e-05	1.361554e-06	1.361554e-06
4.729371e+01	5.114260e+01	2.072950e-05	1.268625e-06	1.268625e-06
5.114260e+01	5.530472e+01	2.046178e-05	1.212051e-06	1.212051e-06
5.530472e+01	5.980556e+01	2.091366e-05	1.178351e-06	1.178351e-06
5.980556e+01	6.467270e+01	2.019925e-05	1.113620e-06	1.113620e-06
6.467270e+01	6.993594e+01	1.941718e-05	1.049961e-06	1.049961e-06
6.993594e+01	7.562751e+01	1.905845e-05	1.000309e-06	1.000309e-06
7.562751e+01	8.178228e+01	1.980894e-05	9.806891e-07	9.806891e-07
8.178228e+01	8.843794e+01	1.755491e-05	8.877902e-07	8.877902e-07
8.843794e+01	9.563525e+01	1.627530e-05	8.220268e-07	8.220268e-07
9.563525e+01	1.034183e+02	1.543439e-05	7.697971e-07	7.697971e-07
1.034183e+02	1.118348e+02	1.420173e-05	7.100870e-07	7.100870e-07
1.118348e+02	1.209362e+02	1.438067e-05	6.871349e-07	6.871349e-07
1.209362e+02	1.307783e+02	1.390563e-05	6.497676e-07	6.497676e-07
1.307783e+02	1.414214e+02	1.229756e-05	5.876003e-07	5.876003e-07
1.414214e+02	1.529306e+02	1.108654e-05	5.365150e-07	5.365150e-07
1.529306e+02	1.653765e+02	1.135659e-05	5.221766e-07	5.221766e-07
1.653765e+02	1.788353e+02	1.134560e-05	5.019000e-07	5.019000e-07
1.788353e+02	1.933894e+02	1.174421e-05	4.910501e-07	4.910501e-07
1.933894e+02	2.091279e+02	1.078445e-05	4.525056e-07	4.525056e-07
2.091279e+02	2.261473e+02	1.053465e-05	4.300753e-07	4.300753e-07
2.261473e+02	2.445518e+02	1.039128e-05	4.107514e-07	4.107514e-07
2.445518e+02	2.644540e+02	9.924611e-06	3.860226e-07	3.860226e-07
2.644540e+02	2.859760e+02	8.344587e-06	3.409488e-07	3.409488e-07
2.859760e+02	3.092495e+02	7.652399e-06	3.139800e-07	3.139800e-07
3.092495e+02	3.344170e+02	6.257252e-06	2.725702e-07	2.725702e-07
3.344170e+02	3.616328e+02	5.248315e-06	2.405540e-07	2.405540e-07
3.616328e+02	3.910634e+02	5.178263e-06	2.292974e-07	2.292974e-07
3.910634e+02	4.228892e+02	4.535038e-06	2.063514e-07	2.063514e-07
4.228892e+02	4.573051e+02	3.559901e-06	1.762392e-07	1.762392e-07
4.573051e+02	4.945218e+02	3.027028e-06	1.558999e-07	1.558999e-07
4.945218e+02	5.347672e+02	1.685477e-06	1.118690e-07	1.118690e-07
5.347672e+02	5.782880e+02	1.050528e-06	8.493017e-08	8.493017e-08
5.782880e+02	6.253506e+02	6.158982e-07	6.253499e-08	6.253499e-08
6.253506e+02	6.762433e+02	2.700943e-07	3.982323e-08	3.982323e-08
6.762433e+02	7.312778e+02	1.683216e-07	3.023145e-08	3.023145e-08
7.312778e+02	7.907911e+02	1.054432e-07	2.300958e-08	2.300958e-08
7.907911e+02	8.551478e+02	5.571864e-08	1.608459e-08	1.608459e-08
8.551478e+02	9.247420e+02	3.435026e-08	1.214465e-08	1.214465e-08
9.247420e+02	1.000000e+03	7.941278e-09	5.615332e-09	5.615332e-09
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bb_pt
ScaledBy=1.33196521518493762e-05
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	5.002434e-07	4.387425e-08	4.387425e-08
2.162765e+01	2.338777e+01	5.230872e-07	4.314350e-08	4.314350e-08
2.338777e+01	2.529113e+01	5.363715e-07	4.201186e-08	4.201186e-08
2.529113e+01	2.734939e+01	5.933808e-07	4.249287e-08	4.249287e-08
2.734939e+01	2.957515e+01	5.824936e-07	4.048609e-08	4.048609e-08
2.957515e+01	3.198206e+01	5.386537e-07	3.743901e-08	3.743901e-08
3.198206e+01	3.458484e+01	6.136231e-07	3.842657e-08	3.842657e-08
3.458484e+01	3.739945e+01	6.520012e-07	3.809031e-08	3.809031e-08
3.739945e+01	4.044311e+01	5.926460e-07	3.492200e-08	3.492200e-08
4.044311e+01	4.373448e+01	6.603159e-07	3.544761e-08	3.544761e-08
4.373448e+01	4.729371e+01	7.197245e-07	3.558808e-08	3.558808e-08
4.729371e+01	5.114260e+01	7.501781e-07	3.493929e-08	3.493929e-08
5.114260e+01	5.530472e+01	7.223134e-07	3.296894e-08	3.296894e-08
5.530472e+01	5.980556e+01	7.403158e-07	3.209677e-08	3.209677e-08
5.980556e+01	6.467270e+01	7.257788e-07	3.056080e-08	3.056080e-08
6.467270e+01	6.993594e+01	7.032883e-07	2.892941e-08	2.892941e-08
6.993594e+01	7.562751e+01	6.514614e-07	2.677490e-08	2.677490e-08
7.562751e+01	8.178228e+01	6.065037e-07	2.484336e-08	2.484336e-08
8.178228e+01	8.843794e+01	5.354515e-07	2.244730e-08	2.244730e-08
8.843794e+01	9.563525e+01	5.360553e-07	2.159828e-08	2.159828e-08
9.563525e+01	1.034183e+02	4.216776e-07	1.842107e-08	1.842107e-08
1.034183e+02	1.118348e+02	4.092891e-07	1.745214e-08	1.745214e-08
1.118348e+02	1.209362e+02	3.647260e-07	1.584268e-08	1.584268e-08
1.209362e+02	1.307783e+02	3.060950e-07	1.395673e-08	1.395673e-08
1.307783e+02	1.414214e+02	2.707003e-07	1.264887e-08	1.264887e-08
1.414214e+02	1.529306e+02	2.231196e-07	1.101909e-08	1.101909e-08
1.529306e+02	1.653765e+02	1.811654e-07	9.574741e-09	9.574741e-09
1.653765e+02	1.788353e+02	1.326287e-07	7.856247e-09	7.856247e-09
1.788353e+02	1.933894e+02	1.334060e-07	7.576951e-09	7.576951e-09
1.933894e+02	2.091279e+02	9.909121e-08	6.279649e-09	6.279649e-09
2.091279e+02	2.261473e+02	8.464135e-08	5.581086e-09	5.581086e-09
2.261473e+02	2.445518e+02	7.486827e-08	5.047616e-09	5.047616e-09
2.445518e+02	2.644540e+02	6.073726e-08	4.371964e-09	4.371964e-09
2.644540e+02	2.859760e+02	4.568946e-08	3.646416e-09	3.646416e-09
2.859760e+02	3.092495e+02	3.659959e-08	3.138389e-09	3.138389e-09
