# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_eta
ScaledBy=2.91491897461966288e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	2.874678e-04	1.739834e-05	1.739834e-05
-2.400000e+00	-2.300000e+00	3.232696e-04	1.844997e-05	1.844997e-05
-2.300000e+00	-2.200000e+00	3.590715e-04	1.944481e-05	1.944481e-05
-2.200000e+00	-2.100000e+00	4.264632e-04	2.119113e-05	2.119113e-05
-2.100000e+00	-2.000000e+00	4.580531e-04	2.196196e-05	2.196196e-05
-2.000000e+00	-1.900000e+00	5.275508e-04	2.356923e-05	2.356923e-05
-1.900000e+00	-1.800000e+00	5.791476e-04	2.473979e-05	2.473979e-05
-1.800000e+00	-1.700000e+00	6.360093e-04	2.587885e-05	2.587885e-05
-1.700000e+00	-1.600000e+00	7.086660e-04	2.731707e-05	2.731707e-05
-1.600000e+00	-1.500000e+00	7.855347e-04	2.876047e-05	2.876047e-05
-1.500000e+00	-1.400000e+00	8.171246e-04	2.933306e-05	2.933306e-05
-1.400000e+00	-1.300000e+00	9.108412e-04	3.100531e-05	3.100531e-05
-1.300000e+00	-1.200000e+00	9.603320e-04	3.179976e-05	3.179976e-05
-1.200000e+00	-1.100000e+00	1.020353e-03	3.277845e-05	3.277845e-05
-1.100000e+00	-1.000000e+00	1.170931e-03	3.511389e-05	3.511389e-05
-1.000000e+00	-9.000000e-01	1.236217e-03	3.607951e-05	3.607951e-05
-9.000000e-01	-8.000000e-01	1.254118e-03	3.633979e-05	3.633979e-05
-8.000000e-01	-7.000000e-01	1.322562e-03	3.731825e-05	3.731825e-05
-7.000000e-01	-6.000000e-01	1.424703e-03	3.873249e-05	3.873249e-05
-6.000000e-01	-5.000000e-01	1.459452e-03	3.923027e-05	3.923027e-05
-5.000000e-01	-4.000000e-01	1.440498e-03	3.897507e-05	3.897507e-05
-4.000000e-01	-3.000000e-01	1.522632e-03	4.004153e-05	4.004153e-05
-3.000000e-01	-2.000000e-01	1.575281e-03	4.072793e-05	4.072793e-05
-2.000000e-01	-1.000000e-01	1.627931e-03	4.140295e-05	4.140295e-05
-1.000000e-01	0.000000e+00	1.535268e-03	4.020734e-05	4.020734e-05
0.000000e+00	1.000000e-01	1.560539e-03	4.053691e-05	4.053691e-05
1.000000e-01	2.000000e-01	1.544745e-03	4.033124e-05	4.033124e-05
2.000000e-01	3.000000e-01	1.512102e-03	3.990283e-05	3.990283e-05
3.000000e-01	4.000000e-01	1.509996e-03	3.987504e-05	3.987504e-05
4.000000e-01	5.000000e-01	1.449975e-03	3.907451e-05	3.907451e-05
5.000000e-01	6.000000e-01	1.473141e-03	3.938542e-05	3.938542e-05
6.000000e-01	7.000000e-01	1.298344e-03	3.700497e-05	3.700497e-05
7.000000e-01	8.000000e-01	1.333092e-03	3.746652e-05	3.746652e-05
8.000000e-01	9.000000e-01	1.278337e-03	3.668900e-05	3.668900e-05
9.000000e-01	1.000000e+00	1.263595e-03	3.650722e-05	3.650722e-05
1.000000e+00	1.100000e+00	1.078267e-03	3.369586e-05	3.369586e-05
1.100000e+00	1.200000e+00	1.062473e-03	3.344815e-05	3.344815e-05
1.200000e+00	1.300000e+00	1.008770e-03	3.259187e-05	3.259187e-05
1.300000e+00	1.400000e+00	9.255831e-04	3.121914e-05	3.121914e-05
1.400000e+00	1.500000e+00	8.918873e-04	3.068177e-05	3.068177e-05
1.500000e+00	1.600000e+00	8.013296e-04	2.904818e-05	2.904818e-05
1.600000e+00	1.700000e+00	6.812881e-04	2.678420e-05	2.678420e-05
1.700000e+00	1.800000e+00	6.181084e-04	2.551206e-05	2.551206e-05
1.800000e+00	1.900000e+00	6.012605e-04	2.516197e-05	2.516197e-05
1.900000e+00	2.000000e+00	5.380807e-04	2.380329e-05	2.380329e-05
2.000000e+00	2.100000e+00	4.422581e-04	2.157999e-05	2.157999e-05
2.100000e+00	2.200000e+00	4.359402e-04	2.142529e-05	2.142529e-05
2.200000e+00	2.300000e+00	3.801314e-04	2.006226e-05	2.006226e-05
