# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=$b$-jet $p_\mathrm{T}$ spectrum
XLabel=$p_\mathrm{T}^{b\mathrm{-jet}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\mathrm{T}^{b\mathrm{-jet}}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/bjet_pt
ScaledBy=2.91491897461966288e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.162765e+01	6.171831e-05	1.998204e-06	1.998204e-06
2.162765e+01	2.338777e+01	6.120117e-05	1.913472e-06	1.913472e-06
2.338777e+01	2.529113e+01	5.930623e-05	1.811352e-06	1.811352e-06
2.529113e+01	2.734939e+01	5.985663e-05	1.749924e-06	1.749924e-06
2.734939e+01	2.957515e+01	5.601444e-05	1.627886e-06	1.627886e-06
2.957515e+01	3.198206e+01	5.507979e-05	1.552314e-06	1.552314e-06
3.198206e+01	3.458484e+01	5.146075e-05	1.442888e-06	1.442888e-06
3.458484e+01	3.739945e+01	4.986989e-05	1.365914e-06	1.365914e-06
3.739945e+01	4.044311e+01	4.549421e-05	1.254566e-06	1.254566e-06
4.044311e+01	4.373448e+01	4.079058e-05	1.142365e-06	1.142365e-06
4.373448e+01	4.729371e+01	4.023550e-05	1.091038e-06	1.091038e-06
4.729371e+01	5.114260e+01	3.518292e-05	9.810959e-07	9.810959e-07
5.114260e+01	5.530472e+01	3.288934e-05	9.121866e-07	9.121866e-07
5.530472e+01	5.980556e+01	2.973572e-05	8.340761e-07	8.340761e-07
5.980556e+01	6.467270e+01	2.732473e-05	7.688726e-07	7.688726e-07
6.467270e+01	6.993594e+01	2.414798e-05	6.950675e-07	6.950675e-07
6.993594e+01	7.562751e+01	2.212716e-05	6.403580e-07	6.403580e-07
7.562751e+01	8.178228e+01	2.061588e-05	5.943857e-07	5.943857e-07
8.178228e+01	8.843794e+01	1.846317e-05	5.404690e-07	5.404690e-07
8.843794e+01	9.563525e+01	1.625438e-05	4.876557e-07	4.876557e-07
9.563525e+01	1.034183e+02	1.442228e-05	4.417283e-07	4.417283e-07
1.034183e+02	1.118348e+02	1.316166e-05	4.057914e-07	4.057914e-07
1.118348e+02	1.209362e+02	1.210180e-05	3.741832e-07	3.741832e-07
