# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta R$
XLabel=$\Delta R_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=7.82657097943002976e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.071309e-04	3.392757e-05	3.392757e-05
5.000000e-01	6.000000e-01	7.407521e-04	4.576382e-05	4.576382e-05
6.000000e-01	7.000000e-01	6.898607e-04	4.416381e-05	4.416381e-05
7.000000e-01	8.000000e-01	7.972981e-04	4.747841e-05	4.747841e-05
8.000000e-01	9.000000e-01	8.283983e-04	4.839555e-05	4.839555e-05
9.000000e-01	1.000000e+00	7.775070e-04	4.688543e-05	4.688543e-05
1.000000e+00	1.100000e+00	9.160446e-04	5.089136e-05	5.089136e-05
1.100000e+00	1.200000e+00	8.594986e-04	4.929563e-05	4.929563e-05
1.200000e+00	1.300000e+00	1.043273e-03	5.431063e-05	5.431063e-05
1.300000e+00	1.400000e+00	9.923816e-04	5.296942e-05	5.296942e-05
1.400000e+00	1.500000e+00	1.096992e-03	5.583467e-05	5.583467e-05
1.500000e+00	1.600000e+00	1.212911e-03	5.855989e-05	5.855989e-05
1.600000e+00	1.700000e+00	1.379721e-03	6.245706e-05	6.245706e-05
1.700000e+00	1.800000e+00	1.388203e-03	6.264874e-05	6.264874e-05
1.800000e+00	1.900000e+00	1.436267e-03	6.372406e-05	6.372406e-05
1.900000e+00	2.000000e+00	1.580460e-03	6.696580e-05	6.696580e-05
2.000000e+00	2.100000e+00	1.628524e-03	6.785515e-05	6.785515e-05
2.100000e+00	2.200000e+00	1.789680e-03	7.113338e-05	7.113338e-05
2.200000e+00	2.300000e+00	1.747270e-03	7.028552e-05	7.028552e-05
2.300000e+00	2.400000e+00	1.767061e-03	7.079545e-05	7.079545e-05
2.400000e+00	2.500000e+00	2.035655e-03	7.586437e-05	7.586437e-05
2.500000e+00	2.600000e+00	2.111992e-03	7.727373e-05	7.727373e-05
2.600000e+00	2.700000e+00	2.106337e-03	7.717022e-05	7.717022e-05
2.700000e+00	2.800000e+00	2.324039e-03	8.106017e-05	8.106017e-05
2.800000e+00	2.900000e+00	2.456922e-03	8.344122e-05	8.344122e-05
2.900000e+00	3.000000e+00	2.618078e-03	8.603538e-05	8.603538e-05
3.000000e+00	3.100000e+00	2.595460e-03	8.566293e-05	8.566293e-05
3.100000e+00	3.200000e+00	2.284457e-03	8.036691e-05	8.036691e-05
3.200000e+00	3.300000e+00	1.569150e-03	6.660673e-05	6.660673e-05
3.300000e+00	3.400000e+00	1.116783e-03	5.619144e-05	5.619144e-05
3.400000e+00	3.500000e+00	9.499721e-04	5.182523e-05	5.182523e-05
3.500000e+00	3.600000e+00	6.615877e-04	4.324935e-05	4.324935e-05
3.600000e+00	3.700000e+00	5.287047e-04	3.866272e-05	3.866272e-05
3.700000e+00	3.800000e+00	4.240947e-04	3.462719e-05	3.462719e-05
3.800000e+00	3.900000e+00	3.505850e-04	3.148346e-05	3.148346e-05
3.900000e+00	4.000000e+00	2.629387e-04	2.726547e-05	2.726547e-05
4.000000e+00	4.100000e+00	2.205292e-04	2.497002e-05	2.497002e-05
4.100000e+00	4.200000e+00	2.261838e-04	2.528812e-05	2.528812e-05
4.200000e+00	4.300000e+00	1.894290e-04	2.314243e-05	2.314243e-05
4.300000e+00	4.400000e+00	1.187465e-04	1.832299e-05	1.832299e-05
4.400000e+00	4.500000e+00	1.046100e-04	1.719778e-05	1.719778e-05
4.500000e+00	4.600000e+00	9.895543e-05	1.672652e-05	1.672652e-05
4.600000e+00	4.700000e+00	8.199164e-05	1.522547e-05	1.522547e-05
4.700000e+00	4.800000e+00	5.371866e-05	1.232391e-05	1.232391e-05
4.800000e+00	4.900000e+00	5.371866e-05	1.232391e-05	1.232391e-05
4.900000e+00	5.000000e+00	3.958217e-05	1.057878e-05	1.057878e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.22975524040400701e-05
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.741750e-06	5.236387e-07	5.236387e-07
5.000000e-01	6.000000e-01	9.483500e-06	7.405370e-07	7.405370e-07
6.000000e-01	7.000000e-01	1.353134e-05	8.883433e-07	8.883433e-07
7.000000e-01	8.000000e-01	1.272177e-05	8.577015e-07	8.577015e-07
8.000000e-01	9.000000e-01	1.312655e-05	8.750695e-07	8.750695e-07
9.000000e-01	1.000000e+00	1.497699e-05	9.306250e-07	9.306250e-07
1.000000e+00	1.100000e+00	1.688526e-05	9.881349e-07	9.881349e-07
1.100000e+00	1.200000e+00	1.682743e-05	9.864414e-07	9.864414e-07
1.200000e+00	1.300000e+00	1.630699e-05	9.745048e-07	9.745048e-07
1.300000e+00	1.400000e+00	1.740569e-05	1.003247e-06	1.003247e-06
1.400000e+00	1.500000e+00	2.058614e-05	1.091063e-06	1.091063e-06
1.500000e+00	1.600000e+00	2.139570e-05	1.112310e-06	1.112310e-06
1.600000e+00	1.700000e+00	2.168483e-05	1.122782e-06	1.122782e-06
1.700000e+00	1.800000e+00	2.365092e-05	1.172319e-06	1.172319e-06
1.800000e+00	1.900000e+00	2.434484e-05	1.186495e-06	1.186495e-06
1.900000e+00	2.000000e+00	2.816137e-05	1.276114e-06	1.276114e-06
2.000000e+00	2.100000e+00	2.827702e-05	1.278731e-06	1.278731e-06
2.100000e+00	2.200000e+00	3.093703e-05	1.337525e-06	1.337525e-06
2.200000e+00	2.300000e+00	3.215138e-05	1.365973e-06	1.365973e-06
2.300000e+00	2.400000e+00	3.336573e-05	1.391439e-06	1.391439e-06
2.400000e+00	2.500000e+00	3.718226e-05	1.466325e-06	1.466325e-06
2.500000e+00	2.600000e+00	3.816531e-05	1.487832e-06	1.487832e-06
2.600000e+00	2.700000e+00	4.267575e-05	1.570916e-06	1.570916e-06
2.700000e+00	2.800000e+00	4.128792e-05	1.545162e-06	1.545162e-06
2.800000e+00	2.900000e+00	4.342749e-05	1.584692e-06	1.584692e-06
2.900000e+00	3.000000e+00	4.649228e-05	1.641695e-06	1.641695e-06
3.000000e+00	3.100000e+00	4.874751e-05	1.680944e-06	1.680944e-06
3.100000e+00	3.200000e+00	4.279140e-05	1.573043e-06	1.573043e-06
3.200000e+00	3.300000e+00	3.059007e-05	1.332515e-06	1.332515e-06
3.300000e+00	3.400000e+00	2.607963e-05	1.228042e-06	1.228042e-06
3.400000e+00	3.500000e+00	2.307266e-05	1.155078e-06	1.155078e-06
3.500000e+00	3.600000e+00	1.781048e-05	1.014846e-06	1.014846e-06
3.600000e+00	3.700000e+00	1.330003e-05	8.769781e-07	8.769781e-07
3.700000e+00	3.800000e+00	1.347351e-05	8.826790e-07	8.826790e-07
3.800000e+00	3.900000e+00	1.121829e-05	8.054261e-07	8.054261e-07
3.900000e+00	4.000000e+00	9.310022e-06	7.337325e-07	7.337325e-07
4.000000e+00	4.100000e+00	7.690888e-06	6.668845e-07	6.668845e-07
4.100000e+00	4.200000e+00	6.245232e-06	6.009478e-07	6.009478e-07
4.200000e+00	4.300000e+00	6.707842e-06	6.228075e-07	6.228075e-07
4.300000e+00	4.400000e+00	4.683924e-06	5.204360e-07	5.204360e-07
4.400000e+00	4.500000e+00	3.353921e-06	4.403914e-07	4.403914e-07
4.500000e+00	4.600000e+00	3.411747e-06	4.441716e-07	4.441716e-07
4.600000e+00	4.700000e+00	2.717832e-06	3.964366e-07	3.964366e-07
4.700000e+00	4.800000e+00	1.792613e-06	3.219627e-07	3.219627e-07
4.800000e+00	4.900000e+00	1.850439e-06	3.271145e-07	3.271145e-07
4.900000e+00	5.000000e+00	1.156524e-06	2.586067e-07	2.586067e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dR
ScaledBy=1.32581079477180005e-05
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	1.355774e-06	1.620460e-07	1.620460e-07
5.000000e-01	6.000000e-01	3.951113e-06	2.766332e-07	2.766332e-07
6.000000e-01	7.000000e-01	4.570895e-06	2.975399e-07	2.975399e-07
7.000000e-01	8.000000e-01	4.261004e-06	2.898767e-07	2.898767e-07
8.000000e-01	9.000000e-01	5.364991e-06	3.235128e-07	3.235128e-07
9.000000e-01	1.000000e+00	4.919523e-06	3.086783e-07	3.086783e-07
1.000000e+00	1.100000e+00	4.648368e-06	3.000509e-07	3.000509e-07
1.100000e+00	1.200000e+00	5.829828e-06	3.360257e-07	3.360257e-07
1.200000e+00	1.300000e+00	5.713619e-06	3.326597e-07	3.326597e-07
1.300000e+00	1.400000e+00	6.023510e-06	3.415619e-07	3.415619e-07
1.400000e+00	1.500000e+00	6.933816e-06	3.664635e-07	3.664635e-07
1.500000e+00	1.600000e+00	7.050025e-06	3.695217e-07	3.695217e-07
1.600000e+00	1.700000e+00	7.844121e-06	3.897775e-07	3.897775e-07
1.700000e+00	1.800000e+00	8.715690e-06	4.108615e-07	4.108615e-07
1.800000e+00	1.900000e+00	8.618849e-06	4.085726e-07	4.085726e-07
