# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\eta$
XLabel=$\Delta\eta_{jj}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{jj}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_deta
ScaledBy=7.82657097943002976e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.674624e-03	8.695953e-05	8.695953e-05
1.000000e-01	2.000000e-01	2.702897e-03	8.750933e-05	8.750933e-05
2.000000e-01	3.000000e-01	2.708552e-03	8.750933e-05	8.750933e-05
3.000000e-01	4.000000e-01	2.618078e-03	8.603538e-05	8.603538e-05
4.000000e-01	5.000000e-01	2.767925e-03	8.846326e-05	8.846326e-05
5.000000e-01	6.000000e-01	2.705724e-03	8.755499e-05	8.755499e-05
6.000000e-01	7.000000e-01	2.553050e-03	8.496019e-05	8.496019e-05
7.000000e-01	8.000000e-01	2.451267e-03	8.324941e-05	8.324941e-05
8.000000e-01	9.000000e-01	2.247702e-03	7.971777e-05	7.971777e-05
9.000000e-01	1.000000e+00	1.956490e-03	7.437460e-05	7.437460e-05
1.000000e+00	1.100000e+00	2.027173e-03	7.570615e-05	7.570615e-05
1.100000e+00	1.200000e+00	1.959318e-03	7.442832e-05	7.442832e-05
1.200000e+00	1.300000e+00	1.874499e-03	7.290921e-05	7.290921e-05
1.300000e+00	1.400000e+00	1.588942e-03	6.702545e-05	6.702545e-05
1.400000e+00	1.500000e+00	1.549359e-03	6.630602e-05	6.630602e-05
1.500000e+00	1.600000e+00	1.436267e-03	6.372406e-05	6.372406e-05
1.600000e+00	1.700000e+00	1.297730e-03	6.057284e-05	6.057284e-05
1.700000e+00	1.800000e+00	1.244011e-03	5.930590e-05	5.930590e-05
1.800000e+00	1.900000e+00	1.176156e-03	5.766580e-05	5.766580e-05
1.900000e+00	2.000000e+00	9.499721e-04	5.182523e-05	5.182523e-05
2.000000e+00	2.100000e+00	9.669359e-04	5.228591e-05	5.228591e-05
2.100000e+00	2.200000e+00	8.114345e-04	4.789746e-05	4.789746e-05
