# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet $\Delta\phi$
XLabel=$\Delta\phi_{jj}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{jj}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=7.82657097943002976e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	8.189608e-04	6.070542e-05	6.070542e-05
6.283185e-02	1.256637e-01	8.999569e-04	6.363657e-05	6.363657e-05
1.256637e-01	1.884956e-01	1.007951e-03	6.734657e-05	6.734657e-05
1.884956e-01	2.513274e-01	8.549597e-04	6.235090e-05	6.235090e-05
2.513274e-01	3.141593e-01	8.819571e-04	6.299693e-05	6.299693e-05
3.141593e-01	3.769911e-01	1.066450e-03	6.927337e-05	6.927337e-05
3.769911e-01	4.398230e-01	1.165443e-03	7.241712e-05	7.241712e-05
4.398230e-01	5.026548e-01	1.340937e-03	7.767839e-05	7.767839e-05
5.026548e-01	5.654867e-01	1.250939e-03	7.502635e-05	7.502635e-05
5.654867e-01	6.283185e-01	1.237442e-03	7.462055e-05	7.462055e-05
6.283185e-01	6.911504e-01	1.124945e-03	7.114780e-05	7.114780e-05
6.911504e-01	7.539822e-01	1.079949e-03	6.971041e-05	6.971041e-05
7.539822e-01	8.168141e-01	1.142944e-03	7.171471e-05	7.171471e-05
8.168141e-01	8.796459e-01	1.201444e-03	7.352715e-05	7.352715e-05
8.796459e-01	9.424778e-01	1.124945e-03	7.114780e-05	7.114780e-05
9.424778e-01	1.005310e+00	1.034945e-03	6.824223e-05	6.824223e-05
1.005310e+00	1.068142e+00	1.241938e-03	7.475587e-05	7.475587e-05
1.068142e+00	1.130973e+00	1.129461e-03	7.129096e-05	7.129096e-05
1.130973e+00	1.193805e+00	1.201440e-03	7.352691e-05	7.352691e-05
1.193805e+00	1.256637e+00	1.142943e-03	7.171460e-05	7.171460e-05
1.256637e+00	1.319469e+00	1.237438e-03	7.462031e-05	7.462031e-05
1.319469e+00	1.382301e+00	1.394930e-03	7.922669e-05	7.922669e-05
1.382301e+00	1.445133e+00	1.354432e-03	7.832709e-05	7.832709e-05
1.445133e+00	1.507964e+00	1.354454e-03	7.806941e-05	7.806941e-05
1.507964e+00	1.570796e+00	1.363432e-03	7.832709e-05	7.832709e-05
1.570796e+00	1.633628e+00	1.367931e-03	7.845625e-05	7.845625e-05
1.633628e+00	1.696460e+00	1.466926e-03	8.124553e-05	8.124553e-05
1.696460e+00	1.759292e+00	1.462427e-03	8.112084e-05	8.112084e-05
1.759292e+00	1.822124e+00	1.556922e-03	8.370064e-05	8.370064e-05
1.822124e+00	1.884956e+00	1.484926e-03	8.174246e-05	8.174246e-05
1.884956e+00	1.947787e+00	1.642444e-03	8.596943e-05	8.596943e-05
1.947787e+00	2.010619e+00	1.642418e-03	8.596806e-05	8.596806e-05
2.010619e+00	2.073451e+00	1.592921e-03	8.466274e-05	8.466274e-05
2.073451e+00	2.136283e+00	1.592921e-03	8.466274e-05	8.466274e-05
2.136283e+00	2.199115e+00	1.817908e-03	9.044434e-05	9.044434e-05
2.199115e+00	2.261947e+00	1.660417e-03	8.643784e-05	8.643784e-05
2.261947e+00	2.324779e+00	1.898905e-03	9.243723e-05	9.243723e-05
2.324779e+00	2.387610e+00	1.795439e-03	9.010934e-05	9.010934e-05
2.387610e+00	2.450442e+00	2.029397e-03	9.556062e-05	9.556062e-05
2.450442e+00	2.513274e+00	2.083395e-03	9.682359e-05	9.682359e-05
2.513274e+00	2.576106e+00	2.096895e-03	9.713677e-05	9.713677e-05
2.576106e+00	2.638938e+00	2.164391e-03	9.868774e-05	9.868774e-05
2.638938e+00	2.701770e+00	2.326383e-03	1.023142e-04	1.023142e-04
2.701770e+00	2.764602e+00	2.209389e-03	9.970834e-05	9.970834e-05
2.764602e+00	2.827433e+00	2.344419e-03	1.027109e-04	1.027109e-04
2.827433e+00	2.890265e+00	2.375880e-03	1.035926e-04	1.035926e-04
2.890265e+00	2.953097e+00	2.461376e-03	1.052409e-04	1.052409e-04
2.953097e+00	3.015929e+00	2.515374e-03	1.063890e-04	1.063890e-04
3.015929e+00	3.078761e+00	2.663866e-03	1.094842e-04	1.094842e-04
3.078761e+00	3.141593e+00	2.632367e-03	1.088350e-04	1.088350e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_dphi
ScaledBy=1.22975524040400701e-05
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.283185e-02	1.711820e-05	1.261897e-06	1.261897e-06
6.283185e-02	1.256637e-01	1.932700e-05	1.333689e-06	1.333689e-06
1.256637e-01	1.884956e-01	1.923494e-05	1.330509e-06	1.330509e-06
1.884956e-01	2.513274e-01	1.969514e-05	1.346332e-06	1.346332e-06
2.513274e-01	3.141593e-01	1.895884e-05	1.320925e-06	1.320925e-06
