# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Di-jet invariant mass
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LogX=1
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=7.82657097943002976e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	9.343372e-06	7.868541e-07	7.868541e-07
5.426665e+01	5.889739e+01	1.062357e-05	8.053707e-07	8.053707e-07
5.889739e+01	6.392328e+01	1.181348e-05	8.152077e-07	8.152077e-07
6.392328e+01	6.937805e+01	1.492752e-05	8.796125e-07	8.796125e-07
6.937805e+01	7.529829e+01	1.427919e-05	8.257867e-07	8.257867e-07
7.529829e+01	8.172373e+01	1.487255e-05	8.089601e-07	8.089601e-07
8.172373e+01	8.869746e+01	1.285185e-05	7.218320e-07	7.218320e-07
8.869746e+01	9.626628e+01	1.367176e-05	7.146345e-07	7.146345e-07
9.626628e+01	1.044810e+02	1.383582e-05	6.900680e-07	6.900680e-07
1.044810e+02	1.133967e+02	1.385790e-05	6.629135e-07	6.629135e-07
1.133967e+02	1.230731e+02	1.291458e-05	6.142836e-07	6.142836e-07
1.230731e+02	1.335753e+02	1.432198e-05	6.209364e-07	6.209364e-07
1.335753e+02	1.449737e+02	1.170765e-05	5.388882e-07	5.388882e-07
1.449737e+02	1.573448e+02	1.092423e-05	4.996631e-07	4.996631e-07
1.573448e+02	1.707715e+02	1.158151e-05	4.938370e-07	4.938370e-07
1.707715e+02	1.853439e+02	1.001130e-05	4.407226e-07	4.407226e-07
1.853439e+02	2.011599e+02	9.081101e-06	4.029088e-07	4.029088e-07
2.011599e+02	2.183255e+02	9.520075e-06	3.959830e-07	3.959830e-07
2.183255e+02	2.369559e+02	8.999206e-06	3.695530e-07	3.695530e-07
2.369559e+02	2.571760e+02	8.739131e-06	3.495653e-07	3.495653e-07
2.571760e+02	2.791217e+02	7.601061e-06	3.129307e-07	3.129307e-07
2.791217e+02	3.029400e+02	7.786903e-06	3.044905e-07	3.044905e-07
3.029400e+02	3.287907e+02	7.098129e-06	2.786260e-07	2.786260e-07
3.287907e+02	3.568475e+02	6.479545e-06	2.559254e-07	2.559254e-07
3.568475e+02	3.872983e+02	6.062980e-06	2.372627e-07	2.372627e-07
3.872983e+02	4.203477e+02	5.594816e-06	2.187746e-07	2.187746e-07
4.203477e+02	4.562172e+02	4.477077e-06	1.878540e-07	1.878540e-07
4.562172e+02	4.951476e+02	4.110543e-06	1.727790e-07	1.727790e-07
4.951476e+02	5.374001e+02	3.760587e-06	1.586307e-07	1.586307e-07
5.374001e+02	5.832581e+02	3.014848e-06	1.363361e-07	1.363361e-07
5.832581e+02	6.330293e+02	2.482418e-06	1.190216e-07	1.190216e-07
6.330293e+02	6.870476e+02	2.109287e-06	1.053315e-07	1.053315e-07
6.870476e+02	7.456754e+02	1.726439e-06	9.124509e-08	9.124509e-08
7.456754e+02	8.093062e+02	1.213017e-06	7.341513e-08	7.341513e-08
8.093062e+02	8.783667e+02	9.825465e-07	6.342310e-08	6.342310e-08
8.783667e+02	9.533204e+02	7.091471e-07	5.171986e-08	5.171986e-08
9.533204e+02	1.034670e+03	4.796177e-07	4.082778e-08	4.082778e-08
1.034670e+03	1.122962e+03	3.714568e-07	3.448889e-08	3.448889e-08
1.122962e+03	1.218787e+03	2.153851e-07	2.520892e-08	2.520892e-08
1.218787e+03	1.322790e+03	1.386423e-07	1.941381e-08	1.941381e-08
1.322790e+03	1.435668e+03	7.764688e-08	1.394579e-08	1.394579e-08
1.435668e+03	1.558178e+03	7.615773e-08	1.325736e-08	1.325736e-08
1.558178e+03	1.691142e+03	3.402182e-08	8.505453e-09	8.505453e-09
1.691142e+03	1.835452e+03	2.351021e-08	6.786812e-09	6.786812e-09
1.835452e+03	1.992077e+03	1.624624e-08	5.415415e-09	5.415415e-09
1.992077e+03	2.162067e+03	3.326429e-09	2.352140e-09	2.352140e-09
2.162067e+03	2.346563e+03	6.129775e-09	3.064888e-09	3.064888e-09
2.346563e+03	2.546802e+03	2.823923e-09	1.996816e-09	1.996816e-09
2.546802e+03	2.764129e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764129e+03	3.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=1.22975524040400701e-05
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	3.388269e-07	2.142929e-08	2.142929e-08
5.426665e+01	5.889739e+01	4.383101e-07	2.339527e-08	2.339527e-08
5.889739e+01	6.392328e+01	4.889908e-07	2.371955e-08	2.371955e-08
6.392328e+01	6.937805e+01	4.622052e-07	2.213562e-08	2.213562e-08
6.937805e+01	7.529829e+01	5.411222e-07	2.299007e-08	2.299007e-08
7.529829e+01	8.172373e+01	5.111757e-07	2.144846e-08	2.144846e-08
8.172373e+01	8.869746e+01	4.378181e-07	1.905358e-08	1.905358e-08
8.869746e+01	9.626628e+01	4.675716e-07	1.890046e-08	1.890046e-08
9.626628e+01	1.044810e+02	4.561493e-07	1.791924e-08	1.791924e-08
1.044810e+02	1.133967e+02	4.553093e-07	1.718454e-08	1.718454e-08
1.133967e+02	1.230731e+02	4.207108e-07	1.590112e-08	1.590112e-08
1.230731e+02	1.335753e+02	3.898323e-07	1.465079e-08	1.465079e-08
1.335753e+02	1.449737e+02	3.637475e-07	1.358440e-08	1.358440e-08
1.449737e+02	1.573448e+02	3.164500e-07	1.216216e-08	1.216216e-08
1.573448e+02	1.707715e+02	2.851107e-07	1.108114e-08	1.108114e-08
1.707715e+02	1.853439e+02	2.619013e-07	1.019450e-08	1.019450e-08
1.853439e+02	2.011599e+02	2.168118e-07	8.903392e-09	8.903392e-09
2.011599e+02	2.183255e+02	1.967336e-07	8.140896e-09	8.140896e-09
2.183255e+02	2.369559e+02	1.694710e-07	7.252687e-09	7.252687e-09
2.369559e+02	2.571760e+02	1.401321e-07	6.330522e-09	6.330522e-09
2.571760e+02	2.791217e+02	1.114591e-07	5.419330e-09	5.419330e-09
2.791217e+02	3.029400e+02	9.686947e-08	4.849540e-09	4.849540e-09
3.029400e+02	3.287907e+02	8.120059e-08	4.273649e-09	4.273649e-09
3.287907e+02	3.568475e+02	6.389228e-08	3.628837e-09	3.628837e-09
3.568475e+02	3.872983e+02	5.203272e-08	3.143413e-09	3.143413e-09
3.872983e+02	4.203477e+02	4.216754e-08	2.727498e-09	2.727498e-09
4.203477e+02	4.562172e+02	3.530559e-08	2.385732e-09	2.385732e-09
4.562172e+02	4.951476e+02	2.807359e-08	2.042052e-09	2.042052e-09
4.951476e+02	5.374001e+02	2.340284e-08	1.789660e-09	1.789660e-09
5.374001e+02	5.832581e+02	1.866257e-08	1.534054e-09	1.534054e-09
5.832581e+02	6.330293e+02	1.614959e-08	1.369790e-09	1.369790e-09
6.330293e+02	6.870476e+02	1.166838e-08	1.117628e-09	1.117628e-09
6.870476e+02	7.456754e+02	1.035644e-08	1.020265e-09	1.020265e-09
7.456754e+02	8.093062e+02	5.725297e-09	7.213195e-10	7.213195e-10
8.093062e+02	8.783667e+02	6.196219e-09	7.202959e-10	7.202959e-10
8.783667e+02	9.533204e+02	4.397508e-09	5.824641e-10	5.824641e-10
9.533204e+02	1.034670e+03	4.336100e-09	5.551807e-10	5.551807e-10
1.034670e+03	1.122962e+03	4.126141e-09	5.280319e-10	5.280319e-10
1.122962e+03	1.218787e+03	3.922467e-09	4.939504e-10	4.939504e-10
1.218787e+03	1.322790e+03	2.946828e-09	4.197748e-10	4.197748e-10
1.322790e+03	1.435668e+03	2.254074e-09	3.474517e-10	3.474517e-10
1.435668e+03	1.558178e+03	1.652043e-09	2.792462e-10	2.792462e-10
1.558178e+03	1.691142e+03	1.435174e-09	2.498318e-10	2.498318e-10
1.691142e+03	1.835452e+03	1.001771e-09	2.003542e-10	2.003542e-10
1.835452e+03	1.992077e+03	7.384032e-10	1.651120e-10	1.651120e-10
1.992077e+03	2.162067e+03	4.422265e-10	1.226516e-10	1.226516e-10
2.162067e+03	2.346563e+03	5.014849e-10	1.253712e-10	1.253712e-10
2.346563e+03	2.546802e+03	4.331790e-10	1.118463e-10	1.118463e-10
2.546802e+03	2.764129e+03	7.982381e-11	5.949715e-11	5.949715e-11
2.764129e+03	3.000000e+03	2.206443e-10	7.354811e-11	7.354811e-11
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ErrorBars=1
LineColor=violet
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet12_m
ScaledBy=1.32581079477180005e-05
Title=X2000_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	5.426665e+01	1.234727e-07	7.486636e-09	7.486636e-09
5.426665e+01	5.889739e+01	1.313314e-07	7.411458e-09	7.411458e-09
5.889739e+01	6.392328e+01	1.672500e-07	8.028255e-09	8.028255e-09
6.392328e+01	6.937805e+01	1.601361e-07	7.540517e-09	7.540517e-09
6.937805e+01	7.529829e+01	1.756807e-07	7.581185e-09	7.581185e-09
7.529829e+01	8.172373e+01	1.718150e-07	7.196541e-09	7.196541e-09
8.172373e+01	8.869746e+01	1.616393e-07	6.700167e-09	6.700167e-09
8.869746e+01	9.626628e+01	1.512337e-07	6.220924e-09	6.220924e-09
9.626628e+01	1.044810e+02	1.551396e-07	6.047968e-09	6.047968e-09
1.044810e+02	1.133967e+02	1.448971e-07	5.610437e-09	5.610437e-09
1.133967e+02	1.230731e+02	1.453155e-07	5.393165e-09	5.393165e-09
1.230731e+02	1.335753e+02	1.213487e-07	4.730662e-09	4.730662e-09
1.335753e+02	1.449737e+02	1.216630e-07	4.546758e-09	4.546758e-09
1.449737e+02	1.573448e+02	1.120970e-07	4.189261e-09	4.189261e-09
1.573448e+02	1.707715e+02	9.722545e-08	3.744984e-09	3.744984e-09
1.707715e+02	1.853439e+02	9.529659e-08	3.558916e-09	3.558916e-09
1.853439e+02	2.011599e+02	8.131310e-08	3.155561e-09	3.155561e-09
2.011599e+02	2.183255e+02	7.029402e-08	2.816270e-09	2.816270e-09
2.183255e+02	2.369559e+02	6.133653e-08	2.533730e-09	2.533730e-09
2.369559e+02	2.571760e+02	5.325750e-08	2.258621e-09	2.258621e-09
2.571760e+02	2.791217e+02	4.209768e-08	1.927521e-09	1.927521e-09
2.791217e+02	3.029400e+02	4.065823e-08	1.818292e-09	1.818292e-09
3.029400e+02	3.287907e+02	2.779655e-08	1.443125e-09	1.443125e-09
3.287907e+02	3.568475e+02	2.485156e-08	1.309792e-09	1.309792e-09
3.568475e+02	3.872983e+02	2.028996e-08	1.136020e-09	1.136020e-09
3.872983e+02	4.203477e+02	1.594023e-08	9.665185e-10	9.665185e-10
4.203477e+02	4.562172e+02	1.155521e-08	7.898976e-10	7.898976e-10
4.562172e+02	4.951476e+02	8.109388e-09	6.351762e-10	6.351762e-10
4.951476e+02	5.374001e+02	7.059234e-09	5.688493e-10	5.688493e-10
5.374001e+02	5.832581e+02	4.688102e-09	4.449751e-10	4.449751e-10
5.832581e+02	6.330293e+02	3.696875e-09	3.792914e-10	3.792914e-10
6.330293e+02	6.870476e+02	3.657198e-09	3.656495e-10	3.656495e-10
6.870476e+02	7.456754e+02	2.477690e-09	2.860990e-10	2.860990e-10
7.456754e+02	8.093062e+02	1.887180e-09	2.396722e-10	2.396722e-10
8.093062e+02	8.783667e+02	1.458353e-09	2.022373e-10	2.022373e-10
8.783667e+02	9.533204e+02	8.527272e-10	1.484408e-10	1.484408e-10
9.533204e+02	1.034670e+03	8.094924e-10	1.388268e-10	1.388268e-10
1.034670e+03	1.122962e+03	4.826036e-10	1.028914e-10	1.028914e-10
1.122962e+03	1.218787e+03	4.850893e-10	9.901843e-11	9.901843e-11
1.218787e+03	1.322790e+03	2.607182e-10	7.449093e-11	7.449093e-11
1.322790e+03	1.435668e+03	3.088535e-10	7.279746e-11	7.279746e-11
1.435668e+03	1.558178e+03	2.213328e-10	5.915367e-11	5.915367e-11
1.558178e+03	1.691142e+03	1.747980e-10	5.045983e-11	5.045983e-11
1.691142e+03	1.835452e+03	1.207912e-10	4.026373e-11	4.026373e-11
1.835452e+03	1.992077e+03	8.656179e-11	3.271728e-11	3.271728e-11
1.992077e+03	2.162067e+03	9.114983e-11	3.222633e-11	3.222633e-11
2.162067e+03	2.346563e+03	4.199159e-11	2.099580e-11	2.099580e-11
2.346563e+03	2.546802e+03	4.836271e-11	2.162846e-11	2.162846e-11
2.546802e+03	2.764129e+03	2.673602e-11	1.543605e-11	1.543605e-11
2.764129e+03	3.000000e+03	-8.211353e-12	1.422248e-11	1.422248e-11
# END HISTO1D

