# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\eta$ distribution
XLabel=$\eta^\mathrm{jet}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^\mathrm{jet}$ [pb]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=2.48681561259271548e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	3.305913e-04	1.723326e-05	1.723326e-05
-2.400000e+00	-2.300000e+00	3.593384e-04	1.796692e-05	1.796692e-05
-2.300000e+00	-2.200000e+00	4.015607e-04	1.899317e-05	1.899317e-05
-2.200000e+00	-2.100000e+00	4.554614e-04	2.022775e-05	2.022775e-05
-2.100000e+00	-2.000000e+00	4.851069e-04	2.087567e-05	2.087567e-05
-2.000000e+00	-1.900000e+00	5.381093e-04	2.198655e-05	2.198655e-05
-1.900000e+00	-1.800000e+00	5.938067e-04	2.313132e-05	2.313132e-05
-1.800000e+00	-1.700000e+00	6.378257e-04	2.393717e-05	2.393717e-05
-1.700000e+00	-1.600000e+00	7.204735e-04	2.544080e-05	2.544080e-05
-1.600000e+00	-1.500000e+00	7.977313e-04	2.677011e-05	2.677011e-05
-1.500000e+00	-1.400000e+00	8.219866e-04	2.717404e-05	2.717404e-05
-1.400000e+00	-1.300000e+00	9.127196e-04	2.866273e-05	2.866273e-05
-1.300000e+00	-1.200000e+00	9.747054e-04	2.959092e-05	2.959092e-05
-1.200000e+00	-1.100000e+00	1.014233e-03	3.018496e-05	3.018496e-05
-1.100000e+00	-1.000000e+00	1.141798e-03	3.202702e-05	3.202702e-05
-1.000000e+00	-9.000000e-01	1.212767e-03	3.300735e-05	3.300735e-05
-9.000000e-01	-8.000000e-01	1.222649e-03	3.314154e-05	3.314154e-05
-8.000000e-01	-7.000000e-01	1.291822e-03	3.406616e-05	3.406616e-05
-7.000000e-01	-6.000000e-01	1.393335e-03	3.537933e-05	3.537933e-05
-6.000000e-01	-5.000000e-01	1.431964e-03	3.588890e-05	3.588890e-05
-5.000000e-01	-4.000000e-01	1.409505e-03	3.560670e-05	3.560670e-05
-4.000000e-01	-3.000000e-01	1.502933e-03	3.674444e-05	3.674444e-05
-3.000000e-01	-2.000000e-01	1.536172e-03	3.714854e-05	3.714854e-05
-2.000000e-01	-1.000000e-01	1.590072e-03	3.779464e-05	3.779464e-05
-1.000000e-01	0.000000e+00	1.511018e-03	3.684314e-05	3.684314e-05
0.000000e+00	1.000000e-01	1.552342e-03	3.734354e-05	3.734354e-05
1.000000e-01	2.000000e-01	1.539765e-03	3.719196e-05	3.719196e-05
2.000000e-01	3.000000e-01	1.478678e-03	3.644673e-05	3.644673e-05
3.000000e-01	4.000000e-01	1.466101e-03	3.629140e-05	3.629140e-05
4.000000e-01	5.000000e-01	1.428370e-03	3.582138e-05	3.582138e-05
5.000000e-01	6.000000e-01	1.455321e-03	3.615772e-05	3.615772e-05
6.000000e-01	7.000000e-01	1.306195e-03	3.427870e-05	3.427870e-05
7.000000e-01	8.000000e-01	1.321467e-03	3.445483e-05	3.445483e-05
8.000000e-01	9.000000e-01	1.287330e-03	3.400688e-05	3.400688e-05
9.000000e-01	1.000000e+00	1.258583e-03	3.364903e-05	3.364903e-05
1.000000e+00	1.100000e+00	1.076219e-03	3.109367e-05	3.109367e-05
1.100000e+00	1.200000e+00	1.047471e-03	3.067559e-05	3.067559e-05
1.200000e+00	1.300000e+00	9.971641e-04	2.992989e-05	2.992989e-05
1.300000e+00	1.400000e+00	9.333815e-04	2.895686e-05	2.895686e-05
1.400000e+00	1.500000e+00	8.758874e-04	2.807960e-05	2.807960e-05
1.500000e+00	1.600000e+00	8.112065e-04	2.699526e-05	2.699526e-05
1.600000e+00	1.700000e+00	6.881331e-04	2.486326e-05	2.486326e-05
1.700000e+00	1.800000e+00	6.441141e-04	2.405488e-05	2.405488e-05
1.800000e+00	1.900000e+00	6.072819e-04	2.335700e-05	2.335700e-05
1.900000e+00	2.000000e+00	5.587712e-04	2.240468e-05	2.240468e-05
2.000000e+00	2.100000e+00	4.527664e-04	2.016782e-05	2.016782e-05
2.100000e+00	2.200000e+00	4.473763e-04	2.008763e-05	2.008763e-05
2.200000e+00	2.300000e+00	4.096458e-04	1.922544e-05	1.922544e-05
2.300000e+00	2.400000e+00	3.198112e-04	1.699751e-05	1.699751e-05
2.400000e+00	2.500000e+00	3.395748e-04	1.746584e-05	1.746584e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_eta
ScaledBy=3.77256527843456277e-06
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	8.781083e-06	3.946804e-07	3.946804e-07
-2.400000e+00	-2.300000e+00	9.809978e-06	4.179164e-07	4.179164e-07
-2.300000e+00	-2.200000e+00	1.018251e-05	4.257495e-07	4.257495e-07
-2.200000e+00	-2.100000e+00	1.115818e-05	4.449059e-07	4.449059e-07
-2.100000e+00	-2.000000e+00	1.232900e-05	4.676655e-07	4.676655e-07
-2.000000e+00	-1.900000e+00	1.271927e-05	4.763329e-07	4.763329e-07
-1.900000e+00	-1.800000e+00	1.436905e-05	5.048768e-07	5.048768e-07
-1.800000e+00	-1.700000e+00	1.428035e-05	5.039410e-07	5.039410e-07
-1.700000e+00	-1.600000e+00	1.502541e-05	5.168884e-07	5.168884e-07
-1.600000e+00	-1.500000e+00	1.598335e-05	5.324825e-07	5.324825e-07
-1.500000e+00	-1.400000e+00	1.674615e-05	5.450406e-07	5.450406e-07
-1.400000e+00	-1.300000e+00	1.742025e-05	5.570336e-07	5.570336e-07
-1.300000e+00	-1.200000e+00	1.892811e-05	5.800050e-07	5.800050e-07
-1.200000e+00	-1.100000e+00	1.972639e-05	5.926183e-07	5.926183e-07
-1.100000e+00	-1.000000e+00	2.034728e-05	6.007926e-07	6.007926e-07
-1.000000e+00	-9.000000e-01	2.205028e-05	6.264352e-07	6.264352e-07
-9.000000e-01	-8.000000e-01	2.281308e-05	6.371443e-07	6.371443e-07
-8.000000e-01	-7.000000e-01	2.297273e-05	6.388706e-07	6.388706e-07
-7.000000e-01	-6.000000e-01	2.350492e-05	6.462170e-07	6.462170e-07
-6.000000e-01	-5.000000e-01	2.384197e-05	6.513101e-07	6.513101e-07
-5.000000e-01	-4.000000e-01	2.467573e-05	6.620922e-07	6.620922e-07
-4.000000e-01	-3.000000e-01	2.501278e-05	6.670642e-07	6.670642e-07
-3.000000e-01	-2.000000e-01	2.540305e-05	6.727014e-07	6.727014e-07
-2.000000e-01	-1.000000e-01	2.643195e-05	6.856749e-07	6.856749e-07
-1.000000e-01	0.000000e+00	2.623681e-05	6.831459e-07	6.831459e-07
0.000000e+00	1.000000e-01	2.581106e-05	6.766661e-07	6.766661e-07
1.000000e-01	2.000000e-01	2.570463e-05	6.771310e-07	6.771310e-07
2.000000e-01	3.000000e-01	2.495956e-05	6.658837e-07	6.658837e-07
