# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Jet $\phi$ distribution
XLabel=$\phi^\mathrm{jet}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{jet}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=2.48681561259271548e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	7.870841e-04	2.374223e-05	2.374223e-05
1.256637e-01	2.513274e-01	7.742162e-04	2.352600e-05	2.352600e-05
2.513274e-01	3.769911e-01	7.663525e-04	2.340622e-05	2.340622e-05
3.769911e-01	5.026548e-01	8.128195e-04	2.410538e-05	2.410538e-05
5.026548e-01	6.283185e-01	7.742162e-04	2.354771e-05	2.354771e-05
6.283185e-01	7.539822e-01	7.449061e-04	2.307638e-05	2.307638e-05
7.539822e-01	8.796459e-01	8.163941e-04	2.417947e-05	2.417947e-05
8.796459e-01	1.005310e+00	8.085277e-04	2.406287e-05	2.406287e-05
1.005310e+00	1.130973e+00	7.970970e-04	2.389257e-05	2.389257e-05
1.130973e+00	1.256637e+00	7.291769e-04	2.283142e-05	2.283142e-05
1.256637e+00	1.382301e+00	7.627763e-04	2.335151e-05	2.335151e-05
1.382301e+00	1.507964e+00	7.713610e-04	2.352613e-05	2.352613e-05
1.507964e+00	1.633628e+00	7.699251e-04	2.346068e-05	2.346068e-05
1.633628e+00	1.759292e+00	7.935161e-04	2.381740e-05	2.381740e-05
1.759292e+00	1.884956e+00	7.563424e-04	2.325282e-05	2.325282e-05
1.884956e+00	2.010619e+00	7.799396e-04	2.361286e-05	2.361286e-05
2.010619e+00	2.136283e+00	7.348960e-04	2.292078e-05	2.292078e-05
2.136283e+00	2.261947e+00	7.734995e-04	2.351508e-05	2.351508e-05
2.261947e+00	2.387610e+00	7.491995e-04	2.314285e-05	2.314285e-05
2.387610e+00	2.513274e+00	7.856525e-04	2.369909e-05	2.369909e-05
2.513274e+00	2.638938e+00	8.078137e-04	2.403101e-05	2.403101e-05
2.638938e+00	2.764602e+00	7.792186e-04	2.360185e-05	2.360185e-05
2.764602e+00	2.890265e+00	7.942373e-04	2.382831e-05	2.382831e-05
2.890265e+00	3.015929e+00	7.792186e-04	2.360185e-05	2.360185e-05
3.015929e+00	3.141593e+00	8.042391e-04	2.397778e-05	2.397778e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/jet_phi
ScaledBy=3.77256527843456277e-06
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
