# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=Missing transverse energy
XLabel=$E_\mathrm{T}^\mathrm{miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\mathrm{T}^\mathrm{miss}$ [pb/GeV]
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met
ScaledBy=6.74607198467078117e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	5.507564e-06	5.181079e-07	5.181079e-07
5.000000e+00	1.000000e+01	1.096639e-05	7.310923e-07	7.310923e-07
1.000000e+01	1.500000e+01	1.306218e-05	7.979000e-07	7.979000e-07
1.500000e+01	2.000000e+01	1.564538e-05	8.732399e-07	8.732399e-07
2.000000e+01	2.500000e+01	1.584034e-05	8.786638e-07	8.786638e-07
2.500000e+01	3.000000e+01	1.788739e-05	9.337145e-07	9.337145e-07
3.000000e+01	3.500000e+01	1.944706e-05	9.735707e-07	9.735707e-07
3.500000e+01	4.000000e+01	2.149412e-05	1.023529e-06	1.023529e-06
4.000000e+01	4.500000e+01	2.193278e-05	1.033921e-06	1.033921e-06
4.500000e+01	5.000000e+01	2.246890e-05	1.046481e-06	1.046481e-06
5.000000e+01	5.500000e+01	2.110420e-05	1.014203e-06	1.014203e-06
5.500000e+01	6.000000e+01	2.022690e-05	9.928990e-07	9.928990e-07
6.000000e+01	6.500000e+01	2.047058e-05	9.988624e-07	9.988624e-07
6.500000e+01	7.000000e+01	1.964202e-05	9.784386e-07	9.784386e-07
7.000000e+01	7.500000e+01	2.076302e-05	1.005972e-06	1.005972e-06
7.500000e+01	8.000000e+01	1.852101e-05	9.501078e-07	9.501078e-07
8.000000e+01	8.500000e+01	1.827731e-05	9.438362e-07	9.438362e-07
8.500000e+01	9.000000e+01	1.730252e-05	9.183224e-07	9.183224e-07
9.000000e+01	9.500000e+01	1.593782e-05	8.813633e-07	8.813633e-07
9.500000e+01	1.000000e+02	1.662017e-05	9.000327e-07	9.000327e-07
1.000000e+02	1.050000e+02	1.432941e-05	8.357083e-07	8.357083e-07
