# BEGIN PLOT
Legend=1
LogY=1
LegendPlacement=manual
LegendAlign=r
LegendXPos=1.36
RightMargin=3.7
Title=MET $\phi$ distribution
XLabel=$\phi^\mathrm{miss}$ [rad]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi^\mathrm{miss}$ [pb/rad]
XMin=0
DrawOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi
LegendOnly=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi //eos/home-y/yiyu/monobc/Rivet_New2/X2000_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X600_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=6.74607198467078117e-06
Title=X600_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.890265e+00	-2.764602e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.764602e+00	-2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.638938e+00	-2.513274e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e+00	-2.387610e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.387610e+00	-2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.261947e+00	-2.136283e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.136283e+00	-2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.010619e+00	-1.884956e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.884956e+00	-1.759292e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.759292e+00	-1.633628e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.633628e+00	-1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.507964e+00	-1.382301e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.382301e+00	-1.256637e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e+00	-1.130973e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.130973e+00	-1.005310e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.005310e+00	-8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.796459e-01	-7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.539822e-01	-6.283185e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.283185e-01	-5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.026548e-01	-3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.769911e-01	-2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.513274e-01	-1.256637e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.256637e-01	4.440892e-16	0.000000e+00	0.000000e+00	0.000000e+00
4.440892e-16	1.256637e-01	8.067421e-04	3.955377e-05	3.955377e-05
1.256637e-01	2.513274e-01	7.485633e-04	3.819944e-05	3.819944e-05
2.513274e-01	3.769911e-01	7.582596e-04	3.834684e-05	3.834684e-05
3.769911e-01	5.026548e-01	7.912275e-04	3.917159e-05	3.917159e-05
5.026548e-01	6.283185e-01	7.427454e-04	3.795252e-05	3.795252e-05
6.283185e-01	7.539822e-01	8.086806e-04	3.969614e-05	3.969614e-05
7.539822e-01	8.796459e-01	7.505025e-04	3.824864e-05	3.824864e-05
8.796459e-01	1.005310e+00	7.834678e-04	3.897898e-05	3.897898e-05
1.005310e+00	1.130973e+00	7.621425e-04	3.844501e-05	3.844501e-05
1.130973e+00	1.256637e+00	7.582578e-04	3.834675e-05	3.834675e-05
1.256637e+00	1.382301e+00	8.183752e-04	3.983789e-05	3.983789e-05
1.382301e+00	1.507964e+00	7.446888e-04	3.800224e-05	3.800224e-05
1.507964e+00	1.633628e+00	7.698935e-04	3.863985e-05	3.863985e-05
1.633628e+00	1.759292e+00	7.737720e-04	3.873706e-05	3.873706e-05
1.759292e+00	1.884956e+00	8.416468e-04	4.040034e-05	4.040034e-05
1.884956e+00	2.010619e+00	7.795961e-04	3.888272e-05	3.888272e-05
2.010619e+00	2.136283e+00	7.485615e-04	3.810078e-05	3.810078e-05
2.136283e+00	2.261947e+00	8.610398e-04	4.086313e-05	4.086313e-05
2.261947e+00	2.387610e+00	8.222603e-04	3.993251e-05	3.993251e-05
2.387610e+00	2.513274e+00	7.892863e-04	3.912347e-05	3.912347e-05
2.513274e+00	2.638938e+00	7.951042e-04	3.926740e-05	3.926740e-05
2.638938e+00	2.764602e+00	7.679542e-04	3.859115e-05	3.859115e-05
2.764602e+00	2.890265e+00	7.640818e-04	3.849388e-05	3.849388e-05
2.890265e+00	3.015929e+00	7.815292e-04	3.893074e-05	3.893074e-05
3.015929e+00	3.141593e+00	7.601971e-04	3.839576e-05	3.839576e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/yiyu/monobc/Rivet_New2/X1500_pi20_L40_darkQCDtch.yoda.gz/JetMETAnalysis/met_phi
ScaledBy=9.88372065712895970e-06
Title=X1500_pi20_L40
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.015929e+00	-2.890265e+00	0.000000e+00	0.000000e+00	0.000000e+00
